Sample,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
HG03086,138.0,135.0,41.0,49.0,323.0,465.0,42.0,395.0,1510.0,17.0
HG03361,138.0,126.0,41.0,10.0,76.0,78.0,58.0,2.0,2545.0,14.0
NA19432,6.0,17.0,41.0,367.0,0.0,467.0,34.0,4.0,0.0,67.0
HG02095,138.0,75.0,53.0,366.0,1.0,9884.0,55.0,2.0,755.0,99.0
HG03493,4.0,114.0,41.0,9.0,84.0,175.0,55.0,393.0,755.0,4072.0
HG02010,41.0,107.0,41.0,51.0,0.0,466.0,48.0,396.0,3563.0,19.0
HG02496,53.0,109.0,41.0,365.0,0.0,9894.0,58.0,3.0,2734.0,73.0
HG03548,42.0,105.0,42.0,51.0,12.0,466.0,7.0,0.0,998.0,7.0
HG03476,6.0,118.0,56.0,49.0,0.0,470.0,104.0,394.0,0.0,19.0
NA20357,104.0,1.0,58.0,10.0,317.0,228.0,41.0,23.0,0.0,12.0
NA19315,1.0,105.0,55.0,10.0,74.0,463.0,59.0,2.0,0.0,68.0
HG02983,53.0,42.0,153.0,368.0,57.0,144.0,35.0,3.0,3556.0,461.0
NA19921,41.0,16.0,43.0,10.0,2.0,463.0,388.0,358.0,7192.0,12.0
NA20348,52.0,40.0,152.0,10.0,326.0,475.0,54.0,360.0,3557.0,57.0
HG03394,41.0,105.0,41.0,367.0,61.0,132.0,57.0,22.0,0.0,7.0
HG03539,54.0,101.0,41.0,367.0,51.0,146.0,36.0,5.0,2530.0,6.0
HG03485,142.0,101.0,41.0,1.0,0.0,464.0,62.0,391.0,2585.0,19.0
NA18873,4.0,107.0,41.0,10.0,318.0,69.0,54.0,395.0,0.0,30.0
HG02953,138.0,125.0,41.0,49.0,317.0,144.0,53.0,360.0,3543.0,14.0
NA19439,56.0,40.0,52.0,1.0,79.0,467.0,54.0,395.0,0.0,7.0
HG02611,52.0,42.0,41.0,11.0,5.0,9884.0,58.0,2.0,410.0,1.0
HG02976,1.0,98.0,41.0,1.0,317.0,202.0,54.0,395.0,755.0,2.0
HG02805,0.0,53.0,0.0,46.0,59.0,196.0,647.0,755.0,3553.0,46.0
HG02332,96.0,128.0,41.0,368.0,55.0,170.0,7.0,1.0,498.0,4022.0
HG02678,49.0,90.0,69.0,366.0,50.0,170.0,651.0,753.0,3557.0,60.0
HG02943,52.0,105.0,41.0,10.0,1.0,469.0,54.0,394.0,755.0,7.0
HG02478,54.0,115.0,54.0,372.0,5.0,467.0,674.0,412.0,3529.0,89.0
HG02558,139.0,117.0,51.0,51.0,316.0,150.0,514.0,286.0,228.0,45.0
NA19835,94.0,111.0,43.0,49.0,322.0,463.0,37.0,5.0,3518.0,67.0
HG02836,137.0,53.0,57.0,368.0,58.0,146.0,647.0,755.0,2658.0,4072.0
HG03115,96.0,122.0,153.0,10.0,0.0,466.0,541.0,360.0,0.0,5.0
HG03073,41.0,42.0,56.0,366.0,1.0,465.0,651.0,752.0,2718.0,18.0
HG02308,56.0,107.0,56.0,114.0,305.0,181.0,7.0,1.0,3490.0,56.0
HG03521,142.0,75.0,49.0,9.0,75.0,468.0,106.0,360.0,2734.0,130.0
HG03133,55.0,108.0,40.0,10.0,5.0,189.0,531.0,398.0,2738.0,73.0
HG02309,138.0,97.0,41.0,49.0,55.0,467.0,55.0,114.0,755.0,29.0
HG03109,145.0,106.0,52.0,372.0,5.0,467.0,652.0,412.0,473.0,4084.0
HG02634,55.0,106.0,58.0,367.0,16.0,173.0,651.0,752.0,400.0,70.0
HG01879,97.0,40.0,60.0,49.0,301.0,134.0,530.0,359.0,248.0,62.0
NA19399,41.0,125.0,52.0,49.0,330.0,210.0,53.0,397.0,0.0,17.0
HG01047,43.0,0.0,0.0,0.0,321.0,210.0,0.0,2.0,186.0,4062.0
HG02275,92.0,0.0,0.0,30.0,305.0,111.0,15.0,2.0,3138.0,43.0
NA19723,134.0,96.0,2.0,30.0,303.0,470.0,658.0,412.0,3138.0,43.0
HG01119,42.0,0.0,153.0,0.0,317.0,212.0,52.0,390.0,400.0,16.0
HG01455,96.0,108.0,43.0,1.0,304.0,210.0,528.0,400.0,241.0,18.0
HG01479,146.0,106.0,41.0,10.0,74.0,9866.0,7.0,0.0,9.0,12.0
HG01932,145.0,106.0,56.0,11.0,317.0,80.0,55.0,284.0,26.0,19.0
HG01953,145.0,115.0,0.0,367.0,65.0,184.0,528.0,397.0,1653.0,43.0
HG01072,1.0,83.0,52.0,0.0,64.0,165.0,55.0,393.0,759.0,43.0
HG01464,92.0,99.0,0.0,31.0,303.0,172.0,1.0,3.0,1643.0,42.0
HG01275,42.0,0.0,41.0,9.0,49.0,463.0,54.0,360.0,251.0,31.0
HG01918,92.0,115.0,0.0,9.0,321.0,9903.0,658.0,412.0,727.0,29.0
HG01054,0.0,53.0,152.0,365.0,0.0,467.0,388.0,284.0,3549.0,0.0
HG01344,92.0,128.0,27.0,11.0,67.0,180.0,32.0,2.0,3542.0,42.0
HG00637,145.0,120.0,56.0,9.0,321.0,463.0,536.0,400.0,845.0,18.0
HG02003,144.0,113.0,42.0,368.0,62.0,478.0,528.0,396.0,221.0,43.0
HG01142,92.0,81.0,154.0,10.0,0.0,463.0,55.0,395.0,758.0,10.0
HG01950,134.0,79.0,55.0,3.0,320.0,211.0,389.0,400.0,1638.0,43.0
HG01577,1.0,121.0,42.0,2.0,317.0,210.0,107.0,279.0,3261.0,43.0
HG00740,138.0,100.0,2.0,9.0,5.0,9881.0,0.0,2.0,7382.0,42.0
