,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HLA-E,HLA-F,HLA-G,HLA-H,HLA-J,HLA-K,HLA-L,HLA-P,HLA-V,HLA-DQA2,HLA-DPA2,HLA-N,HLA-S,HLA-T,HLA-U,HLA-W,MICA,MICB,TAP1,TAP2,HFE,HLA-Y
HG01361,14,36,19,26,28,8,22,19,17,25,20,21,13,29,31,15,13,6,25,30,25,23,25,20,28,36,1,14,15,3,1,23,10,19,31,31,17,31,3,0
HG03579,13,10,11,11,11,9,8,11,9,10,8,11,10,11,14,14,4,3,6,11,4,3,13,5,16,10,2,8,6,0,0,8,8,6,9,11,8,11,1,0
HG01358,8,21,9,11,12,5,12,10,8,12,9,11,5,13,20,6,5,3,16,11,9,7,9,2,17,11,0,11,4,0,2,4,17,11,19,19,6,14,0,0
HG01106,22,26,40,29,23,22,21,30,27,40,20,25,18,26,27,26,6,6,33,38,20,22,29,16,47,34,3,19,15,1,2,25,16,20,46,36,26,34,4,2
HG02486,20,18,20,22,24,13,20,22,16,31,21,16,17,23,41,6,5,19,27,26,17,18,25,9,26,22,2,20,13,2,2,17,13,25,29,28,30,32,3,0
HG01928,13,15,15,14,10,14,15,7,7,24,13,16,4,21,21,4,21,2,14,11,10,11,21,9,16,18,1,14,8,0,0,11,7,15,29,14,17,20,2,0
HG01175,17,24,45,38,37,20,24,46,40,43,46,36,21,49,51,6,10,31,42,31,30,25,35,18,67,35,1,28,21,3,2,29,16,29,32,37,34,40,2,0
HG01071,25,27,29,33,30,21,18,28,26,38,31,29,16,29,44,17,18,4,34,37,28,8,35,9,30,37,0,15,22,2,1,13,11,33,26,41,17,24,4,0
HG00735,15,17,28,33,24,20,10,17,23,17,22,16,9,20,40,3,15,5,34,30,26,15,21,21,23,26,3,16,16,1,2,14,19,14,23,26,18,19,5,1
HG02257,3,8,18,18,22,9,17,9,9,9,11,13,6,11,17,4,2,6,11,18,12,8,13,7,17,15,1,11,4,2,0,10,5,6,4,21,15,20,1,0
HG01123,15,29,19,18,21,17,8,16,11,16,17,18,10,14,31,14,9,5,22,13,17,11,17,15,28,19,1,21,11,1,1,13,6,21,25,30,17,15,2,0
HG02572,7,11,11,11,12,5,11,9,11,13,16,13,6,11,14,12,2,2,24,20,7,3,10,7,20,10,0,5,6,0,0,12,5,14,11,13,11,20,1,0
HG02630,8,17,13,19,20,9,4,15,18,16,10,8,9,18,16,2,22,5,15,13,13,11,13,9,16,22,1,12,7,0,2,17,13,7,25,17,11,12,1,0
HG02886,20,23,21,28,24,18,14,18,22,30,22,18,16,29,29,14,13,7,26,21,17,20,21,14,30,20,2,10,15,1,2,21,8,13,37,37,18,22,3,0
HG03471,13,18,27,15,19,20,12,17,18,25,25,21,13,21,34,11,16,5,31,25,12,14,21,9,28,16,1,22,7,2,0,18,10,9,16,29,16,24,3,1
HG02622,12,17,14,14,12,10,7,14,10,16,15,12,6,6,13,0,16,2,17,16,7,2,14,5,20,10,2,6,2,0,1,4,3,14,14,9,5,10,2,0
HG02717,17,31,32,24,25,12,14,22,16,24,12,19,18,19,33,15,14,6,24,14,18,18,14,11,33,24,2,21,4,2,0,14,9,19,26,26,10,19,1,0
HG03453,4,7,7,10,10,7,9,4,7,9,7,4,3,7,9,2,3,4,9,4,4,7,10,8,11,6,0,4,4,0,0,9,3,4,11,9,8,12,0,0
HG03516,38,35,44,35,30,23,22,38,36,45,36,23,19,37,40,34,4,10,44,37,24,32,37,28,42,45,2,30,24,2,2,33,19,36,54,47,26,34,3,0
