,NA19129,HG02611,NA20314,NA18873,HG02976,NA20127,NA19327,HG02943,HG03039,HG03511,HG01992,HG01390,HG01148,HG01055,HG02253,HG01939,HG00739,HG02006,HG00551,NA19723,HG00983,NA18553,HG00607,HG02139,HG02116,HG02178,HG02138,HG02017,HG00584,HG02189,HG00137,NA20795,HG01789,NA20762,HG00141,NA20787,HG01680,HG00149,NA20757,HG00367,HG03929,HG03686,HG03687,HG03977,NA21113,HG03709,HG01589,NA20866,NA21101,HG03786
HG00983,7817.0,11233.0,6345.0,5731.0,10425.5,17051.0,7866.0,2781.0,2808.5,6196.5,6947.5,7724.5,12031.0,6383.5,2699.0,2358.5,1416.5,1645.5,9845.5,6678.5,0.0,3635.0,7261.5,1812.0,11305.0,6614.0,12060.5,7114.0,2018.5,11826.5,6586.0,5988.0,1581.0,6940.5,3308.0,6505.0,6489.5,18113.5,6463.0,3183.0,7904.0,6700.5,6257.5,6757.0,6434.0,6005.0,15067.0,6558.0,5065.0,2448.5
NA18553,7596.0,11157.5,7262.5,5467.0,5933.0,18196.5,7556.5,3544.0,3032.0,7997.5,6484.0,8254.0,11582.5,6416.0,2550.5,2118.0,2782.5,1003.0,10475.5,8194.0,3635.0,0.0,7140.0,1678.0,12037.5,8426.5,5409.0,9140.5,5250.5,13292.5,6204.5,5714.5,1757.0,6433.0,2721.5,7540.0,5999.5,17974.5,6620.0,2474.0,4838.0,6804.5,6735.0,6654.0,6720.0,5508.0,13682.0,6713.0,1870.5,3206.0
HG00607,8421.0,11990.0,1926.5,1251.0,2336.0,11729.0,4337.5,1605.0,2284.5,2823.5,2333.5,6441.5,10938.5,11098.5,2371.0,6370.5,3059.5,2542.0,8547.5,8842.0,7261.5,7140.0,0.0,2107.0,8354.5,2575.5,7023.5,2872.0,2352.0,11796.5,6491.0,2509.5,2500.0,1346.0,3964.0,1845.5,4374.0,13648.5,2061.0,5972.5,2043.0,2878.5,3284.5,1432.0,2258.5,1998.0,9699.0,1964.5,3616.0,2188.5
HG02139,6028.5,11729.5,1660.0,3968.0,2311.0,12034.5,3271.0,2189.5,6688.0,2882.5,2383.5,11718.5,9195.0,6354.0,7767.5,1893.0,6694.0,3174.5,9404.0,21875.5,1812.0,1678.0,2107.0,0.0,7715.0,2537.5,9345.5,3011.0,2219.5,16589.5,6349.0,1742.0,6701.5,1996.0,5154.5,1464.0,2341.0,13476.5,1472.0,2305.5,3203.5,2868.5,1701.5,1841.0,1559.0,1802.5,11995.0,1752.5,14125.0,1913.5
HG02116,4721.0,7098.0,7409.0,7933.0,8977.5,7788.5,3201.5,7852.0,7418.5,8662.0,8075.5,3315.5,16925.0,6840.5,8409.5,11585.0,7887.0,8376.5,5554.0,3239.0,11305.0,12037.5,8354.5,7715.0,0.0,7537.0,3257.0,8300.5,7239.5,7711.5,2696.0,7569.5,8035.5,8034.0,10091.5,7514.0,8424.0,9939.0,8131.0,11965.5,8712.5,7926.5,7900.5,8206.5,8263.0,7307.5,17497.0,7427.0,11567.0,8021.5
HG02178,8241.0,11155.0,1752.5,2622.5,4578.0,12211.0,2752.5,1541.0,2147.0,3458.5,1540.5,6555.5,10667.5,10743.0,6592.0,6214.5,4098.5,2645.0,10511.0,7262.0,6614.0,8426.5,2575.5,2537.5,7537.0,0.0,5754.5,1605.5,1560.0,10229.5,6518.5,1856.0,5961.0,2487.0,3538.0,1872.0,3188.5,13050.5,2126.0,6205.0,2328.0,2605.0,1743.0,2093.5,2757.5,2364.5,10422.5,1462.5,2298.5,1691.5
HG02138,1985.5,12320.0,5710.0,7407.0,5910.5,7326.0,3323.5,14663.5,11319.0,7029.0,6456.0,6528.5,12762.5,1813.0,15172.0,5924.0,7810.5,7849.0,4918.5,3756.5,12060.5,5409.0,7023.5,9345.5,3257.0,5754.5,0.0,6875.0,4653.0,8559.5,6465.5,5870.5,7333.5,7044.5,13640.5,6077.5,6956.5,7274.0,6346.5,6000.5,9995.0,7261.0,6328.5,6861.5,6484.0,6220.0,9452.0,6282.5,15883.5,8645.5
HG02017,9086.5,12242.5,2821.5,2201.5,3709.0,13378.0,2870.0,2187.5,2775.5,4113.0,1662.0,6878.0,11161.5,11363.0,5785.0,6743.5,4693.5,2938.5,9867.0,7619.5,7114.0,9140.5,2872.0,3011.0,8300.5,1605.5,6875.0,0.0,2677.5,10514.5,7662.5,2813.5,5147.5,2597.0,4089.5,2524.0,3572.0,14575.5,1871.5,5906.5,3011.5,2966.5,2475.0,2685.5,4502.0,2922.0,7481.5,1638.0,2804.5,2316.0
HG00584,14021.0,29666.5,1340.5,3196.5,8140.0,13100.0,4198.5,1525.5,1807.0,4814.0,2411.0,18947.5,9966.0,6683.0,2695.0,1933.5,15372.0,6556.0,9418.0,23565.5,2018.5,5250.5,2352.0,2219.5,7239.5,1560.0,4653.0,2677.5,0.0,23039.5,5750.5,6081.5,14419.0,6523.0,2376.5,3419.0,2967.5,13411.5,2557.0,18558.0,3067.5,4561.0,1826.0,2562.0,2516.0,3277.0,18023.0,1911.5,1967.0,1941.0
HG02189,7776.0,12323.5,11203.5,12373.5,12407.5,3370.0,6281.0,11104.5,20027.5,12713.0,10856.5,11380.0,17988.5,6931.0,18856.5,11165.5,14314.0,12546.0,9017.0,6991.0,11826.5,13292.5,11796.5,16589.5,7711.5,10229.5,8559.5,10514.5,23039.5,0.0,6446.0,11112.0,16000.5,11594.5,17179.5,11265.0,12426.5,4931.5,11260.0,11342.5,13781.5,11599.0,11126.0,11318.5,13557.5,11392.0,17952.0,11115.0,21277.0,10886.0
HG00137,1621.5,7143.5,5443.5,6208.0,6250.5,6414.5,1763.5,5643.5,6598.0,7201.5,6744.5,4053.0,13685.0,1345.0,7175.0,6107.5,6399.5,6042.5,3924.0,11697.0,6586.0,6204.5,6491.0,6349.0,2696.0,6518.5,6465.5,7662.5,5750.5,6446.0,0.0,5782.0,6800.5,6623.5,6749.0,6146.0,6876.5,5878.0,6572.0,6667.0,7317.0,7206.0,6385.5,6972.0,7015.0,6120.5,14265.5,6406.5,6277.5,6212.0
NA20795,6674.0,10236.0,1123.5,1682.0,2853.5,12250.5,2967.5,1620.0,3036.0,2101.0,1829.5,5921.0,10856.5,9987.5,2390.5,6099.5,1356.5,1125.0,8683.0,5992.0,5988.0,5714.5,2509.5,1742.0,7569.5,1856.0,5870.5,2813.5,6081.5,11112.0,5782.0,0.0,1802.0,1793.0,3565.0,1502.0,1832.0,12843.0,2139.0,5911.0,2402.5,2160.5,2271.0,1805.5,1976.5,796.0,10808.0,1922.0,1635.5,1072.5
