gene1,gene2,D,Wn
HLA-B,HLA-DRB5,0.423749845404143,0.367669753201771
HLA-DRB5,HLA-B,0.423749845404143,0.367669753201771
HLA-B,HLA-F,0.627439677262374,0.445329608032363
HLA-F,HLA-B,0.627439677262374,0.445329608032363
HLA-B,HLA-H,0.643116230045291,0.450563724911114
HLA-H,HLA-B,0.643116230045291,0.450563724911114
HLA-B,HLA-K,0.488611330504006,0.508940945767615
HLA-K,HLA-B,0.488611330504006,0.508940945767615
HLA-B,HLA-L,0.490072015393671,0.480934080952094
HLA-L,HLA-B,0.490072015393671,0.480934080952094
HLA-B,HLA-N,0.506870586500499,0.556691826356318
HLA-N,HLA-B,0.506870586500499,0.556691826356318
HLA-B,HLA-S,0.915156207546174,0.90356802810473
HLA-S,HLA-B,0.915156207546174,0.90356802810473
HLA-B,HLA-V,0.565068516915114,0.590586101645583
HLA-V,HLA-B,0.565068516915114,0.590586101645583
HLA-B,HLA-W,0.519470052728706,0.455542281079853
HLA-W,HLA-B,0.519470052728706,0.455542281079853
HLA-B,HLA-Y,0,NaN
HLA-Y,HLA-B,0,NaN
HLA-C,CYP2D6,0.465426206956634,0.301124033317155
CYP2D6,HLA-C,0.465426206956634,0.301124033317155
HLA-C,HLA-DPB1,0.730790893851923,0.438334450122101
HLA-DPB1,HLA-C,0.730790893851923,0.438334450122101
HLA-C,HLA-DPB2,0.397067373324422,0.391371306158766
HLA-DPB2,HLA-C,0.397067373324422,0.391371306158766
HLA-C,HLA-DRB4,0.353825259342687,0.325278326585564
HLA-DRB4,HLA-C,0.353825259342687,0.325278326585564
HLA-C,HLA-DRB5,0.352364627364374,0.34120665671313
HLA-DRB5,HLA-C,0.352364627364374,0.34120665671313
HLA-C,HLA-L,0.430747547491762,0.451981745374227
HLA-L,HLA-C,0.430747547491762,0.451981745374227
HLA-C,HLA-S,0.835639479532333,0.858731611339491
HLA-S,HLA-C,0.835639479532333,0.858731611339491
HLA-C,HLA-V,0.450480483002796,0.465437673039428
HLA-V,HLA-C,0.450480483002796,0.465437673039428
HLA-C,HLA-W,0.444241230594684,0.404086247720273
HLA-W,HLA-C,0.444241230594684,0.404086247720273
HLA-C,HLA-Y,0,NaN
HLA-Y,HLA-C,0,NaN
HLA-DMA,CYP2D6,0.236399284610106,0.40733388685025
CYP2D6,HLA-DMA,0.236399284610106,0.40733388685025
HLA-DMA,HLA-B,0.410158634750361,0.414674006951446
HLA-B,HLA-DMA,0.410158634750361,0.414674006951446
HLA-DMA,HLA-C,0.337756849351989,0.342445959622339
HLA-C,HLA-DMA,0.337756849351989,0.342445959622339
HLA-DMA,HLA-DMB,0.496919900801091,0.237880919075145
HLA-DMB,HLA-DMA,0.496919900801091,0.237880919075145
HLA-DMA,HLA-DOA,0.312595360717825,0.198527900847598
HLA-DOA,HLA-DMA,0.312595360717825,0.198527900847598
HLA-DMA,HLA-DOB,0.212371270370761,0.150034080106373
HLA-DOB,HLA-DMA,0.212371270370761,0.150034080106373
HLA-DMA,HLA-DPA1,0.252319298797409,0.229827064391927
HLA-DPA1,HLA-DMA,0.252319298797409,0.229827064391927
HLA-DMA,HLA-DPA2,0.102025297965882,0.12288678498485
HLA-DPA2,HLA-DMA,0.102025297965882,0.12288678498485
HLA-DMA,HLA-DPB1,0.459924981974948,0.409370075654799
HLA-DPB1,HLA-DMA,0.459924981974948,0.409370075654799
HLA-DMA,HLA-DPB2,0.154686155859679,0.144346872489879
HLA-DPB2,HLA-DMA,0.154686155859679,0.144346872489879
HLA-DMA,HLA-DQA1,0.268369030583062,0.239853352852027
HLA-DQA1,HLA-DMA,0.268369030583062,0.239853352852027
HLA-DMA,HLA-DQA2,0.278691623251044,0.148230988517594
HLA-DQA2,HLA-DMA,0.278691623251044,0.148230988517594
HLA-DMA,HLA-DQB1,0.361010979786526,0.540932093120317
HLA-DQB1,HLA-DMA,0.361010979786526,0.540932093120317
HLA-DMA,HLA-DQB2,0.251851982322808,0.140067306398238
HLA-DQB2,HLA-DMA,0.251851982322808,0.140067306398238
HLA-DMA,HLA-DRA,0.243799268856646,0.174424420879656
HLA-DRA,HLA-DMA,0.243799268856646,0.174424420879656
HLA-DMA,HLA-DRB1,0.421115318865433,0.380357090345788
HLA-DRB1,HLA-DMA,0.421115318865433,0.380357090345788
HLA-DMA,HLA-DRB3,0.201931352102814,0.209984406970586
HLA-DRB3,HLA-DMA,0.201931352102814,0.209984406970586
HLA-DMA,HLA-DRB4,0.147017930649045,0.22765760237472
HLA-DRB4,HLA-DMA,0.147017930649045,0.22765760237472
HLA-DMA,HLA-DRB5,0.107338477434534,0.107305338598328
HLA-DRB5,HLA-DMA,0.107338477434534,0.107305338598328
HLA-DMA,HLA-E,0.124459874797013,0.126445493301648
HLA-E,HLA-DMA,0.124459874797013,0.126445493301648
HLA-DMA,HLA-F,0.217849105754017,0.305711743826937
HLA-F,HLA-DMA,0.217849105754017,0.305711743826937
HLA-DMA,HLA-G,0.238114137908031,0.305379781485589
HLA-G,HLA-DMA,0.238114137908031,0.305379781485589
HLA-DMA,HLA-H,0.214497652552744,0.178421136140039
HLA-H,HLA-DMA,0.214497652552744,0.178421136140039
HLA-DMA,HLA-J,0.172391010380695,0.147135038111391
HLA-J,HLA-DMA,0.172391010380695,0.147135038111391
HLA-DMA,HLA-K,0.106982599327639,0.142732943830777
HLA-K,HLA-DMA,0.106982599327639,0.142732943830777
HLA-DMA,HLA-L,0.126834471690027,0.149022701627789
HLA-L,HLA-DMA,0.126834471690027,0.149022701627789
HLA-DMA,HLA-N,0.114382439950866,0.137949515141707
HLA-N,HLA-DMA,0.114382439950866,0.137949515141707
HLA-DMA,HLA-P,0.120573010950847,0.149210059029763
HLA-P,HLA-DMA,0.120573010950847,0.149210059029763
HLA-DMA,HLA-S,0.350583282747436,0.237926112983169
HLA-S,HLA-DMA,0.350583282747436,0.237926112983169
HLA-DMA,HLA-V,0.157191215686534,0.192717673086923
HLA-V,HLA-DMA,0.157191215686534,0.192717673086923
HLA-DMA,HLA-W,0.150699305079531,0.122813097873201
HLA-W,HLA-DMA,0.150699305079531,0.122813097873201
HLA-DMA,HLA-Y,0,NaN
HLA-Y,HLA-DMA,0,NaN
HLA-DMA,MICA,0.193165466068364,0.344045536285613
MICA,HLA-DMA,0.193165466068364,0.344045536285613
HLA-DMA,MICB,0.132418250926824,0.251569428663004
MICB,HLA-DMA,0.132418250926824,0.251569428663004
HLA-DMA,TAP1,0.15038641729932,0.139258712698785
TAP1,HLA-DMA,0.15038641729932,0.139258712698785
HLA-DMA,TAP2,0.171034242725016,0.109319697696346
TAP2,HLA-DMA,0.171034242725016,0.109319697696346
HLA-DMB,CYP2D6,0.254381730192796,0.250638100902695
CYP2D6,HLA-DMB,0.254381730192796,0.250638100902695
HLA-DMB,HLA-C,0.376913827231701,0.408264795834782
HLA-C,HLA-DMB,0.376913827231701,0.408264795834782
HLA-DMB,HLA-DPB1,0.555928427586723,0.518538713360348
HLA-DPB1,HLA-DMB,0.555928427586723,0.518538713360348
HLA-DMB,HLA-DPB2,0.202243567492129,0.179835676481056
HLA-DPB2,HLA-DMB,0.202243567492129,0.179835676481056
HLA-DMB,HLA-DRB4,0.162011181656741,0.157399201531838
HLA-DRB4,HLA-DMB,0.162011181656741,0.157399201531838
HLA-DMB,HLA-DRB5,0.137039714837638,0.143407888500758
HLA-DRB5,HLA-DMB,0.137039714837638,0.143407888500758
HLA-DMB,HLA-L,0.147574915891283,0.150988254513009
HLA-L,HLA-DMB,0.147574915891283,0.150988254513009
HLA-DMB,HLA-S,0.389205507752762,0.445517759325312
HLA-S,HLA-DMB,0.389205507752762,0.445517759325312
HLA-DMB,HLA-V,0.142122668301787,0.184067933858396
HLA-V,HLA-DMB,0.142122668301787,0.184067933858396
HLA-DMB,HLA-W,0.152396368080696,0.147305398758
HLA-W,HLA-DMB,0.152396368080696,0.147305398758
HLA-DMB,HLA-Y,0,NaN
HLA-Y,HLA-DMB,0,NaN
HLA-DOA,CYP2D6,0.371357540110698,0.321561013085386
CYP2D6,HLA-DOA,0.371357540110698,0.321561013085386
HLA-DOA,HLA-C,0.521580406175519,0.387774149002266
HLA-C,HLA-DOA,0.521580406175519,0.387774149002266
HLA-DOA,HLA-DMB,0.355502107568536,0.286056384354462
HLA-DMB,HLA-DOA,0.355502107568536,0.286056384354462
HLA-DOA,HLA-DOB,0.304816544196114,0.281848170524216
HLA-DOB,HLA-DOA,0.304816544196114,0.281848170524216
HLA-DOA,HLA-DPB1,0.732992108704787,0.590752149112811
HLA-DPB1,HLA-DOA,0.732992108704787,0.590752149112811
HLA-DOA,HLA-DPB2,0.422312553604728,0.378059260615895
HLA-DPB2,HLA-DOA,0.422312553604728,0.378059260615895
HLA-DOA,HLA-DQA2,0.368053846008002,0.244914746546763
HLA-DQA2,HLA-DOA,0.368053846008002,0.244914746546763
HLA-DOA,HLA-DRA,0.410644610881393,0.231948762913571
HLA-DRA,HLA-DOA,0.410644610881393,0.231948762913571
HLA-DOA,HLA-DRB1,0.613344269279967,0.447770732638571
HLA-DRB1,HLA-DOA,0.613344269279967,0.447770732638571
HLA-DOA,HLA-DRB3,0.300072315449757,0.228747442208616
HLA-DRB3,HLA-DOA,0.300072315449757,0.228747442208616
HLA-DOA,HLA-DRB4,0.243494344374813,0.173687867152088
HLA-DRB4,HLA-DOA,0.243494344374813,0.173687867152088
HLA-DOA,HLA-DRB5,0.248511807170018,0.230573837935848
HLA-DRB5,HLA-DOA,0.248511807170018,0.230573837935848
HLA-DOA,HLA-F,0.377496709203079,0.222860846466507
HLA-F,HLA-DOA,0.377496709203079,0.222860846466507
HLA-DOA,HLA-H,0.431060845877969,0.250327995088284
HLA-H,HLA-DOA,0.431060845877969,0.250327995088284
HLA-DOA,HLA-K,0.249157562062388,0.249268103598113
HLA-K,HLA-DOA,0.249157562062388,0.249268103598113
HLA-DOA,HLA-L,0.203842716080407,0.237321060413808
HLA-L,HLA-DOA,0.203842716080407,0.237321060413808
HLA-DOA,HLA-N,0.280683300458047,0.622422859059668
HLA-N,HLA-DOA,0.280683300458047,0.622422859059668
HLA-DOA,HLA-S,0.550680856424941,0.554550616566515
HLA-S,HLA-DOA,0.550680856424941,0.554550616566515
HLA-DOA,HLA-V,0.309977633567078,0.376005446412938
HLA-V,HLA-DOA,0.309977633567078,0.376005446412938
HLA-DOA,HLA-W,0.298638927917133,0.253919516833784
HLA-W,HLA-DOA,0.298638927917133,0.253919516833784
HLA-DOA,HLA-Y,0,NaN
HLA-Y,HLA-DOA,0,NaN
HLA-DOB,CYP2D6,0.266014388678117,0.286195282992677
CYP2D6,HLA-DOB,0.266014388678117,0.286195282992677
HLA-DOB,HLA-C,0.391406484453172,0.399310981903433
HLA-C,HLA-DOB,0.391406484453172,0.399310981903433
HLA-DOB,HLA-DMB,0.234060180666901,0.218261659927523
HLA-DMB,HLA-DOB,0.234060180666901,0.218261659927523
HLA-DOB,HLA-DPB1,0.505866506407524,0.48169209430607
HLA-DPB1,HLA-DOB,0.505866506407524,0.48169209430607
HLA-DOB,HLA-DPB2,0.208943471068147,0.174117258244038
HLA-DPB2,HLA-DOB,0.208943471068147,0.174117258244038
HLA-DOB,HLA-DRA,0.335904700517978,0.293046431363963
HLA-DRA,HLA-DOB,0.335904700517978,0.293046431363963
HLA-DOB,HLA-DRB1,0.537839421680171,0.468379968084159
HLA-DRB1,HLA-DOB,0.537839421680171,0.468379968084159
HLA-DOB,HLA-DRB3,0.214510778771397,0.189883690729911
HLA-DRB3,HLA-DOB,0.214510778771397,0.189883690729911
HLA-DOB,HLA-DRB4,0.170523625125726,0.19910678770918
HLA-DRB4,HLA-DOB,0.170523625125726,0.19910678770918
HLA-DOB,HLA-DRB5,0.135771188527037,0.10657969005623
HLA-DRB5,HLA-DOB,0.135771188527037,0.10657969005623
HLA-DOB,HLA-F,0.246385840439143,0.225181050965987
HLA-F,HLA-DOB,0.246385840439143,0.225181050965987
HLA-DOB,HLA-L,0.101368808292724,0.131798646409207
HLA-L,HLA-DOB,0.101368808292724,0.131798646409207
HLA-DOB,HLA-N,0.167359030798634,0.199137207914058
HLA-N,HLA-DOB,0.167359030798634,0.199137207914058
HLA-DOB,HLA-S,0.516036027490117,0.441434138565677
HLA-S,HLA-DOB,0.516036027490117,0.441434138565677
HLA-DOB,HLA-V,0.128142672523352,0.146409532991625
HLA-V,HLA-DOB,0.128142672523352,0.146409532991625
HLA-DOB,HLA-W,0.165614589968108,0.13137074608743
HLA-W,HLA-DOB,0.165614589968108,0.13137074608743
HLA-DOB,HLA-Y,0,NaN
HLA-Y,HLA-DOB,0,NaN
HLA-DPA1,CYP2D6,0.368265041614946,0.285895697134705
CYP2D6,HLA-DPA1,0.368265041614946,0.285895697134705
HLA-DPA1,HLA-B,0.592484981940267,0.455264206169295
HLA-B,HLA-DPA1,0.592484981940267,0.455264206169295
HLA-DPA1,HLA-C,0.493063658743044,0.358805221878733
HLA-C,HLA-DPA1,0.493063658743044,0.358805221878733
HLA-DPA1,HLA-DMB,0.299941397168151,0.219854430959551
HLA-DMB,HLA-DPA1,0.299941397168151,0.219854430959551
HLA-DPA1,HLA-DOA,0.557828276074541,0.308069972458879
HLA-DOA,HLA-DPA1,0.557828276074541,0.308069972458879
HLA-DPA1,HLA-DOB,0.258958079129813,0.233102345719811
HLA-DOB,HLA-DPA1,0.258958079129813,0.233102345719811
HLA-DPA1,HLA-DPA2,0.653840256350373,0.601177171458827
HLA-DPA2,HLA-DPA1,0.653840256350373,0.601177171458827
HLA-DPA1,HLA-DPB1,0.93497451415123,0.631865743508857
HLA-DPB1,HLA-DPA1,0.93497451415123,0.631865743508857
HLA-DPA1,HLA-DPB2,0.564903045925998,0.611535468656573
HLA-DPB2,HLA-DPA1,0.564903045925998,0.611535468656573
HLA-DPA1,HLA-DQA1,0.419025161523107,0.297722944428049
HLA-DQA1,HLA-DPA1,0.419025161523107,0.297722944428049
HLA-DPA1,HLA-DQA2,0.313607913388852,0.256937777834028
HLA-DQA2,HLA-DPA1,0.313607913388852,0.256937777834028
HLA-DPA1,HLA-DQB1,0.530034127175692,0.421662989749162
HLA-DQB1,HLA-DPA1,0.530034127175692,0.421662989749162
HLA-DPA1,HLA-DQB2,0.297570213975451,0.208940572497902
HLA-DQB2,HLA-DPA1,0.297570213975451,0.208940572497902
HLA-DPA1,HLA-DRA,0.398607079632008,0.20078405518621
HLA-DRA,HLA-DPA1,0.398607079632008,0.20078405518621
HLA-DPA1,HLA-DRB1,0.592740240239602,0.412583090086578
HLA-DRB1,HLA-DPA1,0.592740240239602,0.412583090086578
HLA-DPA1,HLA-DRB3,0.254893537516919,0.225957585283378
HLA-DRB3,HLA-DPA1,0.254893537516919,0.225957585283378
HLA-DPA1,HLA-DRB4,0.226162092980154,0.211500283201659
HLA-DRB4,HLA-DPA1,0.226162092980154,0.211500283201659
HLA-DPA1,HLA-DRB5,0.217549234221782,0.198665422320717
HLA-DRB5,HLA-DPA1,0.217549234221782,0.198665422320717
HLA-DPA1,HLA-E,0.21172281718628,0.146468679837771
HLA-E,HLA-DPA1,0.21172281718628,0.146468679837771
HLA-DPA1,HLA-F,0.354263669814665,0.203794753796616
HLA-F,HLA-DPA1,0.354263669814665,0.203794753796616
HLA-DPA1,HLA-G,0.372160767542358,0.265703754232802
HLA-G,HLA-DPA1,0.372160767542358,0.265703754232802
HLA-DPA1,HLA-H,0.350230355952384,0.22422038993448
HLA-H,HLA-DPA1,0.350230355952384,0.22422038993448
HLA-DPA1,HLA-K,0.211812865009036,0.210981260116069
HLA-K,HLA-DPA1,0.211812865009036,0.210981260116069
HLA-DPA1,HLA-L,0.213449253785225,0.201900518408885
HLA-L,HLA-DPA1,0.213449253785225,0.201900518408885
HLA-DPA1,HLA-N,0.297484573340551,0.304423038210325
HLA-N,HLA-DPA1,0.297484573340551,0.304423038210325
HLA-DPA1,HLA-P,0.192822441334889,0.22937562063382
HLA-P,HLA-DPA1,0.192822441334889,0.22937562063382
HLA-DPA1,HLA-S,0.569406783740482,0.538588953186058
HLA-S,HLA-DPA1,0.569406783740482,0.538588953186058
HLA-DPA1,HLA-V,0.250084264672555,0.300098565920377
HLA-V,HLA-DPA1,0.250084264672555,0.300098565920377
HLA-DPA1,HLA-W,0.244092346839398,0.209925686539641
HLA-W,HLA-DPA1,0.244092346839398,0.209925686539641
HLA-DPA1,HLA-Y,0,NaN
HLA-Y,HLA-DPA1,0,NaN
HLA-DPA1,MICA,0.285379832846929,0.200641067120452
MICA,HLA-DPA1,0.285379832846929,0.200641067120452
HLA-DPA1,MICB,0.205471347520803,0.25320106850916
MICB,HLA-DPA1,0.205471347520803,0.25320106850916
HLA-DPA1,TAP1,0.24108880911228,0.235645621996285
TAP1,HLA-DPA1,0.24108880911228,0.235645621996285
HLA-DPA1,TAP2,0.251692568799544,0.190418226857019
TAP2,HLA-DPA1,0.251692568799544,0.190418226857019
HLA-DPA2,CYP2D6,0.251036530498888,0.301389106574213
CYP2D6,HLA-DPA2,0.251036530498888,0.301389106574213
HLA-DPA2,HLA-B,0.3945663825741,0.421835008298556
HLA-B,HLA-DPA2,0.3945663825741,0.421835008298556
HLA-DPA2,HLA-C,0.324925916653633,0.347382177557095
HLA-C,HLA-DPA2,0.324925916653633,0.347382177557095
HLA-DPA2,HLA-DMB,0.165439258977777,0.163072749795223
HLA-DMB,HLA-DPA2,0.165439258977777,0.163072749795223
HLA-DPA2,HLA-DOA,0.358844369992197,0.3848399826044
HLA-DOA,HLA-DPA2,0.358844369992197,0.3848399826044
HLA-DPA2,HLA-DOB,0.135792003286343,0.136740209105085
HLA-DOB,HLA-DPA2,0.135792003286343,0.136740209105085
HLA-DPA2,HLA-DPB1,0.884146181496223,0.853629344969949
HLA-DPB1,HLA-DPA2,0.884146181496223,0.853629344969949
HLA-DPA2,HLA-DPB2,0.428696059380175,0.390092623355482
HLA-DPB2,HLA-DPA2,0.428696059380175,0.390092623355482
HLA-DPA2,HLA-DQA2,0.141509317249316,0.155157051395227
HLA-DQA2,HLA-DPA2,0.141509317249316,0.155157051395227
HLA-DPA2,HLA-DQB1,0.339832893332491,0.379685082355528
HLA-DQB1,HLA-DPA2,0.339832893332491,0.379685082355528
HLA-DPA2,HLA-DQB2,0.132070190259638,0.169342186156528
HLA-DQB2,HLA-DPA2,0.132070190259638,0.169342186156528
HLA-DPA2,HLA-DRA,0.208949341340982,0.21569387152751
HLA-DRA,HLA-DPA2,0.208949341340982,0.21569387152751
HLA-DPA2,HLA-DRB1,0.43248969881924,0.467834318602905
HLA-DRB1,HLA-DPA2,0.43248969881924,0.467834318602905
HLA-DPA2,HLA-DRB3,0.14799106132276,0.162404462095203
HLA-DRB3,HLA-DPA2,0.14799106132276,0.162404462095203
HLA-DPA2,HLA-DRB4,0.116419001966281,0.150388823334846
HLA-DRB4,HLA-DPA2,0.116419001966281,0.150388823334846
HLA-DPA2,HLA-DRB5,0.13321669744154,0.0978392995650515
HLA-DRB5,HLA-DPA2,0.13321669744154,0.0978392995650515
HLA-DPA2,HLA-E,0.107696806234446,0.173850728869414
HLA-E,HLA-DPA2,0.107696806234446,0.173850728869414
HLA-DPA2,HLA-F,0.186699360699976,0.236872382923502
HLA-F,HLA-DPA2,0.186699360699976,0.236872382923502
HLA-DPA2,HLA-G,0.214109685407516,0.268343892628501
HLA-G,HLA-DPA2,0.214109685407516,0.268343892628501
HLA-DPA2,HLA-H,0.193484892157304,0.213138574723738
HLA-H,HLA-DPA2,0.193484892157304,0.213138574723738
HLA-DPA2,HLA-K,0.0919582062587445,0.0916795152387344
HLA-K,HLA-DPA2,0.0919582062587445,0.0916795152387344
HLA-DPA2,HLA-L,0.0848364171778023,0.0804573867645767
HLA-L,HLA-DPA2,0.0848364171778023,0.0804573867645767
HLA-DPA2,HLA-N,0.166456293393239,0.136569772224313
HLA-N,HLA-DPA2,0.166456293393239,0.136569772224313
HLA-DPA2,HLA-P,0.0966495178339768,0.102357946054601
HLA-P,HLA-DPA2,0.0966495178339768,0.102357946054601
HLA-DPA2,HLA-S,0.259643937128607,0.275230716123261
HLA-S,HLA-DPA2,0.259643937128607,0.275230716123261
HLA-DPA2,HLA-V,0.0994723546332631,0.119747670102474
HLA-V,HLA-DPA2,0.0994723546332631,0.119747670102474
HLA-DPA2,HLA-W,0.108276067816036,0.108055020341003
HLA-W,HLA-DPA2,0.108276067816036,0.108055020341003
HLA-DPA2,HLA-Y,0,NaN
HLA-Y,HLA-DPA2,0,NaN
HLA-DPA2,MICA,0.175230915541825,0.218816448919196
MICA,HLA-DPA2,0.175230915541825,0.218816448919196
HLA-DPA2,MICB,0.0980780692278446,0.189134022082189
MICB,HLA-DPA2,0.0980780692278446,0.189134022082189
HLA-DPA2,TAP1,0.12537773444727,0.13993127617089
TAP1,HLA-DPA2,0.12537773444727,0.13993127617089
HLA-DPA2,TAP2,0.149279563447488,0.134279240691031
TAP2,HLA-DPA2,0.149279563447488,0.134279240691031
HLA-DPB1,CYP2D6,0.592615806999783,0.494066398303629
CYP2D6,HLA-DPB1,0.592615806999783,0.494066398303629
HLA-DPB1,HLA-DPB2,0.777632804652624,0.793061381604736
HLA-DPB2,HLA-DPB1,0.777632804652624,0.793061381604736
HLA-DPB1,HLA-DRB5,0.472605049030218,0.45401150887631
HLA-DRB5,HLA-DPB1,0.472605049030218,0.45401150887631
HLA-DPB1,HLA-L,0.42814029071282,0.473829266412721
HLA-L,HLA-DPB1,0.42814029071282,0.473829266412721
HLA-DPB1,HLA-S,0.871718765164225,0.837668593441745
HLA-S,HLA-DPB1,0.871718765164225,0.837668593441745
HLA-DPB1,HLA-V,0.586772630784034,0.635416049152295
HLA-V,HLA-DPB1,0.586772630784034,0.635416049152295
HLA-DPB1,HLA-Y,0,NaN
HLA-Y,HLA-DPB1,0,NaN
HLA-DPB2,CYP2D6,0.271863947420281,0.341013405584541
CYP2D6,HLA-DPB2,0.271863947420281,0.341013405584541
