gene1,gene2,D,Wn,hap_num,sample_num
HLA-DMB,HLA-DQA1,0.354235338012086,0.232813449672265,277,967
HLA-DQA1,HLA-DOA,0.439146069274209,0.218678692541567,446,937
HLA-DOA,HLA-DQA1,0.439146069274209,0.218678692541567,446,937
HLA-DQA1,HLA-DOB,0.390544817460236,0.336446279263531,236,927
HLA-DOB,HLA-DQA1,0.390544817460236,0.336446279263531,236,927
HLA-DQA1,HLA-DPA2,0.239443747488128,0.271015108579149,196,983
HLA-DPA2,HLA-DQA1,0.239443747488128,0.271015108579149,196,983
HLA-DQA1,HLA-DPB1,0.665605373503121,0.467891587987112,1008,1002
HLA-DPB1,HLA-DQA1,0.665605373503121,0.467891587987112,1008,1002
HLA-DQA1,HLA-DPB2,0.292983083716094,0.309942633258216,202,1007
HLA-DPB2,HLA-DQA1,0.292983083716094,0.309942633258216,202,1007
HLA-DQA1,HLA-DQA2,0.413037795776516,0.256535107501419,251,1007
HLA-DQA2,HLA-DQA1,0.413037795776516,0.256535107501419,251,1007
HLA-DQA1,HLA-DQB1,0.898963266965661,0.590464364784534,406,998
HLA-DQB1,HLA-DQA1,0.898963266965661,0.590464364784534,406,998
HLA-DQA1,HLA-DQB2,0.432072912523325,0.303914187688286,225,946
HLA-DQB2,HLA-DQA1,0.432072912523325,0.303914187688286,225,946
HLA-DQA1,HLA-DRA,0.686605376147019,0.414252818296224,423,1007
HLA-DRA,HLA-DQA1,0.686605376147019,0.414252818296224,423,1007
HLA-DQA1,HLA-DRB1,0.860009089421374,0.594713992791018,725,1007
HLA-DRB1,HLA-DQA1,0.860009089421374,0.594713992791018,725,1007
HLA-DQA1,HLA-DRB3,0.443688446168129,0.23886191938897,286,857
HLA-DRB3,HLA-DQA1,0.443688446168129,0.23886191938897,286,857
HLA-DQA1,HLA-DRB4,0.353129078712403,0.272100911281722,317,1006
HLA-DRB4,HLA-DQA1,0.353129078712403,0.272100911281722,317,1006
HLA-DQA1,HLA-DRB5,0.370496284212227,0.257498032056299,287,990
HLA-DRB5,HLA-DQA1,0.370496284212227,0.257498032056299,287,990
HLA-DQA1,HLA-E,0.260521210585445,0.210688149913227,272,1000
HLA-E,HLA-DQA1,0.260521210585445,0.210688149913227,272,1000
HLA-DQA1,HLA-F,0.381398102117559,0.207898535860556,444,937
