Allele,Count
KIR2DS1*0020115,15
KIR2DS1*0020104,33
KIR2DS1*0020105,6
KIR2DS1*0020106,51
KIR2DS1*010,30
KIR2DS1*0020103,152
KIR2DS1*0020111,31
KIR2DS1*013,5
KIR2DS1*011,9
KIR2DS1*0020110,9
KIR2DS1*0020114,14
KIR2DS1*0020108,13
KIR2DS1*0120102,9
KIR2DS1*0020112,21
KIR2DS1*0020117,6
KIR2DS1*0020101,16
KIR2DS1*0020113,7
KIR2DS1*0020107,7
KIR2DS1*0020118,7
KIR2DS1*0020116,9
KIR2DS5*0020104,17
KIR2DS5*0020123,17
KIR2DS5*0020132,63
KIR2DS5*0020116,16
KIR2DS5*0020126,11
KIR2DS5*0070102,12
KIR2DS5*0210102,6
KIR2DS5*0020114,9
KIR2DS5*0020117,13
KIR2DS5*0020111,69
KIR2DS5*024,6
KIR2DS5*0020103,7
KIR2DS5*029,5
KIR2DS5*031,1
KIR2DS5*0020131,5
KIR2DS5*0020113,2
KIR2DS5*0270102,13
KIR2DS5*0020108,16
KIR2DS5*0020115,6
KIR2DS5*0060102,16
KIR2DS5*0020106,7
KIR2DS5*0020129,1
KIR2DS5*0020130,2
KIR2DS5*0020118,5
KIR2DS5*00206,3
KIR3DS1*01310,3
KIR3DS1*1270101,1
KIR3DS1*0130101,137
KIR3DS1*0130113,3
KIR3DS1*01312,4
KIR3DS1*122,2
KIR3DS1*0130127,63
KIR3DS1*0130125,3
KIR3DS1*0130114,8
KIR3DS1*0130131,7
KIR3DS1*1280101,3
KIR3DS1*0130109,8
KIR3DS1*0130105,11
KIR3DS1*078,21
KIR3DS1*01308,8
KIR3DS1*0130102,14
KIR3DS1*0130126,4
KIR3DS1*0130116,4
KIR3DS1*055,24
KIR3DS1*0130119,5
KIR3DS1*0130107,19
KIR3DS1*1240101,1
KIR3DS1*0130103,21
KIR3DS1*0130132,1
KIR3DS1*04902N,2
KIR3DS1*0130104,7
KIR3DS1*0130111,17
KIR3DS1*0130128,1
KIR3DS1*1270102,1
KIR3DS1*0130106,7
KIR2DL5B*0020107,57
KIR2DL5B*035,23
KIR2DL5B*0020101,19
KIR2DL5B*010,1
KIR2DL5B*0020110,9
KIR2DL5B*0020109,10
KIR2DS3*0010301,67
KIR2DS3*0210101,8
KIR2DS3*0010306,2
KIR2DS3*0010313,18
KIR2DS3*0010316,6
KIR2DS3*0020103,11
KIR2DS3*00109,8
KIR2DS3*020,8
KIR2DS3*0010312,24
KIR2DS3*0020101,34
KIR2DS3*0010303,3
KIR2DS3*009,5
KIR2DS3*0010321,4
KIR2DS3*015,4
KIR2DS3*0220103,9
KIR2DS3*0210102,6
KIR2DS3*016,3
KIR2DS3*0030102N,9
KIR2DS3*0020107,2
KIR2DS3*00202,7
KIR2DS3*0010304,8
KIR2DS3*0020105,2
KIR2DS3*0010319,1
KIR2DS3*0020104,5
KIR2DL5A*0010101,34
KIR2DL5A*0010103,35
KIR2DL5A*025,6
KIR2DL5A*027,16
KIR2DL5A*00107,7
KIR2DL5A*0050104,14
KIR2DL5A*0050101,26
KIR2DL5A*026,4
KIR2DL5A*0230101,2
KIR2DL5A*0010901,3
KIR2DL5A*0230102,6
KIR2DL5A*00106,17
KIR2DL5A*00103,11
KIR2DL5A*0010105,14
KIR2DL5A*0210102,2
KIR2DL5A*0010102,18
KIR2DL5A*0010106,5
KIR2DP1*0030107,5
KIR2DP1*0020125,1
KIR2DP1*00106,8
KIR2DP1*0030105,1
KIR2DP1*0020106,14
KIR2DP1*0020108,1
KIR2DP1*0010202,8
KIR2DP1*0340102,2
KIR2DP1*0020107,1
KIR2DP1*0020110,2
KIR3DL2*0071302,1
KIR3DL2*0070105,4
KIR3DL2*138,3
KIR3DL2*131N,27
KIR3DL2*0070101,5
KIR3DL2*00202,8
KIR3DL2*0020106,14
KIR3DL2*126,1
KIR3DL2*00206,4
KIR3DL2*1200101,3
KIR3DL2*1390102,8
KIR3DL2*0010305,9
KIR2DL4*042,13
KIR2DL4*010,1
KIR2DL4*0080207,2
KIR2DL4*00107,7
KIR2DS4*0010104,20
KIR2DS4*0030102,4
KIR3DL3*0030102,4
KIR3DL3*0070103,12
KIR3DL3*04802,10
KIR3DL3*065,6
KIR3DL3*0020201,1
KIR3DL3*0140204,6
KIR3DL3*106,3
KIR3DL3*0060103,3
KIR2DL1*0030298,2
KIR2DL1*0030205,99
KIR2DL1*0020503,16
KIR2DL1*0030253,24
KIR2DL1*0040133,1
KIR2DL1*0040901,2
KIR2DL1*0020139,6
KIR2DL1*0040108,14
KIR2DL1*116,10
KIR2DL1*0020502,2
KIR2DL1*055,12
KIR2DL1*0030248,4
KIR2DL1*0020501,2
KIR2DL1*0020120,1
KIR2DL1*0030221,13
KIR2DL1*082,5
KIR2DL1*0030213,4
KIR2DL1*0690102,1
KIR2DL1*100Q,2
KIR2DL1*0930102,1
KIR2DL1*0030285,17
KIR2DL1*0030241,1
KIR2DL1*01201,8
KIR2DL1*0030220,7
KIR2DL1*0040117,3
KIR2DL1*0030246,4
KIR2DL1*0370102,2
KIR2DL1*00315,2
KIR2DL1*0030265,25
KIR2DL1*0040105,7
KIR2DL1*108,2
KIR3DL1*173,3
KIR3DL1*0150207,7
KIR3DL1*0150208,13
KIR3DL1*0150203,34
KIR3DL1*0050104,11
KIR3DL1*0150209,5
KIR3DL1*0290101,20
KIR3DL1*0150101,85
KIR3DL1*152,3
KIR3DL1*0150218,10
KIR3DL1*0050105,5
KIR3DL1*1490102,3
KIR3DL1*0040115,3
