gene1,gene2,D,Wn,hap_num,sample_num,Wab,min_w
TRBV11-2,TRBV16,0.256179077199077,0.0700962132730119,4,698,0.0700962132730126,0.0700962132730125
TRBV16,TRBV11-2,0.256179077199077,0.0700962132730119,4,698,0.0700962132730125,0.0700962132730125
TRBV11-2,TRBV17,0.165517018010383,0.159630955999823,4,712,0.159630955999841,0.15963095599984
TRBV17,TRBV11-2,0.165517018010383,0.159630955999823,4,712,0.15963095599984,0.15963095599984
TRBV11-2,TRBV19,0.647601717863919,0.0618702655912598,4,708,0.0618702655911808,0.0618702655911808
TRBV19,TRBV11-2,0.647601717863919,0.0618702655912598,4,708,0.0618702655912561,0.0618702655911808
TRBV11-2,TRBV20-1,0.0695237099291367,0.0481150376457574,6,706,0.0425188387969997,0.0425188387969997
TRBV20-1,TRBV11-2,0.0695237099291367,0.0481150376457574,6,706,0.0481150376457515,0.0425188387969997
TRBV11-2,TRBV21-1,0.0764769966172425,0.0665948517183534,4,696,0.0665948517183284,0.0665948517183284
TRBV21-1,TRBV11-2,0.0764769966172425,0.0665948517183534,4,696,0.0665948517183328,0.0665948517183284
TRBV11-2,TRBV24-1,0.0696859761506763,0.0600479433986465,4,691,0.0600479433986703,0.060047943398667
TRBV24-1,TRBV11-2,0.0696859761506763,0.0600479433986465,4,691,0.060047943398667,0.060047943398667
TRBV11-2,TRBV30,0.0575575666965389,0.0369176069731807,8,713,0.0257110701778253,0.0257110701778253
TRBV30,TRBV11-2,0.0575575666965389,0.0369176069731807,8,713,0.0369176069731604,0.0257110701778253
TRBV11-2,TRBV5-5,0.364590997691484,0.321982368133562,4,726,0.321982368133559,0.321982368133559
TRBV5-5,TRBV11-2,0.364590997691484,0.321982368133562,4,726,0.321982368133559,0.321982368133559
TRBV11-2,TRBV6-6,0.367669768947563,0.346648279670958,7,702,0.315831633553983,0.315831633553983
TRBV6-6,TRBV11-2,0.367669768947563,0.346648279670958,7,702,0.346648279670963,0.315831633553983
TRBV11-2,TRBV7-6,0.999999999999778,0.0172861714408048,3,720,0.0172861714365992,0.0172861714365992
TRBV7-6,TRBV11-2,0.999999999999778,0.0172861714408048,3,720,0.0172861714407999,0.0172861714365992
TRBV11-2,TRBV7-9,0.0937454885474127,0.0915991296657502,4,681,0.0915991296657673,0.0915991296657668
TRBV7-9,TRBV11-2,0.0937454885474127,0.0915991296657502,4,681,0.0915991296657668,0.0915991296657668
TRBV11-3,TRBJ1-6,0.292419005099979,0.124137887546745,4,666,0.124137887546741,0.124137887546732
TRBJ1-6,TRBV11-3,0.292419005099979,0.124137887546745,4,666,0.124137887546732,0.124137887546732
TRBV11-3,TRBJ2-7,0.141571129381606,0.0173752180525948,4,673,0.0173752180525013,0.0173752180525013
TRBJ2-7,TRBV11-3,0.141571129381606,0.0173752180525948,4,673,0.0173752180525448,0.0173752180525013
TRBV11-3,TRBV14,0.706677922029475,0.69241077950187,4,696,0.692410779501868,0.692410779501868
TRBV14,TRBV11-3,0.706677922029475,0.69241077950187,4,696,0.692410779501869,0.692410779501868
TRBV11-3,TRBV15,0.729272703078267,0.0871650961150796,4,702,0.0871650961150646,0.0871650961150646
TRBV15,TRBV11-3,0.729272703078267,0.0871650961150796,4,702,0.0871650961150745,0.0871650961150646
TRBV11-3,TRBV16,0.866398966225334,0.148099021609985,4,683,0.148099021609995,0.148099021609993
TRBV16,TRBV11-3,0.866398966225334,0.148099021609985,4,683,0.148099021609993,0.148099021609993
TRBV11-3,TRBV17,0.597262565255165,0.149307848367118,4,696,0.149307848367123,0.149307848367123
TRBV17,TRBV11-3,0.597262565255165,0.149307848367118,4,696,0.149307848367131,0.149307848367123
TRBV11-3,TRBV19,0.491119305848328,0.168304764806829,4,692,0.168304764806847,0.168304764806831
TRBV19,TRBV11-3,0.491119305848328,0.168304764806829,4,692,0.168304764806831,0.168304764806831
TRBV11-3,TRBV20-1,0.517059791339322,0.618794957566558,6,696,0.290966728260578,0.290966728260578
TRBV20-1,TRBV11-3,0.517059791339322,0.618794957566558,6,696,0.618794957566559,0.290966728260578
TRBV11-3,TRBV21-1,0.230176087308712,0.0512037502009265,4,693,0.051203750200918,0.051203750200918
TRBV21-1,TRBV11-3,0.230176087308712,0.0512037502009265,4,693,0.0512037502009195,0.051203750200918
TRBV11-3,TRBV24-1,0.498649176418104,0.109959644549695,4,679,0.109959644549698,0.109959644549698
TRBV24-1,TRBV11-3,0.498649176418104,0.109959644549695,4,679,0.109959644549706,0.109959644549698
TRBV11-3,TRBV30,0.134057519634124,0.0722100074691137,8,690,0.0387246554099755,0.0387246554099755
TRBV30,TRBV11-3,0.134057519634124,0.0722100074691137,8,690,0.0722100074691015,0.0387246554099755
