y,x,Type,subtype,color
IGKV3D-15,1,VDJ,IG,#2a347a
IGKV3D-11,1,VDJ,IG,#2a347a
IGKV1D-42,1,VDJ,IG,#2a347a
IGKV1D-43,1,VDJ,IG,#2a347a
IGKV1D-8,1,VDJ,IG,#2a347a
IGKV3D-7,1,VDJ,IG,#2a347a
IGLV4-69,1,VDJ,IG,#2a347a
IGLV1-62,1,VDJ,IG,#2a347a
IGLV8-61,1,VDJ,IG,#2a347a
IGLV4-60,1,VDJ,IG,#2a347a
IGLV6-57,1,VDJ,IG,#2a347a
IGLV11-55,1,VDJ,IG,#2a347a
IGLV10-54,1,VDJ,IG,#2a347a
IGLV5-52,1,VDJ,IG,#2a347a
IGLV1-51,1,VDJ,IG,#2a347a
IGLV1-50,1,VDJ,IG,#2a347a
IGLV9-49,1,VDJ,IG,#2a347a
IGLV5-48,1,VDJ,IG,#2a347a
IGLV1-47,1,VDJ,IG,#2a347a
IGLV7-46,1,VDJ,IG,#2a347a
IGLV5-45,1,VDJ,IG,#2a347a
IGLV1-44,1,VDJ,IG,#2a347a
IGLV7-43,1,VDJ,IG,#2a347a
IGLV1-41,1,VDJ,IG,#2a347a
IGLV1-40,1,VDJ,IG,#2a347a
IGLV5-37,1,VDJ,IG,#2a347a
IGLV1-36,1,VDJ,IG,#2a347a
IGLV2-34,1,VDJ,IG,#2a347a
IGLV2-33,1,VDJ,IG,#2a347a
IGLV3-32,1,VDJ,IG,#2a347a
IGLV3-31,1,VDJ,IG,#2a347a
IGLV3-27,1,VDJ,IG,#2a347a
IGLV3-25,1,VDJ,IG,#2a347a
IGLV2-23,1,VDJ,IG,#2a347a
IGLV3-22,1,VDJ,IG,#2a347a
IGLV3-21,1,VDJ,IG,#2a347a
IGLV3-19,1,VDJ,IG,#2a347a
IGLV2-18,1,VDJ,IG,#2a347a
IGLV3-16,1,VDJ,IG,#2a347a
IGLV2-14,1,VDJ,IG,#2a347a
IGLV3-13,1,VDJ,IG,#2a347a
IGLV3-12,1,VDJ,IG,#2a347a
IGLV2-11,1,VDJ,IG,#2a347a
IGLV3-10,1,VDJ,IG,#2a347a
IGLV3-9,1,VDJ,IG,#2a347a
IGLV2-8,1,VDJ,IG,#2a347a
IGLV2-5,1,VDJ,IG,#2a347a
IGLV4-3,1,VDJ,IG,#2a347a
IGLV3-1,1,VDJ,IG,#2a347a
IGLJ1,1,VDJ,IG,#2a347a
IGLJ2,1,VDJ,IG,#2a347a
IGLJ3,1,VDJ,IG,#2a347a
IGLJ4,1,VDJ,IG,#2a347a
IGLJ5,1,VDJ,IG,#2a347a
IGLJ6,1,VDJ,IG,#2a347a
IGLJ7,1,VDJ,IG,#2a347a
TRGJ2,1,VDJ,TCR,#d6d69b
TRGJP2,1,VDJ,TCR,#d6d69b
TRGJ1,1,VDJ,TCR,#d6d69b
TRGJP,1,VDJ,TCR,#d6d69b
TRGJP1,1,VDJ,TCR,#d6d69b
TRGV11,1,VDJ,TCR,#d6d69b
TRGV10,1,VDJ,TCR,#d6d69b
TRGV9,1,VDJ,TCR,#d6d69b
TRGVA,1,VDJ,TCR,#d6d69b
TRGV8,1,VDJ,TCR,#d6d69b
TRGV5P,1,VDJ,TCR,#d6d69b
TRGV5,1,VDJ,TCR,#d6d69b
TRGV4,1,VDJ,TCR,#d6d69b
TRGV3,1,VDJ,TCR,#d6d69b
TRGV2,1,VDJ,TCR,#d6d69b
TRGV1,1,VDJ,TCR,#d6d69b
TRBV1,1,VDJ,TCR,#d6d69b
TRBV2,1,VDJ,TCR,#d6d69b
TRBV3-1,1,VDJ,TCR,#d6d69b
TRBV4-1,1,VDJ,TCR,#d6d69b
TRBV5-1,1,VDJ,TCR,#d6d69b
TRBV6-1,1,VDJ,TCR,#d6d69b
TRBV7-1,1,VDJ,TCR,#d6d69b
TRBV4-2,1,VDJ,TCR,#d6d69b
TRBV6-2,1,VDJ,TCR,#d6d69b
TRBV7-2,1,VDJ,TCR,#d6d69b
TRBV6-4,1,VDJ,TCR,#d6d69b
TRBV7-3,1,VDJ,TCR,#d6d69b
TRBV5-3,1,VDJ,TCR,#d6d69b
TRBV9,1,VDJ,TCR,#d6d69b
TRBV10-1,1,VDJ,TCR,#d6d69b
TRBV11-1,1,VDJ,TCR,#d6d69b
TRBV12-1,1,VDJ,TCR,#d6d69b
TRBV10-2,1,VDJ,TCR,#d6d69b
TRBV11-2,1,VDJ,TCR,#d6d69b
TRBV12-2,1,VDJ,TCR,#d6d69b
TRBV6-5,1,VDJ,TCR,#d6d69b
TRBV7-4,1,VDJ,TCR,#d6d69b
TRBV5-4,1,VDJ,TCR,#d6d69b
TRBV6-6,1,VDJ,TCR,#d6d69b
TRBV5-5,1,VDJ,TCR,#d6d69b
TRBV6-7,1,VDJ,TCR,#d6d69b
TRBV7-6,1,VDJ,TCR,#d6d69b
TRBV5-6,1,VDJ,TCR,#d6d69b
TRBV6-8,1,VDJ,TCR,#d6d69b
TRBV7-7,1,VDJ,TCR,#d6d69b
TRBV7-9,1,VDJ,TCR,#d6d69b
TRBV13,1,VDJ,TCR,#d6d69b
TRBV10-3,1,VDJ,TCR,#d6d69b
TRBV11-3,1,VDJ,TCR,#d6d69b
TRBV12-3,1,VDJ,TCR,#d6d69b
TRBV12-4,1,VDJ,TCR,#d6d69b
TRBV12-5,1,VDJ,TCR,#d6d69b
TRBV14,1,VDJ,TCR,#d6d69b
TRBV15,1,VDJ,TCR,#d6d69b
TRBV16,1,VDJ,TCR,#d6d69b
