Family	Allele	ACB	ASW	BEB	CDX	CEU	CHB	CHS	CLM	ESN	FIN	GBR	GIH	GWD	IBS	ITU	JPT	KHV	LWK	MSL	MXL	PEL	PJL	PUR	STU	TSI	YRI
TCR	TRAV1-1*02	0.2717391304347826	0.2638888888888889	0.3372093023255814	0.11538461538461539	0.4827586206896552	0.11428571428571428	0.04878048780487805	0.3522727272727273	0.3541666666666667	0.5138888888888888	0.35365853658536583	0.40540540540540543	0.3787878787878788	0.4375	0.38461538461538464	0.03125	0.13953488372093023	0.37142857142857144	0.2948717948717949	0.2647058823529412	0.14772727272727273	0.25	0.32142857142857145	0.3375	0.5294117647058824	0.3194444444444444
TCR	TRAV1-1*01	0.7282608695652174	0.6805555555555556	0.6627906976744186	0.8846153846153846	0.5172413793103449	0.8571428571428571	0.9512195121951219	0.6477272727272727	0.6458333333333334	0.4861111111111111	0.6463414634146342	0.5945945945945946	0.6212121212121212	0.5125	0.5897435897435898	0.96875	0.813953488372093	0.6	0.6538461538461539	0.7058823529411765	0.8522727272727273	0.725	0.6547619047619048	0.6625	0.47058823529411764	0.6805555555555556
TCR	TRAV1-2*01	0.75	0.75	0.872093023255814	0.7307692307692307	0.9482758620689655	0.6714285714285714	0.7073170731707317	0.8181818181818182	0.7708333333333334	0.6666666666666666	0.9024390243902439	0.9324324324324325	0.6666666666666666	0.7375	0.6410256410256411	0.703125	0.6395348837209303	0.7857142857142857	0.7692307692307693	0.7058823529411765	0.7727272727272727	0.775	0.8452380952380952	0.6875	0.7647058823529411	0.625
TCR	TRAV6*07	0.08695652173913043	0.125	0.19767441860465115	0.28205128205128205	0.05172413793103448	0.34285714285714286	0.2804878048780488	0.125	0.19791666666666666	0.2916666666666667	0.07317073170731707	0.12162162162162163	0.13636363636363635	0.1875	0.21794871794871795	0.359375	0.2558139534883721	0.18571428571428572	0.20512820512820512	0.2647058823529412	0.4090909090909091	0.275	0.10714285714285714	0.2875	0.14705882352941177	0.18055555555555555
TCR	TRAV6*02	0.6739130434782609	0.6805555555555556	0.6162790697674418	0.5897435897435898	0.603448275862069	0.5571428571428572	0.5609756097560976	0.5454545454545454	0.5104166666666666	0.5833333333333334	0.5609756097560976	0.7837837837837838	0.6818181818181818	0.4875	0.5512820512820513	0.40625	0.6511627906976745	0.6	0.6410256410256411	0.5882352941176471	0.48863636363636365	0.6	0.5357142857142857	0.5625	0.5147058823529411	0.5555555555555556
TCR	TRAV10*01	0.8913043478260869	0.9444444444444444	0.9418604651162791	0.9358974358974359	0.9827586206896551	0.8	0.8780487804878049	0.8977272727272727	0.9166666666666666	0.9444444444444444	0.9512195121951219	0.8918918918918919	0.8484848484848485	0.85	0.8846153846153846	0.703125	0.8255813953488372	0.8571428571428571	0.8974358974358975	0.8382352941176471	0.9545454545454546	0.8875	0.8928571428571429	0.825	0.9411764705882353	0.8194444444444444
TCR	TRAV8-2*01	0.6304347826086957	0.5833333333333334	0.6395348837209303	0.4358974358974359	0.9482758620689655	0.42857142857142855	0.43902439024390244	0.7727272727272727	0.5729166666666666	0.9027777777777778	0.8414634146341463	0.6486486486486487	0.6363636363636364	0.7	0.5769230769230769	0.421875	0.5	0.6	0.6153846153846154	0.6470588235294118	0.6477272727272727	0.6125	0.8333333333333334	0.575	0.8235294117647058	0.5972222222222222
TCR	TRAV8-3*02	0.391304347826087	0.5138888888888888	0.37209302325581395	0.46153846153846156	0.4827586206896552	0.38571428571428573	0.43902439024390244	0.5227272727272727	0.6145833333333334	0.2638888888888889	0.3902439024390244	0.40540540540540543	0.4090909090909091	0.35	0.4358974358974359	0.359375	0.313953488372093	0.4	0.44871794871794873	0.5735294117647058	0.6136363636363636	0.4125	0.4166666666666667	0.2875	0.39705882352941174	0.4444444444444444
TCR	TRAV8-3*01	0.6086956521739131	0.4861111111111111	0.627906976744186	0.5384615384615384	0.5172413793103449	0.5857142857142857	0.5609756097560976	0.4772727272727273	0.3854166666666667	0.7361111111111112	0.6097560975609756	0.5945945945945946	0.5909090909090909	0.6	0.5128205128205128	0.609375	0.6395348837209303	0.6	0.5256410256410257	0.36764705882352944	0.38636363636363635	0.5625	0.5357142857142857	0.6625	0.5735294117647058	0.4444444444444444
TCR	TRAV13-1*01	0.358695652173913	0.4027777777777778	0.29069767441860467	0.28205128205128205	0.5344827586206896	0.3	0.2682926829268293	0.5568181818181818	0.3854166666666667	0.375	0.47560975609756095	0.3108108108108108	0.3484848484848485	0.475	0.41025641025641024	0.328125	0.22093023255813954	0.38571428571428573	0.2692307692307692	0.35294117647058826	0.3522727272727273	0.3125	0.5119047619047619	0.3	0.5882352941176471	0.3888888888888889
TCR	TRAV13-1*02	0.6413043478260869	0.5972222222222222	0.7093023255813954	0.717948717948718	0.46551724137931033	0.6714285714285714	0.7317073170731707	0.4431818181818182	0.6145833333333334	0.625	0.524390243902439	0.6891891891891891	0.6515151515151515	0.5	0.5384615384615384	0.609375	0.7325581395348837	0.5571428571428572	0.7051282051282052	0.5882352941176471	0.6477272727272727	0.6375	0.4642857142857143	0.65	0.4117647058823529	0.5833333333333334
TCR	TRAV12-2*01	0.2391304347826087	0.2638888888888889	0.23255813953488372	0.5384615384615384	0.5344827586206896	0.5142857142857142	0.2926829268292683	0.6136363636363636	0.2916666666666667	0.625	0.5609756097560976	0.35135135135135137	0.24242424242424243	0.525	0.46153846153846156	0.28125	0.4883720930232558	0.24285714285714285	0.21794871794871795	0.45588235294117646	0.5113636363636364	0.2875	0.5238095238095238	0.4625	0.5882352941176471	0.3472222222222222
TCR	TRAV12-2*02	0.33695652173913043	0.4166666666666667	0.5232558139534884	0.08974358974358974	0.46551724137931033	0.2	0.3170731707317073	0.3181818181818182	0.28125	0.3194444444444444	0.34146341463414637	0.43243243243243246	0.22727272727272727	0.4375	0.34615384615384615	0.40625	0.19767441860465115	0.2714285714285714	0.3333333333333333	0.39705882352941174	0.375	0.5875	0.35714285714285715	0.3125	0.36764705882352944	0.2916666666666667
TCR	TRAV8-4*01	0.6739130434782609	0.6111111111111112	0.5348837209302325	0.9102564102564102	0.5517241379310345	0.8714285714285714	0.7439024390243902	0.6931818181818182	0.7916666666666666	0.7083333333333334	0.7195121951219512	0.5540540540540541	0.7878787878787878	0.5875	0.6025641025641025	0.640625	0.7558139534883721	0.7142857142857143	0.6153846153846154	0.5735294117647058	0.5681818181818182	0.425	0.6190476190476191	0.725	0.6911764705882353	0.7222222222222222
TCR	TRAV8-4*03	0.30434782608695654	0.3611111111111111	0.46511627906976744	0.08974358974358974	0.4482758620689655	0.12857142857142856	0.25609756097560976	0.3068181818181818	0.20833333333333334	0.2916666666666667	0.2804878048780488	0.44594594594594594	0.21212121212121213	0.4125	0.34615384615384615	0.328125	0.19767441860465115	0.2571428571428571	0.32051282051282054	0.36764705882352944	0.4318181818181818	0.525	0.3333333333333333	0.2	0.3088235294117647	0.19444444444444445
