HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate
HLA-P*01,IGKV1D-8*03,0.6445090286155076,0.0003796205913129398,0.019393644613618137,0.042,HLA_vs_IG,0.0402,0.002173000626136138,0.028715216104203672,
HLA-H*02,IGHV7-34-1*01,0.6434515515808987,0.00039091545990946596,0.03819089196152407,0.085,HLA_vs_IG,0.0408,0.0021997276727108933,0.02901124925991711,0.34615384615384615
HLA-H*02,IGHV4-39*07,0.6424445466586394,0.00040194281468562237,0.037525480561034656,0.035,HLA_vs_IG,0.0411,0.002224083574593777,0.02989934872705743,0.23529411764705882
HLA-F*01,IGKV3D-7*01,0.6363729136951501,0.00047436540218727315,0.029061778487821918,0.029,HLA_vs_IG,0.0436,0.002499830373431344,0.03049141503848431,0.75
HLA-V*01,IGKJ3*01,0.6368244467380558,0.0004686132546916841,0.004747290685201926,0.001,HLA_vs_IG,0.0433,0.002499830373431344,0.03049141503848431,0.4772727272727273
HLA-DPA1*01,IGLV7-46*04,0.6369105754888889,0.00046752297911067405,0.03472631963995887,0.055,HLA_vs_IG,0.0433,0.002499830373431344,0.03049141503848431,0.5555555555555556
HLA-P*01,IGKV2D-28*01,-0.6356718328422556,0.0004834185274993168,0.011696663568836172,0.022,HLA_vs_IG,0.0441,0.0025077336114027056,0.03137951450562463,
HLA-DRB1*04,IGHV1-2*04,0.6347321646784111,0.0004957884630534815,0.02275402263555815,0.023,HLA_vs_IG,0.0448,0.002532334918980859,0.03137951450562463,
HLA-DOB*01,IGLV1-36*01,0.6336459707650536,0.0005104300796769796,0.02392457726183661,0.141,HLA_vs_IG,0.0456,0.0025676179765569277,0.03137951450562463,0.75
HLA-U*01,IGLV4-69*01,0.6291963099936048,0.0005744142103284174,0.015476439078654473,0.043,HLA_vs_IG,0.0475,0.002577101592284251,0.03285968028419183,0.8666666666666667
HLA-K*01,IGKV1D-43*01,0.6294925453503558,0.0005699475960884578,0.006853357936821226,0.146,HLA_vs_IG,0.0474,0.002577101592284251,0.03256364712847839,0.7272727272727273
HLA-U*01,IGHV3-32*02,0.6295340009371373,0.0005693249485405653,0.04314460973646882,0.038,HLA_vs_IG,0.0474,0.002577101592284251,0.03197158081705151,0.375
HLA-DPA1*02,IGLV3-21*02,-0.6322929017390203,0.0005291947629997731,0.0014822963574206718,0.003,HLA_vs_IG,0.0464,0.002577101592284251,0.03137951450562463,0.5714285714285714
HLA-H*02,IGKV2-29*02,-0.6293466057512055,0.0005721442713060486,0.012411071390076044,0.018,HLA_vs_IG,0.0475,0.002577101592284251,0.03256364712847839,
HLA-DOA*01,IGLV1-40*01,0.6323700036523993,0.0005281095839489627,0.03146032036496249,0.091,HLA_vs_IG,0.0464,0.002577101592284251,0.03137951450562463,0.5555555555555556
HLA-V*01,IGKJ5*01,0.6305531454490464,0.0005542027516155237,0.002655140514716691,0.002,HLA_vs_IG,0.0472,0.002577101592284251,0.03167554766133807,0.5882352941176471
HLA-DOB*01,IGHV3-11*01,0.6296855453563127,0.0005670538407216737,0.008115475323951637,0.026,HLA_vs_IG,0.0474,0.002577101592284251,0.03197158081705151,
HLA-DOB*01,IGLV3-25*03,0.628275243669614,0.0005884971020280454,0.018151826350681702,0.047,HLA_vs_IG,0.0482,0.002605080504977481,0.03285968028419183,0.4375
HLA-H*02,IGHV4-39*01,-0.627351415629964,0.0006029229228701934,0.04120329105804662,0.024,HLA_vs_IG,0.0486,0.002633821189380319,0.03285968028419183,0.3333333333333333
HLA-P*02,IGLV6-57*01,-0.6264288157458551,0.0006176354703772353,0.045033615844292246,0.067,HLA_vs_IG,0.0491,0.002663051638509638,0.03315571343990527,0.25
MICB*052,IGLV2-18*02,-0.6255832747183641,0.0006313922714660597,0.044536178742848355,0.015,HLA_vs_IG,0.0492,0.0026874645400863056,0.03345174659561871,0.3157894736842105
TAP2*02,TRBJ1-6*02,-0.8442833630459979,5.919294218047834e-08,0.04091807879454653,0.044,HLA_vs_TCR,0.0016,2.9399161282970914e-06,0.0005128205128205128,0.3076923076923077
HLA-DPB2*01,TRBJ1-6*01,0.8585820173552619,2.013666065215646e-08,0.03614888952338748,0.098,HLA_vs_TCR,0.0011,2.9399161282970914e-06,0.0,0.2608695652173913
