HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_CI_lower,bootstrap_CI_upper,bootstrap_sign_stability,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate
MICB*002,CYP3A5*1,0.7071173490561352,5.3687631822348316e-05,0.0385809840500967,0.41829335160154246,0.8688981394925099,1.0,0.0,HLA_vs_CYP,0.0149,0.00034598696063291133,0.010526315789473684,0.7450980392156863
HLA-P*01,CYP2C19*17,0.7084412484514035,5.123871124187542e-05,0.03847057953495327,0.4828556282814657,0.8586579212043056,1.0,0.0,HLA_vs_CYP,0.0149,0.00034598696063291133,0.010526315789473684,
HLA-DPA2*02,SLCO1B1*37,0.6762448461179852,0.00014920574681856076,0.04367648796441404,0.39001361484768987,0.8540465330517726,1.0,0.0,HLA_vs_CYP,0.0251,0.0008653933315476524,0.010526315789473684,
HLA-T*03,CYP2C19*2,0.671561256666153,0.0001724437850028723,0.001046968051295563,0.4065761807190866,0.846561469517348,1.0,0.0,HLA_vs_CYP,0.0271,0.000909249048196963,0.010526315789473684,0.5454545454545454
HLA-DPA1*02,SLCO1B1*1,-0.6616000792450419,0.00023268404860809933,0.048968522113060825,-0.8396016256369755,-0.48248925039778745,1.0,0.0,HLA_vs_CYP,0.0312,0.00112463956827248,0.010526315789473684,0.8928571428571429
HLA-DPB2*01,CYP3A5*3,0.6415444433016837,0.0004120283285687906,0.04864978184130966,0.3666523115415938,0.8058454440615704,0.999,0.001,HLA_vs_CYP,0.0401,0.0018382802351530657,0.010526315789473684,0.95
TAP1*01,IGLJ6*01,0.8454624183696497,5.4380700460526294e-08,4.570820919228158e-05,0.5615715352878733,0.9302664430363727,1.0,0.0,HLA_vs_IG,0.0007,2.3873127502171046e-05,0.0,0.0
TAP2*01,IGLV6-57*01,0.8032551100003459,7.820056857669048e-07,0.022223056479498238,0.6440042220541369,0.9033796485455357,1.0,0.0,HLA_vs_IG,0.0021,0.00010083629463503656,0.0,0.9746835443037974
HLA-DRB4*01,IGHV4-61*01,0.7961860592492606,1.1484771598523527e-06,0.01988124085554403,0.6310036972982829,0.9011686491039967,1.0,0.0,HLA_vs_IG,0.0023,0.00010083629463503656,0.0007686395080707148,0.967741935483871
HLA-C*04,IGHV4-39*01,-0.7995812590891823,9.566936385061114e-07,0.00943754614319008,-0.9015501219008102,-0.62363047703907,1.0,0.0,HLA_vs_IG,0.0021,0.00010083629463503656,0.0,1.0
HLA-K*01,IGLV4-69*01,0.8095058096403189,5.495172043021588e-07,8.486358962786986e-05,0.5248584573391459,0.9337531176055461,1.0,0.0,HLA_vs_IG,0.0017,0.00010083629463503656,0.0,0.3333333333333333
HLA-DMB*01,IGKV1D-39*01,0.788098301155056,1.7512581142974112e-06,1.6773906761253882e-05,0.6447763024719676,0.9052378977643478,1.0,0.0,HLA_vs_IG,0.003,0.00012813371869609393,0.0015372790161414297,0.3333333333333333
HLA-F*01,IGHV3-72*01,0.7781762868257648,2.8688805619338257e-06,0.0012644290728200834,0.4195873113100932,0.9137057795627128,1.0,0.0,HLA_vs_IG,0.0042,0.00013688799782423828,0.0015372790161414297,0.42857142857142855
TAP1*01,IGHV5-78*01,0.7802138945525786,2.597658660747936e-06,9.886395929654555e-05,0.5710828370653247,0.8975588868918182,1.0,0.0,HLA_vs_IG,0.0042,0.00013688799782423828,0.0015372790161414297,0.6
MICB*002,IGHV3-30*18,-0.7764501965278284,3.118177626975815e-06,0.008364748278629791,-0.8856858925702822,-0.6426840001641142,1.0,0.0,HLA_vs_IG,0.0043,0.00013688799782423828,0.0015372790161414297,0.8472222222222222
HLA-L*01,IGHV3-32*02,0.7775968560338368,2.9505016190301014e-06,0.004161131037404154,0.5968086178465627,0.8962525015103289,1.0,0.0,HLA_vs_IG,0.0043,0.00013688799782423828,0.0015372790161414297,0.0
HLA-V*01,IGKJ4*01,0.7714076597168235,3.961306179036571e-06,4.332985000066286e-06,0.611980973418971,0.8796910666107062,1.0,0.0,HLA_vs_IG,0.005,0.00015809212841791406,0.0023059185242121443,0.8108108108108109
TAP2*02,IGHV3-54*02,0.769506748376508,4.328609550845316e-06,0.04148392645751674,0.589368940072339,0.8874971136996341,1.0,0.0,HLA_vs_IG,0.0053,0.00015835496606842446,0.0023059185242121443,0.9518072289156626
TAP1*01,IGLV1-62*01,0.7665865611636115,4.9523466506769416e-06,0.0002631668910789013,0.5917665476172814,0.8841503050170294,1.0,0.0,HLA_vs_IG,0.0057,0.00016723693689593672,0.0030745580322828594,0.6666666666666666
HLA-J*01,IGKV1D-43*01,0.7636656029705966,5.655398483189752e-06,0.006676530093854336,0.6053772454029646,0.8732483468032528,1.0,0.0,HLA_vs_IG,0.006,0.00017733713815145006,0.0030745580322828594,0.5
HLA-P*02,IGHV5-51*03,-0.7612341760123528,6.30721737799575e-06,0.011096540475796904,-0.8875463227650711,-0.5934031558296915,1.0,0.0,HLA_vs_IG,0.0066,0.0001832562895716793,0.0030745580322828594,0.9767441860465116
HLA-DOB*01,IGLV4-69*01,0.7599460075092226,6.679044722430224e-06,0.0036503376176539835,0.3984398128414515,0.9047727341434543,1.0,0.0,HLA_vs_IG,0.0066,0.0001832562895716793,0.003843197540353574,0.6666666666666666
HLA-DPA1*02,IGKV3D-11*01,-0.7577202988074968,7.367820262243709e-06,0.04692609708743985,-0.8838843955139231,-0.5953564330369087,1.0,0.0,HLA_vs_IG,0.0069,0.00018936019134807358,0.003843197540353574,1.0
HLA-G*01,IGLV2-33*01,0.7565223173950414,7.764199189670443e-06,0.009614060932035366,0.526096959728233,0.8976693865894598,1.0,0.0,HLA_vs_IG,0.0069,0.00018936019134807358,0.003843197540353574,0.5
HLA-F*01,IGLV3-31*01,0.7441762296437958,1.3103884743566415e-05,0.040439707043058395,0.523635248126437,0.8698114933637155,1.0,0.0,HLA_vs_IG,0.0085,0.000302768705390824,0.005380476556495004,0.5
HLA-P*02,IGHV5-51*01,0.7427825490875616,1.3875955755466762e-05,0.013612419975817058,0.5759275377495592,0.8677586203380329,1.0,0.0,HLA_vs_IG,0.0087,0.00030457722883249543,0.005380476556495004,0.9247311827956989
HLA-DOB*01,IGKV1D-43*01,0.7363883495232597,1.7962550736070384e-05,0.019336463837975618,0.3122721240208856,0.9121417276112,0.998,0.002,HLA_vs_IG,0.0095,0.0003160006088220528,0.006917755572636433,0.16666666666666666
HLA-L*01,IGHV3-15*01,0.7388025349158422,1.6308569729281402e-05,0.013781311575903043,0.41383699697568094,0.9006390009096221,1.0,0.0,HLA_vs_IG,0.0093,0.0003160006088220528,0.005380476556495004,0.0
HLA-DPB1*04,IGLV2-18*01,0.7368102708859302,1.7663158883925815e-05,0.017213437083166735,0.55009725603522,0.8872697870430468,1.0,0.0,HLA_vs_IG,0.0093,0.0003160006088220528,0.005380476556495004,1.0
HLA-L*01,IGHV3-22*02,0.7363423276695619,1.799547886230369e-05,0.03263189273103241,0.5763153703566745,0.9157488529565891,1.0,0.0,HLA_vs_IG,0.0095,0.0003160006088220528,0.006917755572636433,0.16666666666666666
HLA-DOA*01,IGLV1-36*01,0.7389443061997821,1.621579679232538e-05,0.0011912014382834536,0.5548039479668027,0.8745492107840427,1.0,0.0,HLA_vs_IG,0.0093,0.0003160006088220528,0.005380476556495004,0.75
HLA-DOB*01,IGHV4-34*01,0.7339628441130696,1.9772873001807312e-05,0.008879358670360743,0.5821605915014784,0.8519162137877515,1.0,0.0,HLA_vs_IG,0.01,0.00031744998457366476,0.006917755572636433,0.1111111111111111
HLA-K*01,IGLV3-31*01,0.7327114151466022,2.0768876388137084e-05,0.04044654210934277,0.5591072412817794,0.853429794780414,1.0,0.0,HLA_vs_IG,0.0101,0.00031744998457366476,0.006917755572636433,0.375
TAP2*01,IGHV3-54*02,-0.7330493719453613,2.049559858808589e-05,0.04943661505413771,-0.8788375929363965,-0.53532688466836,1.0,0.0,HLA_vs_IG,0.01,0.00031744998457366476,0.006917755572636433,0.7051282051282052
HLA-P*01,IGHV5-51*01,-0.7324645957162718,2.0970500119900406e-05,0.042359791909924144,-0.8518983511605778,-0.5271788218822588,1.0,0.0,HLA_vs_IG,0.0101,0.00031744998457366476,0.006917755572636433,
HLA-DPA1*01,IGHJ6*02,0.7308385783927207,2.234281314911431e-05,0.024016632724826945,0.47971409983355906,0.8780298196163502,1.0,0.0,HLA_vs_IG,0.0101,0.00032477244936146603,0.006917755572636433,1.0
TAP2*01,IGHV4-55*01,0.7301655153635841,2.2933817608668444e-05,0.016031065566564494,0.5428399242152432,0.8584461228575253,1.0,0.0,HLA_vs_IG,0.0102,0.00032477244936146603,0.006917755572636433,0.5774647887323944
HLA-F*01,IGLV7-43*01,0.7281195375250737,2.481655174897746e-05,0.021569025710652882,0.4881600642601024,0.8849367755521044,1.0,0.0,HLA_vs_IG,0.0107,0.00033507724905376706,0.006917755572636433,0.4
HLA-DPB2*01,IGLV3-22*01,0.7277322063413328,2.5188039222720527e-05,0.03978011025581065,0.48665849349078866,0.8848578501188783,1.0,0.0,HLA_vs_IG,0.0107,0.00033507724905376706,0.006917755572636433,0.9431818181818182
HLA-DQA1*03,IGLV10-54*02,0.7240772293926582,2.894424198392334e-05,0.027405230633379803,0.4925620874204227,0.8937820170516083,1.0,0.0,HLA_vs_IG,0.0115,0.0003630434923126384,0.006917755572636433,0.9583333333333334
HLA-DPA1*01,IGLV7-46*01,-0.724334484503511,2.8664470162074785e-05,0.02443393464543559,-0.8509944694877994,-0.544859497480996,1.0,0.0,HLA_vs_IG,0.0115,0.0003630434923126384,0.006917755572636433,0.9893617021276596
HLA-DRB4*01,IGHV7-81*01,0.7223514139259147,3.0884598312779676e-05,0.0390024552740941,0.48473583853578406,0.8769025584736178,1.0,0.0,HLA_vs_IG,0.0119,0.0003766205183141744,0.008455034588777863,0.5666666666666667
HLA-K*01,IGLV1-36*01,0.7153710756010184,3.996268423978712e-05,0.004471088627978612,0.38399333851041717,0.8858760798828407,0.999,0.001,HLA_vs_IG,0.013,0.0004278931312504035,0.009223674096848577,0.25
HLA-DOB*01,IGKV6D-21*02,0.7163928740997404,3.850133636111673e-05,0.0028404339440578686,0.4075885283456003,0.8849105928903691,1.0,0.0,HLA_vs_IG,0.0129,0.0004278931312504035,0.009223674096848577,0.2222222222222222
HLA-F*01,IGLV4-69*01,0.7172880232545492,3.7260243196849295e-05,0.01580267315917608,0.44268497480257657,0.8721563871973618,1.0,0.0,HLA_vs_IG,0.0129,0.0004278931312504035,0.009223674096848577,0.5555555555555556
TAP2*02,IGHV4-55*01,-0.7154032167559975,3.991597875763095e-05,0.04468365968769489,-0.8479783662578878,-0.5152219374655982,1.0,0.0,HLA_vs_IG,0.013,0.0004278931312504035,0.009223674096848577,0.8507462686567164
MICA*001,IGHV3-71*04,0.716839807751455,3.7877173479826767e-05,0.00039177265128057605,0.5293273769804738,0.8544597874352263,1.0,0.0,HLA_vs_IG,0.0129,0.0004278931312504035,0.009223674096848577,0.5964912280701754
HLA-P*01,IGLV10-54*01,-0.7121383608642836,4.4915077467007363e-05,0.0021355340203572815,-0.8401886476206482,-0.5307500497113562,1.0,0.0,HLA_vs_IG,0.0139,0.00046946950019086266,0.009992313604919293,
HLA-DMA*01,IGLV3-25*03,0.7043622258196195,5.9118448399788774e-05,1.240661429640587e-06,0.4272741852951527,0.8714738976387729,1.0,0.0,HLA_vs_IG,0.0157,0.0006035581127327273,0.011529592621060722,0.36363636363636365
HLA-P*02,IGLV10-54*01,0.7028159221656914,6.237458443196964e-05,0.006677366693281892,0.4753332607722941,0.86281985382264,1.0,0.0,HLA_vs_IG,0.0163,0.0006122598991819734,0.011529592621060722,0.6419753086419753
HLA-DQA1*03,IGHV3-54*04,0.70263758600821,6.276012633983782e-05,0.005614187591616625,0.5341616795817924,0.8619704579585852,1.0,0.0,HLA_vs_IG,0.0164,0.0006122598991819734,0.011529592621060722,0.9565217391304348
HLA-DOB*01,IGHV3-33-2*01,0.6987220678804575,7.177325555025295e-05,0.02267717959332053,0.32554566231457116,0.8456894569022186,0.999,0.001,HLA_vs_IG,0.0175,0.0006849665040556749,0.011529592621060722,0.3
HLA-DMB*01,IGKV2D-24*01,0.6961418276998762,7.832030557703351e-05,0.0005021855744386343,0.48344991440578405,0.8502072905164212,1.0,0.0,HLA_vs_IG,0.0182,0.0007315449818791001,0.011529592621060722,0.6
TAP2*02,IGHV4-55*02,0.6942778282110987,8.337255645964221e-05,0.042285066392954006,0.49738883990169175,0.8409169596759182,1.0,0.0,HLA_vs_IG,0.0185,0.0007625115059538111,0.011529592621060722,0.9027777777777778
HLA-DOB*01,IGKV3D-20*01,0.6931997507452461,8.642404279178814e-05,0.0033873297973120607,0.5207499391811017,0.8379707982423185,1.0,0.0,HLA_vs_IG,0.0188,0.000774288873175408,0.012298232129131437,0.0
HLA-H*01,IGLV2-14*03,0.6924850213111822,8.850099973597525e-05,0.015935718016773646,0.3255785832061259,0.8417692155793357,0.999,0.001,HLA_vs_IG,0.0189,0.0007770387776818627,0.014604150653343582,0.8235294117647058
HLA-F*01,IGLV5-52*01,0.6914401392010062,9.161659767873455e-05,0.009727144317263896,0.009598206852698504,0.8766349317695139,0.975,0.025,HLA_vs_IG,0.0193,0.0007886213015875386,0.014604150653343582,0.6666666666666666
HLA-J*01,IGHD2-15*01,0.6868619451862877,0.00010643787791709381,0.01644811433525497,0.49019851102200923,0.8254689274199287,1.0,0.0,HLA_vs_IG,0.0206,0.0008554150430258301,0.014604150653343582,0.0
HLA-DMA*01,IGKV2D-30*01,0.6866505746657532,0.00010717044958182383,0.0013885880574272206,0.4083409586482126,0.852094411011002,1.0,0.0,HLA_vs_IG,0.0207,0.0008554150430258301,0.014604150653343582,0.5714285714285714
HLA-DRB1*04,IGLV10-54*02,0.688238450534808,0.00010177416608450184,0.03121576003950548,0.40341880605913727,0.8507975349244884,1.0,0.0,HLA_vs_IG,0.0201,0.0008554150430258301,0.014604150653343582,
HLA-DOB*01,IGLJ4*01,0.6870898430491841,0.00010565297260747001,0.00010502754456296966,-0.003625176033717638,0.9001968487287877,0.973,0.027,HLA_vs_IG,0.0206,0.0008554150430258301,0.014604150653343582,0.0
HLA-K*01,IGLV3-25*03,0.6838086653566011,0.00011746048569531932,6.060606869693747e-05,0.16988622610872073,0.8725148527775533,0.994,0.006,HLA_vs_IG,0.0219,0.0009208063075043782,0.014604150653343582,0.14285714285714285
HLA-F*01,IGLV1-50*01,0.6827384956111969,0.00012155515526302683,0.024112099590337246,0.25018692667364334,0.8868859276274942,1.0,0.0,HLA_vs_IG,0.0221,0.0009361879501836627,0.015372790161414296,0.5555555555555556
TAP1*01,IGKV3D-20*01,0.6794535713250773,0.00013491975588990904,0.014730275675386912,0.3941221751586445,0.8669804886368246,1.0,0.0,HLA_vs_IG,0.0238,0.0009994952355202623,0.016910069177555727,0.2222222222222222
TAP1*01,IGLV1-50*01,0.6797970691673693,0.0001334642127192162,0.005959947579124557,0.4003067245066388,0.8712599386247707,1.0,0.0,HLA_vs_IG,0.0235,0.0009994952355202623,0.016910069177555727,0.3333333333333333
HLA-DMB*01,IGKV3D-7*01,0.6780813366822162,0.00014087479636803985,0.0027825013442797563,0.3907461830550698,0.8737357101909269,1.0,0.0,HLA_vs_IG,0.0245,0.0009994952355202623,0.017678708685626442,0.625
HLA-DRA*01,IGKV1D-39*01,0.6780171809704224,0.00014115878041516232,0.0008081326497887681,0.40009402479604883,0.9047033982003486,1.0,0.0,HLA_vs_IG,0.0246,0.0009994952355202623,0.017678708685626442,0.6666666666666666
HLA-L*01,IGLV3-25*03,0.6789654293341109,0.00013701224055261507,0.0010507456847992345,0.44779168197854374,0.8626987656541444,1.0,0.0,HLA_vs_IG,0.0243,0.0009994952355202623,0.017678708685626442,0.0
HLA-T*01,IGHV2-70D*04,0.6771233469365793,0.0001451680314205425,0.026272387192306255,0.4695779441725069,0.8186001113893354,1.0,0.0,HLA_vs_IG,0.0249,0.0010115677110098121,0.017678708685626442,0.7564102564102564
HLA-DOA*01,IGKV1-33*01,0.6746593696015807,0.00015674330824756434,0.005932514266617566,0.43195536956735214,0.841834645166679,1.0,0.0,HLA_vs_IG,0.026,0.0010727999156643685,0.017678708685626442,0.42857142857142855
HLA-DRB3*02,IGHJ6*03,0.6742296965347118,0.00015884281211431421,0.009700247382583231,0.42415686220057214,0.8310354774881479,1.0,0.0,HLA_vs_IG,0.0261,0.0010727999156643685,0.017678708685626442,0.8552631578947368
HLA-DQB1*05,IGHV1-69*02,0.6706801853808656,0.00017715388887022663,0.003699064347222539,0.15517744667265881,0.8711432479496913,0.997,0.003,HLA_vs_IG,0.0278,0.001178341775970144,0.018447348193697154,0.6666666666666666
TAP1*01,IGKV2D-26*03,0.66988282129349,0.00018151351863674082,0.018257358699757927,0.4485166382823274,0.8522063957558816,1.0,0.0,HLA_vs_IG,0.0283,0.0011893199206198391,0.018447348193697154,0.375
TAP1*01,IGHV3-72*01,0.6670612120160387,0.0001977068839295145,0.017114695945649634,0.18752865395783758,0.899862461326947,0.998,0.002,HLA_vs_IG,0.0297,0.001276372383015542,0.0207532667179093,0.25
MICA*004,IGLV1-41*01,0.6640966141881234,0.0002160735380872854,0.03430173771870064,0.3602954228505396,0.8767767207246666,1.0,0.0,HLA_vs_IG,0.0307,0.0013747287423234533,0.021521906225980016,
HLA-DRB3*03,IGKV2D-18*01,-0.6631528750344852,0.00022222612746212165,0.0004455430735739121,-0.8240141546183017,-0.42470613301463217,1.0,0.0,HLA_vs_IG,0.0308,0.0013936752850838771,0.021521906225980016,
HLA-K*01,IGLV5-52*01,0.661806235692406,0.00023127123219400422,0.0018550221653663348,0.2209104288932586,0.876662670600799,0.999,0.001,HLA_vs_IG,0.0312,0.0014144529494854758,0.021521906225980016,0.0
TAP2*01,IGHV4-55*02,-0.6617022127888278,0.00023198317166959968,0.03998224114651185,-0.828597972048981,-0.4151101280310113,1.0,0.0,HLA_vs_IG,0.0312,0.0014144529494854758,0.021521906225980016,0.5161290322580645
HLA-DPB1*04,IGHJ6*02,0.6568198832552747,0.00026763591199897125,0.035344843571517126,0.3852542364466971,0.8334021447843967,1.0,0.0,HLA_vs_IG,0.0342,0.0016094817173636763,0.022290545734050732,0.9411764705882353
HLA-DRB1*04,IGHV2-70*01,0.6537911784560975,0.0002920875105552822,0.007835484427691882,0.4770196066299856,0.8009391235362517,1.0,0.0,HLA_vs_IG,0.0356,0.0016976195089296894,0.023059185242121444,
HLA-DPA1*02,IGHV3-25*05,0.6535764330333519,0.00029389312683065236,0.027323464672729468,0.3451055032288728,0.8426795956835417,1.0,0.0,HLA_vs_IG,0.0357,0.0016976195089296894,0.023059185242121444,0.8833333333333333
HLA-DPB1*02,IGKV1-9*03,0.653756205844712,0.00029238090287417144,0.020361297372735503,0.31135368501127353,0.8400501061589848,1.0,0.0,HLA_vs_IG,0.0356,0.0016976195089296894,0.023059185242121444,
HLA-DPA2*02,IGKV1-27*02,0.6481914407583181,0.0003424815321297136,0.03708720336971411,0.27116252992658013,0.8591501182121298,0.999,0.001,HLA_vs_IG,0.0375,0.0019103006822032865,0.02382782475019216,
HLA-F*01,IGHD2-2*01,0.6482266739200323,0.00034214210920769067,0.01179519369400613,0.49362888852356296,0.7899934217579243,1.0,0.0,HLA_vs_IG,0.0375,0.0019103006822032865,0.02382782475019216,0.09090909090909091
HLA-DMB*01,IGLV4-69*01,0.648058271568958,0.0003437670931527554,0.0007410511240124672,0.44443272892850216,0.8156632439747309,1.0,0.0,HLA_vs_IG,0.0375,0.0019103006822032865,0.02382782475019216,0.2857142857142857
HLA-P*02,IGHV3-11*01,0.6476048439901413,0.0003481759773470923,0.012319194055793507,0.451286870671292,0.8144844199326647,1.0,0.0,HLA_vs_IG,0.0375,0.001910615675692169,0.02382782475019216,
HLA-P*01,IGKV1D-8*03,0.6445090286155076,0.0003796205913129398,0.01882574359580852,0.37344933207087416,0.8346808115147635,0.999,0.001,HLA_vs_IG,0.0387,0.002057449871436797,0.024596464258262875,
HLA-H*02,IGHV7-34-1*01,0.6434515515808987,0.00039091545990946596,0.04181155296198219,0.2509187873491857,0.8474500239982977,0.998,0.002,HLA_vs_IG,0.0392,0.002092827889027507,0.024596464258262875,0.39622641509433965
HLA-J*01,IGHD1-20*01,0.6422819028437371,0.00040374909886403524,0.021780721933835068,0.4000803382946099,0.8297730694406191,1.0,0.0,HLA_vs_IG,0.0395,0.002110069695253708,0.024596464258262875,0.0
HLA-H*02,IGHV4-39*07,0.6424445466586394,0.00040194281468562237,0.041949512054062985,0.4516136153149221,0.7847378347104752,1.0,0.0,HLA_vs_IG,0.0394,0.002110069695253708,0.024596464258262875,0.8260869565217391
HLA-DMB*01,IGKV3D-20*01,0.6375434759895912,0.0004595788907455479,0.02316594276448142,0.3041360996536326,0.882326234272518,1.0,0.0,HLA_vs_IG,0.0424,0.002311474368647745,0.02843966179861645,0.2857142857142857
HLA-DPA1*01,IGLV7-46*04,0.6369105754888889,0.00046752297911067405,0.035404541694714964,0.4161494927216012,0.8120560859993333,1.0,0.0,HLA_vs_IG,0.0427,0.002311474368647745,0.02843966179861645,0.9090909090909091
HLA-J*01,IGKV1D-39*01,0.6376307258613393,0.0004584930239302546,0.013997326585189266,0.34506573603921953,0.8496920926116962,1.0,0.0,HLA_vs_IG,0.0423,0.002311474368647745,0.02843966179861645,0.0
HLA-DOB*01,IGHV3-72*01,0.6374171475451373,0.00046115508196827585,0.022378235324376397,0.13729803675377159,0.882909682494553,0.996,0.004,HLA_vs_IG,0.0424,0.002311474368647745,0.02843966179861645,0.2727272727272727
HLA-V*01,IGKJ3*01,0.6368244467380558,0.0004686132546916841,0.00357024057956049,0.401478975530725,0.8001527262211597,1.0,0.0,HLA_vs_IG,0.0427,0.002311474368647745,0.02843966179861645,0.46296296296296297
HLA-F*01,IGKV3D-7*01,0.6363729136951501,0.00047436540218727315,0.040445188203977085,0.3037534553857371,0.8589430883446165,1.0,0.0,HLA_vs_IG,0.0429,0.002313849017335699,0.02997694081475788,0.2857142857142857
HLA-P*01,IGKV2D-28*01,-0.6356718328422556,0.0004834185274993168,0.011212388486367266,-0.8246297840900008,-0.3312406815564945,1.0,0.0,HLA_vs_IG,0.0434,0.0023320959733208802,0.030745580322828592,
HLA-DRB1*04,IGHV1-2*04,0.6347321646784111,0.0004957884630534815,0.022788823416850602,0.3500511051324227,0.8014121888061487,0.999,0.001,HLA_vs_IG,0.0441,0.002365773209570417,0.03151421983089931,
HLA-DOB*01,IGLV1-36*01,0.6336459707650536,0.0005104300796769796,0.038682074417229914,0.2667771192076396,0.8673895880558266,1.0,0.0,HLA_vs_IG,0.0446,0.0024094495158945594,0.03151421983089931,0.3333333333333333
HLA-DMA*01,IGLV1-62*01,0.6331923989363654,0.0005166546888608329,0.006022926368908749,0.3478011519551849,0.8165483490673862,1.0,0.0,HLA_vs_IG,0.0448,0.0024128873235096347,0.03151421983089931,0.4
HLA-DPA1*02,IGLV3-21*02,-0.6322929017390203,0.0005291947629997731,0.00155015388145335,-0.8087508406653922,-0.39459470904022975,1.0,0.0,HLA_vs_IG,0.0453,0.002419963551634379,0.03228285933897002,0.9047619047619048
HLA-DOA*01,IGLV1-40*01,0.6323700036523993,0.0005281095839489627,0.04116522310201137,0.323645597307247,0.8407982498551664,1.0,0.0,HLA_vs_IG,0.0453,0.002419963551634379,0.03228285933897002,0.4166666666666667
HLA-F*01,IGHV5-78*01,0.6318895265929193,0.0005349038149823255,0.029763665637797337,,,0.974,0.026,HLA_vs_IG,0.0457,0.0024208533482189785,0.03228285933897002,0.6
HLA-DOB*01,IGHV3-11*01,0.6296855453563127,0.0005670538407216737,0.012203724193120486,0.3962095449261683,0.7947682667845645,1.0,0.0,HLA_vs_IG,0.0465,0.002472233709158581,0.033051498847040735,
HLA-H*02,IGKV2-29*02,-0.6293466057512055,0.0005721442713060486,0.009903695485201857,-0.8181651287936859,-0.21250938909737066,0.994,0.006,HLA_vs_IG,0.0465,0.002472233709158581,0.033051498847040735,
HLA-V*01,IGKJ5*01,0.6305531454490464,0.0005542027516155237,0.0020244445638574323,0.3678244544378426,0.7946011748017806,1.0,0.0,HLA_vs_IG,0.0461,0.002472233709158581,0.033051498847040735,0.43478260869565216
HLA-K*01,IGKV1D-43*01,0.6294925453503558,0.0005699475960884578,0.012219089615523307,0.2588895426804729,0.8401501695050012,1.0,0.0,HLA_vs_IG,0.0465,0.002472233709158581,0.033051498847040735,0.17647058823529413
HLA-U*01,IGLV4-69*01,0.6291963099936048,0.0005744142103284174,0.023674233744825385,0.3741434147579427,0.7907715794183559,1.0,0.0,HLA_vs_IG,0.0466,0.002472233709158581,0.033820138355111454,0.6
HLA-DOB*01,IGLV3-25*03,0.628275243669614,0.0005884971020280454,0.028738103855395422,0.21265954308929141,0.8113174421312336,0.999,0.001,HLA_vs_IG,0.0475,0.0025082546387408928,0.033820138355111454,0.42857142857142855
HLA-H*02,IGHV4-39*01,-0.627351415629964,0.0006029229228701934,0.03763531668311739,-0.7654434465417475,-0.43010504644242825,1.0,0.0,HLA_vs_IG,0.0479,0.002545030414807836,0.033820138355111454,0.676923076923077
