HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate,replication_count,replication_pvalue,replication_pvalue_FDR
CYP3A4*1,TRAV26-1*01,0.7001627821997488,6.833208812295347e-05,0.0015749537757158,0.024,CYP_vs_TCR,0.0199,0.0005345981011972,0.0388418079096045,0.6206896551724138,62,1.8080709981428965e-54,1.0105825400334403e-53
CYP3A4*1,TRAV26-1*02,-0.6792153490090543,0.0001359373875473,0.0010002867984678,0.029,CYP_vs_TCR,0.0257,0.0009515617128317,0.0442561205273069,0.5428571428571428,54,4.029924491868508e-43,1.5572424271047448e-42
CYP2A6*1,TRBV24-1*01,-0.6746948304055771,0.0001565711314743,0.0002302982984348,0.008,CYP_vs_TCR,0.0278,0.0010411980243045,0.0470809792843691,0.3636363636363636,36,1.1872947940279577e-21,2.252262245640914e-21
IGHV7-81*01,TRAJ32*02,0.9372428222543036,1.7837952396727817e-12,0.0118708130944663,0.031,IG_vs_TCR,0.0002,1.5648678862933802e-09,0.0001619695497246,0.7333333333333333,73,5.181584123690971e-72,5.2317284861783035e-71
IGHV1-69D*05,TRAV21*01,0.9316870107507688,4.795305065250398e-12,0.0163948925067761,0.026,IG_vs_TCR,0.0003,1.5648678862933802e-09,0.0003239390994493,0.4782608695652174,48,2.435209555040226e-35,7.40019990997661e-35
IGHV5-51*03,TRBV30*01,-0.9330081824668556,3.819783471760915e-12,0.0020030505143528,0.011,IG_vs_TCR,0.0002,1.5648678862933802e-09,0.0003239390994493,0.5,50,7.269307456113731e-38,2.275293233763598e-37
IGHV1-69D*05,TRAV21*02,-0.9262373259140876,1.1706303478856672e-11,0.0059044041582146,0.021,IG_vs_TCR,0.0004,2.3439010876569173e-09,0.0003239390994493,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
IGHV5-51*01,TRBV30*01,0.92609522051469,1.1970894216838191e-11,0.0017207383403357,0.009,IG_vs_TCR,0.0004,2.3439010876569173e-09,0.0003239390994493,0.5,50,7.269307456113731e-38,2.275293233763598e-37
IGKV1D-42*01,TRAV21*02,0.8636827957828357,1.331994110391396e-08,0.0254225694774096,0.021,IG_vs_TCR,0.0009,1.3040222340731768e-06,0.0022675736961451,0.1428571428571428,14,0.00046327338320381617,0.0004898803004824137
IGHV1-24*01,TRBD1*01,0.8494585755609743,4.0582439866407016e-08,8.017986829847397e-05,0.001,IG_vs_TCR,0.0014,2.837872044943747e-06,0.003239390994493,0.6818181818181818,68,9.62076469253847e-64,7.003021741312886e-63
IGHV3-20*04,TRBV15*02,-0.8397763242722601,8.1340630185365e-08,0.0155035757332089,0.046,IG_vs_TCR,0.0019,4.684263350086608e-06,0.0043731778425655,0.15,15,0.00013585423899229154,0.00014512756588596333
IGKV3D-15*01,TRBV16*01,0.8382503735899177,9.03840264978869e-08,0.0362571102195872,0.025,IG_vs_TCR,0.0019,4.91588677452396e-06,0.0046971169420149,0.3636363636363636,36,1.1872947940279577e-21,2.252262245640914e-21
IGHV7-4-1*02,TRAV30*05,0.8373797794617964,9.5940774199945e-08,0.026327752681257,0.031,IG_vs_TCR,0.0019,4.943474628512955e-06,0.0048590864917395,0.303030303030303,30,8.556384800197208e-16,1.2753087821246314e-15
IGHV4-39*01,TRBV20-1*02,-0.8275868626132259,1.834356818789825e-07,0.0020091944102704,0.016,IG_vs_TCR,0.0022,7.212369540249001e-06,0.0050210560414642,0.4615384615384615,46,6.963551147342128e-33,1.8952969644505097e-32
IGKV1-27*01,TRDV3*01,-0.8267961641436894,1.9295066143579078e-07,0.0280520843504418,0.042,IG_vs_TCR,0.0022,7.26533452098612e-06,0.0050210560414642,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
IGHV4-34*01,TRBD1*01,0.8200578222972564,2.939503773494161e-07,0.0001487472837762,0.01,IG_vs_TCR,0.0025,9.59258064750261e-06,0.0055069646906381,0.8235294117647058,82,2.547903699006911e-88,5.696384698494023e-87
IGHV7-4-1*02,TRBV7-3*01,0.8188826765879463,3.1578334218829975e-07,0.0272279070046494,0.012,IG_vs_TCR,0.0026,9.972641677495014e-06,0.0055069646906381,0.1724137931034483,17,9.429030653736504e-06,1.0176850326274227e-05
IGKV3D-15*01,TRAV21*02,0.8127750024505168,4.545808741002955e-07,0.0004358414655279,0.001,IG_vs_TCR,0.0028,1.3485899264975434e-05,0.0061548428895367,0.2272727272727272,23,6.855551438923841e-10,8.447982678673867e-10
IGLV1-41*01,TRBV20-1*01,-0.8103327836632906,5.239540766313736e-07,0.0312810637118447,0.017,IG_vs_TCR,0.003,1.4655744029203278e-05,0.006478781988986,0.25,25,1.8159668438289814e-11,2.3105594395059804e-11
IGHV3-19*01,TRAV21*02,0.8094616618970653,5.509128842177404e-07,0.0114651491371203,0.004,IG_vs_TCR,0.003,1.4981769823587996e-05,0.0068027210884353,0.3636363636363636,36,1.1872947940279577e-21,2.252262245640914e-21
IGHV2-5*02,TRAV27*01,0.8063281954141087,6.585078514245773e-07,0.0162357168923402,0.031,IG_vs_TCR,0.0031,1.7423761798504357e-05,0.0072886297376093,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
IGKV3D-15*01,TRAV21*01,-0.8001475385350514,9.27668678757002e-07,0.0043812716862886,0.005,IG_vs_TCR,0.0034,2.215091796349037e-05,0.0080984774862325,0.4285714285714285,43,2.4983149218063545e-29,6.061802872289836e-29
IGHV1-3*01,TRBV15*02,0.7953135497415771,1.2030293705829018e-06,0.0154823425988135,0.031,IG_vs_TCR,0.0038,2.804204175715859e-05,0.0089083252348558,0.25,25,1.8159668438289814e-11,2.3105594395059804e-11
IGLV4-69*01,TRBJ1-3*01,0.7938815379252694,1.2976188982698166e-06,0.0016462640257384,0.015,IG_vs_TCR,0.004,2.954346282339885e-05,0.0090702947845804,0.8571428571428571,86,2.8088988922540438e-96,1.2559790761078796e-94
IGHV3-74*01,TRAJ37*02,0.7921005926324666,1.424537390224499e-06,0.0186104022811783,0.017,IG_vs_TCR,0.0041,3.099160233399522e-05,0.0092322643343051,0.6153846153846154,62,1.8080709981428965e-54,1.0105825400334403e-53
IGHV3-19*01,TRAV21*01,-0.7915644831679415,1.464864722723644e-06,0.0196293770806698,0.013,IG_vs_TCR,0.0041,3.1176142685792334e-05,0.0092322643343051,0.5333333333333333,53,8.813680405188376e-42,3.170898812441335e-41
IGKV6D-41*01,TRBJ2-6*01,0.7875775595719059,1.798367687410139e-06,4.714488637272488e-06,0.0,IG_vs_TCR,0.0045,3.66792076244693e-05,0.0097181729834791,0.6923076923076923,69,2.3456765494215002e-65,1.835491899922324e-64
IGLV1-41*01,TRBV20-1*02,0.7877400345184149,1.78354870749471e-06,0.0139266572546549,0.019,IG_vs_TCR,0.0045,3.66792076244693e-05,0.0095562034337544,0.5,50,7.269307456113731e-38,2.275293233763598e-37
IGHV4-28*01,TRBJ2-7*01,0.7859448276346126,1.95352990881332e-06,0.0048330183499691,0.019,IG_vs_TCR,0.0046,3.8250115614564805e-05,0.0103660511823777,0.3,30,8.556384800197208e-16,1.2753087821246314e-15
IGLV4-69*01,TRBJ1-5*01,0.7826649478843296,2.301970350558564e-06,0.001848579521767,0.012,IG_vs_TCR,0.005,4.418880339601635e-05,0.0110139293812763,0.8235294117647058,82,2.547903699006911e-88,5.696384698494023e-87
IGHV2-70D*04,TRAV26-1*01,0.778684059963522,2.7990215632770863e-06,0.0287979045296197,0.035,IG_vs_TCR,0.0056,5.170268132921259e-05,0.0113378684807256,0.2758620689655172,28,5.3271545045797865e-14,7.477127174589565e-14
IGLV4-69*01,TRBJ1-4*01,0.7772122845457727,3.005815287410773e-06,0.0021756648396348,0.007,IG_vs_TCR,0.0057,5.4494317895836056e-05,0.0114998380304502,0.75,75,1.8120261070502625e-75,1.9557385224370077e-74
IGHV3-43*01,TRAV1-1*02,0.7760208175677158,3.183127483045417e-06,0.0336420381446499,0.003,IG_vs_TCR,0.0058,5.467161062985023e-05,0.0119857466796242,0.25,25,1.8159668438289814e-11,2.3105594395059804e-11
IGKV3D-15*03,TRAV21*02,-0.7761033078249202,3.170556481808215e-06,0.003526788883845,0.003,IG_vs_TCR,0.0058,5.467161062985023e-05,0.0119857466796242,0.3703703703703703,37,1.0764600283749784e-22,2.173754766976569e-22
IGHV1-58*02,TRAV8-7*01,0.7756031400838027,3.247466213259628e-06,0.0456596978734483,0.039,IG_vs_TCR,0.0058,5.47347685902626e-05,0.0121477162293488,0.303030303030303,30,8.556384800197208e-16,1.2753087821246314e-15
IGKV2D-29*01,TRAV12-2*01,0.7752762931231315,3.298622417594988e-06,0.0030398736535035,0.012,IG_vs_TCR,0.0058,5.47347685902626e-05,0.0123096857790735,0.5555555555555556,56,7.476127151246606e-46,3.16219972748674e-45
IGLV3-25*03,TRBJ1-4*01,0.7746322283373481,3.401542999275213e-06,0.0003280726865182,0.001,IG_vs_TCR,0.0059,5.550184327150723e-05,0.0123096857790735,0.5,50,7.269307456113731e-38,2.275293233763598e-37
IGHD1-7*01,TRGV3*01,0.7731850070957583,3.643359429734475e-06,0.0354752931060656,0.018,IG_vs_TCR,0.0061,5.847293248705001e-05,0.0124716553287981,0.1071428571428571,11,0.011472410067484713,0.011969547837075717
IGLV4-69*01,TRBD1*01,0.7677637038882967,4.691858637906596e-06,0.0011603589891128,0.002,IG_vs_TCR,0.007,7.369131485273309e-05,0.014415289925494,0.9285714285714286,93,1.1331966626841825e-111,1.182301851400497e-109
IGHV3-43*01,TRAJ47*01,0.7651948137077672,5.276941896047965e-06,0.0054781006746565,0.009,IG_vs_TCR,0.007,7.947886332663013e-05,0.0150631681243926,0.4166666666666667,42,3.5297506607461828e-28,8.369787551617843e-28
IGHV1-58*02,TRAV8-7*02,-0.7626313244136832,5.924926560020799e-06,0.018564737904717,0.026,IG_vs_TCR,0.0074,8.597436037643217e-05,0.0155490767735665,0.1923076923076923,19,5.01268942428067e-07,5.726174415327919e-07
IGKV2D-29*02,TRAV12-2*01,-0.763016170270747,5.823326319358292e-06,0.0081491217474548,0.014,IG_vs_TCR,0.0073,8.597436037643217e-05,0.0155490767735665,0.3076923076923077,31,1.0108323132423014e-16,1.6142373165553077e-16
IGHV4-28*01,TRBV16*01,0.7606717232423911,6.4672319878659216e-06,0.0249948802762451,0.016,IG_vs_TCR,0.0081,8.917493121296813e-05,0.0160349854227405,0.2857142857142857,29,6.913335547011718e-15,9.926027643186549e-15
IGHV3-16*02,TRAV21*02,0.7608458477053198,6.417311580135248e-06,0.0012999782345402,0.0,IG_vs_TCR,0.0081,8.917493121296813e-05,0.0158730158730158,0.6842105263157895,68,9.62076469253847e-64,7.003021741312886e-63
IGKV1-17*01,TRAV21*01,-0.7588761700706003,7.002594705042392e-06,0.0047451492435286,0.007,IG_vs_TCR,0.0082,9.140720288315337e-05,0.0160349854227405,0.2083333333333333,21,2.081060771106718e-08,2.4766997009749152e-08
IGHV3-33-2*01,TRBD1*01,0.7591985299104781,6.90366213660181e-06,0.0042155708157486,0.042,IG_vs_TCR,0.0081,9.140720288315337e-05,0.0160349854227405,0.6875,69,2.3456765494215002e-65,1.835491899922324e-64
IGHV1-3*01,TRBV10-3*02,0.7538724660488971,8.709288471768463e-06,0.000731247571412,0.005,IG_vs_TCR,0.0088,0.0001107323819981,0.0168448331713637,0.4615384615384615,46,6.963551147342128e-33,1.8952969644505097e-32
IGKV3D-11*01,TRGV4*02,-0.7540774977456414,8.632662779309753e-06,0.0453860842428151,0.038,IG_vs_TCR,0.0088,0.0001107323819981,0.0168448331713637,0.0952380952380952,10,0.028188294163416113,0.029215020109765708
IGLV3-25*03,TRBJ1-5*01,0.7517288669890957,9.547494785728433e-06,0.0034161235906321,0.006,IG_vs_TCR,0.009,0.0001183164227244,0.0181405895691609,0.7692307692307693,77,5.13704494747016e-79,6.990848124165913e-78
IGHV4-31*03,TRBV16*01,0.7514203276344925,9.673883086433144e-06,0.0274433269285707,0.011,IG_vs_TCR,0.009,0.0001183841442702,0.0183025591188856,0.2727272727272727,27,3.9111493481777367e-13,5.276679939567378e-13
IGLV3-25*03,TRBJ1-3*01,0.7507275654280355,9.963111811406795e-06,0.0019695153374842,0.001,IG_vs_TCR,0.0091,0.0001204183513995,0.0183025591188856,0.7857142857142857,79,1.1665005971695114e-82,1.92165624691609e-81
IGLV2-5*01,TRBV20-1*01,0.74637897055068,1.1961430267929502e-05,0.0354001672314836,0.024,IG_vs_TCR,0.0096,0.0001410872317144,0.0189504373177842,0.238095238095238,24,1.1457514988287699e-10,1.43448087653362e-10
IGLV3-22*03,TRAJ32*02,-0.7436113965249748,1.3412055327423722e-05,0.028684801091845,0.032,IG_vs_TCR,0.0101,0.0001526790949482,0.0192743764172335,0.1818181818181818,18,2.2448082884012493e-06,2.491577993863798e-06
IGKV3D-11*01,TRAV12-2*01,0.743076620105427,1.3709756727211733e-05,0.0038431384528058,0.01,IG_vs_TCR,0.0101,0.0001542741590337,0.0192743764172335,0.4358974358974359,44,1.698533333510033e-30,4.3222840112897586e-30
IGLV5-45*02,TRBV20-1*01,0.7418120281564253,1.4437263962454283e-05,0.0028058289658407,0.008,IG_vs_TCR,0.0102,0.0001606145615823,0.0195983155166828,0.5319148936170213,53,8.813680405188376e-42,3.170898812441335e-41
IGHV3-47*02,TRAV8-2*01,0.7402886646118164,1.5359130015363205e-05,0.0082161729615472,0.021,IG_vs_TCR,0.0104,0.0001670732031671,0.0199222546161321,0.6470588235294118,65,5.071024182757454e-59,3.450501237398007e-58
IGKV6D-21*02,TRBJ1-3*01,0.7394181754357994,1.590910193875861e-05,5.356839179560485e-05,0.0,IG_vs_TCR,0.0104,0.000170886313656,0.0202461937155814,0.8333333333333334,83,2.905958098103326e-90,9.095648847063411e-89
IGHV3-32*02,TRBD1*01,0.7391859119839834,1.6058775134171128e-05,0.002316272637985,0.026,IG_vs_TCR,0.0105,0.000170886313656,0.0202461937155814,0.5333333333333333,53,8.813680405188376e-42,3.170898812441335e-41
IGHV2-26*01,TRBV10-3*01,-0.7373486870095897,1.728755262684566e-05,0.000392590123916,0.002,IG_vs_TCR,0.0107,0.000178009714109,0.0204081632653061,0.3783783783783784,38,9.356496953871758e-24,1.9922337051441227e-23
IGKV3-15*01,TRBV19*01,0.7371511968655516,1.742449116330143e-05,0.0016325634663898,0.004,IG_vs_TCR,0.0107,0.000178009714109,0.0204081632653061,0.2857142857142857,29,6.913335547011718e-15,9.926027643186549e-15
IGKV1-17*01,TRAV21*02,0.7375015171022099,1.7182238968634166e-05,0.0439840989340943,0.021,IG_vs_TCR,0.0107,0.000178009714109,0.0204081632653061,0.4545454545454545,45,1.1094588683593808e-31,2.8699225272436873e-31
IGHV4-31*03,TRAV9-2*01,0.7367928321868794,1.7675444754394787e-05,0.0275536617052535,0.046,IG_vs_TCR,0.011,0.0001783944372634,0.0204081632653061,0.3448275862068966,34,1.2702149390600738e-19,2.2849268731367994e-19
IGKV2D-29*01,TRAV21*02,0.735958891597286,1.827191662213173e-05,0.016888876018083,0.011,IG_vs_TCR,0.0112,0.0001825327180925,0.0205701328150307,0.3684210526315789,37,1.0764600283749784e-22,2.173754766976569e-22
IGKV1D-17*01,TRBD1*01,0.7347739874679268,1.9150192598816284e-05,0.0018211835408566,0.041,IG_vs_TCR,0.0114,0.0001882879141963,0.0210560414642047,0.7857142857142857,79,1.1665005971695114e-82,1.92165624691609e-81
IGLV5-45*02,TRAV21*01,-0.7331830804014488,2.0388365022575407e-05,0.007802540786244,0.015,IG_vs_TCR,0.0116,0.0001956883270304,0.0212180110139293,0.2424242424242424,24,1.1457514988287699e-10,1.43448087653362e-10
IGHV3-16*02,TRAV21*01,-0.7306429742841648,2.251315860100377e-05,0.0077697220700359,0.02,IG_vs_TCR,0.0121,0.0002079281346262,0.0220278587625526,0.375,38,9.356496953871758e-24,1.9922337051441227e-23
IGHV1-3*01,TRBV7-3*01,0.7299211146042265,2.315183364754736e-05,0.0111262933068829,0.006,IG_vs_TCR,0.0125,0.0002118284592612,0.0225137674117265,0.3214285714285714,32,1.1407734874850195e-17,1.8892174686921223e-17
IGKV3D-11*02,TRAV12-2*01,-0.7230479753020153,3.00879803682402e-05,0.015768561476715,0.022,IG_vs_TCR,0.0136,0.0002677830252773,0.0244574020084224,0.2,20,1.0522953420147289e-07,1.2244180001881418e-07
IGHV1-69D*05,TRBJ2-7*01,-0.7215592752579865,3.181321383225389e-05,0.0196671330595177,0.04,IG_vs_TCR,0.0141,0.0002805868138898,0.024619371558147,0.391304347826087,39,7.79988822752039e-25,1.7438321537242016e-24
IGKV3D-15*03,TRAV9-2*02,0.7209876031128761,3.249868025538132e-05,0.0148437289957379,0.039,IG_vs_TCR,0.0143,0.0002840732854465,0.024619371558147,0.2972972972972973,30,8.556384800197208e-16,1.2753087821246314e-15
IGHD5-5*01,TRDV2*01,-0.7206445890147823,3.29162319593182e-05,0.0155654517519657,0.008,IG_vs_TCR,0.0143,0.0002851769122847,0.024619371558147,0.4285714285714285,43,2.4983149218063545e-29,6.061802872289836e-29
IGLV2-23*02,TRAV27*01,0.7184450448421446,3.570867421079668e-05,0.0004710749755029,0.004,IG_vs_TCR,0.0151,0.0003013688970031,0.0247813411078717,0.2727272727272727,27,3.9111493481777367e-13,5.276679939567378e-13
IGLV1-51*01,TRAJ24*02,-0.7177326378600529,3.665708490141832e-05,0.0415042790874771,0.047,IG_vs_TCR,0.0152,0.0003067289411836,0.0252672497570456,0.3529411764705882,35,1.2548522073632053e-20,2.2703395428016375e-20
IGHV4-28*01,TRAV27*01,0.7164754321763452,3.83853586494493e-05,0.0066807775867677,0.017,IG_vs_TCR,0.0152,0.0003131605509817,0.0254292193067703,0.2222222222222222,22,3.884507161612287e-09,4.768042123861356e-09
IGHV3-16*02,TRAJ47*02,0.7156521168777029,3.955592729462926e-05,0.0094137052626449,0.024,IG_vs_TCR,0.0153,0.0003200434117474,0.0255911888564949,0.1666666666666666,17,9.429030653736504e-06,1.0176850326274227e-05
IGKV6D-21*02,TRBJ1-4*01,0.7152479641175817,4.0142030270599866e-05,0.0003513162230885,0.0,IG_vs_TCR,0.0153,0.0003221233412698,0.0257531584062196,0.7777777777777778,78,7.96550084231355e-81,1.2466008818220707e-79
IGHV3-33*01,TRAV21*01,-0.714957007340705,4.056872673075913e-05,0.0394488017213369,0.018,IG_vs_TCR,0.0153,0.0003229006786131,0.0260770975056689,0.3684210526315789,37,1.0764600283749784e-22,2.173754766976569e-22
IGHV3-74*01,TRAV8-6*01,0.7142099296736735,4.168279852922257e-05,0.0470805403862916,0.025,IG_vs_TCR,0.0153,0.0003290924174202,0.0264010366051182,0.2777777777777778,28,5.3271545045797865e-14,7.477127174589565e-14
IGKV6D-21*02,TRBJ1-5*01,0.7135461029811003,4.2695373918843815e-05,5.158649691439144e-05,0.0,IG_vs_TCR,0.0155,0.0003343901685323,0.0265630061548428,0.7333333333333333,73,5.181584123690971e-72,5.2317284861783035e-71
IGHV6-1*01,TRBV2*01,0.7108450153943249,4.704384530568452e-05,0.0203533049985988,0.025,IG_vs_TCR,0.0165,0.0003570226709632,0.0275348234531908,0.25,25,1.8159668438289814e-11,2.3105594395059804e-11
IGHV3-43*01,TRAJ47*02,-0.710601653921151,4.7454239149845926e-05,0.0244869750111755,0.032,IG_vs_TCR,0.0167,0.0003573669240592,0.0280207321023647,0.2272727272727272,23,6.855551438923841e-10,8.447982678673867e-10
IGHV3-33-2*01,TRBJ1-4*01,0.7074508915340225,5.306109175261865e-05,0.0109696339354735,0.019,IG_vs_TCR,0.0175,0.0003905775099685,0.028830579850988,0.8461538461538461,85,3.062019248905898e-94,1.1980150311344325e-92
IGHV1-3*01,TRBV19*01,0.7067778380471135,5.433209627418507e-05,0.0215807166145678,0.039,IG_vs_TCR,0.0176,0.0003969486735255,0.028830579850988,0.2777777777777778,28,5.3271545045797865e-14,7.477127174589565e-14
IGLV4-69*01,TRBJ2-6*01,0.7051466900292138,5.75247638507605e-05,0.0005572854112858,0.002,IG_vs_TCR,0.0179,0.0004139407386198,0.0299643666990605,0.75,75,1.8120261070502625e-75,1.9557385224370077e-74
IGHV3-32*02,TRBJ1-5*01,0.7050803353783255,5.765808049481662e-05,0.003405260941724,0.02,IG_vs_TCR,0.018,0.0004139407386198,0.0299643666990605,0.6875,69,2.3456765494215002e-65,1.835491899922324e-64
IGKV2D-24*01,TRBJ2-6*01,0.7035837282452856,6.073848169338105e-05,0.0009397228813454,0.005,IG_vs_TCR,0.0185,0.0004300883220774,0.0307742144476838,0.7142857142857143,71,1.213255136617082e-68,1.1507541144277173e-67
IGLV2-5*02,TRBV20-1*01,-0.7028032836543247,6.240183832242077e-05,0.0135677000734741,0.011,IG_vs_TCR,0.0187,0.000433272338423,0.0312601230968577,0.1714285714285714,17,9.429030653736504e-06,1.0176850326274227e-05
IGKV1-39*01,TRBD1*01,0.7028744102994963,6.224859664035917e-05,0.000958967202394,0.001,IG_vs_TCR,0.0187,0.000433272338423,0.0312601230968577,0.4705882352941176,47,4.200403202565829e-34,1.184438020182977e-33
IGLV4-60*03,TRAJ13*02,0.7023931455651454,6.329199987650336e-05,0.0018986819835175,0.012,IG_vs_TCR,0.019,0.0004363582245006,0.0312601230968577,0.4545454545454545,45,1.1094588683593808e-31,2.8699225272436873e-31
IGHV3-53*01,TRBV20-1*02,-0.6988484845205883,7.146529925025909e-05,0.0005701593360589,0.001,IG_vs_TCR,0.02,0.0004824595773506,0.0323939099449303,0.6764705882352942,68,9.62076469253847e-64,7.003021741312886e-63
IGLV1-44*01,TRBV15*02,0.6960937357594131,7.844717871100166e-05,0.0031226258290631,0.027,IG_vs_TCR,0.0206,0.0005224475371297,0.0330417881438289,0.6111111111111112,61,5.468969260418885e-53,2.9013345398493408e-52
IGLV4-60*03,TRAJ16*02,0.6952401968432677,8.072932036444906e-05,0.0048848379471753,0.003,IG_vs_TCR,0.0207,0.0005255942719585,0.0333657272432782,0.4285714285714285,43,2.4983149218063545e-29,6.061802872289836e-29
IGHV1-68*01,TRAV8-6*02,-0.6940561696556262,8.39920752115796e-05,0.0111504064773426,0.018,IG_vs_TCR,0.0212,0.0005387756560237,0.0343375445416261,0.4736842105263157,47,4.200403202565829e-34,1.184438020182977e-33
IGHV3-19*01,TRAV8-7*02,0.6924070454974234,8.873023470358892e-05,0.0123169312743065,0.028,IG_vs_TCR,0.0216,0.0005640707777585,0.0351473922902494,0.3529411764705882,35,1.2548522073632053e-20,2.2703395428016375e-20
IGHD1-7*01,TRAV8-2*01,0.6904527810568402,9.46491618375709e-05,0.0107213777855956,0.038,IG_vs_TCR,0.0225,0.0005945624109649,0.035795270489148,0.3333333333333333,33,1.2307459685883103e-18,2.0822891252331953e-18
IGHV4-61*01,TRBV20-1*02,-0.6892423369264609,9.848744480531784e-05,0.0261548005608175,0.023,IG_vs_TCR,0.0227,0.0006141350857605,0.0362811791383219,0.12,12,0.004274182466365919,0.004474311411279373
IGLV2-14*01,TRAV1-1*02,0.6870839396905206,0.0001056732398911,0.0390135672835271,0.014,IG_vs_TCR,0.023,0.0006506547286381,0.0387107223841917,0.4736842105263157,47,4.200403202565829e-34,1.184438020182977e-33
IGHV3-32*02,TRBJ1-3*01,0.6856575245549515,0.0001106719830435,0.0098840316960065,0.037,IG_vs_TCR,0.0235,0.0006729681453393,0.0388726919339164,0.6875,69,2.3456765494215002e-65,1.835491899922324e-64
IGKV6D-41*01,TRBD1*01,0.6854196757094705,0.0001115254591221,0.025136092463385,0.027,IG_vs_TCR,0.0235,0.000673971756053,0.039520570132815,0.625,62,1.8080709981428965e-54,1.0105825400334403e-53
IGHV3-29*01,TRAV9-2*01,0.6831403201627441,0.0001200031980205,0.0010414833200764,0.002,IG_vs_TCR,0.0239,0.000720755404062,0.0403304178814382,0.2608695652173913,26,2.7331914071559116e-12,3.640378342297023e-12
IGHD6-6*01,TRAJ24*02,0.6802564012870331,0.000131539432372,0.043052519744114,0.018,IG_vs_TCR,0.0253,0.0007711203849832,0.0422740524781341,0.1515151515151515,15,0.00013585423899229154,0.00014512756588596333
IGHV3-29*01,TRAV21*01,-0.6770580051662124,0.0001454650081791,0.0058710260061547,0.02,IG_vs_TCR,0.0267,0.0008377073118083,0.0434078393262066,0.3076923076923077,31,1.0108323132423014e-16,1.6142373165553077e-16
IGHV3-23*01,TRAV8-7*02,0.6765309989775626,0.0001478798374969,0.0295301323486882,0.024,IG_vs_TCR,0.0268,0.0008466336895293,0.0434078393262066,0.3125,31,1.0108323132423014e-16,1.6142373165553077e-16
IGLV4-60*03,TRAJ16*01,-0.6752214671784922,0.0001540335901083,0.0002416451340251,0.0,IG_vs_TCR,0.0277,0.0008767377018377,0.0443796566245545,0.5,50,7.269307456113731e-38,2.275293233763598e-37
IGHV4-61*02,TRAV21*01,0.6722590021022415,0.0001687921377457,0.0058158539068472,0.003,IG_vs_TCR,0.0288,0.0009496982922593,0.0453514739229024,0.3043478260869565,30,8.556384800197208e-16,1.2753087821246314e-15
IGLV3-13*02,TRAV27*01,0.6718042993889075,0.0001711640229437,0.0150261675359625,0.034,IG_vs_TCR,0.029,0.0009575404483539,0.0453514739229024,0.1666666666666666,17,9.429030653736504e-06,1.0176850326274227e-05
IGHV1-2*02,TRBV15*02,-0.6708232260178288,0.0001763816126423,0.0346969405383418,0.022,IG_vs_TCR,0.0295,0.0009646793227759,0.0459993521218011,0.2777777777777778,28,5.3271545045797865e-14,7.477127174589565e-14
IGHV2-5*02,TRBV10-3*01,-0.6704895672250277,0.0001781876510262,0.0390433409717998,0.044,IG_vs_TCR,0.0295,0.0009691428353036,0.0463232912212504,0.1666666666666666,17,9.429030653736504e-06,1.0176850326274227e-05
IGKV1-33*01,TRBJ2-6*01,0.6691976408536077,0.0001853347517285,0.02022535446097,0.035,IG_vs_TCR,0.0304,0.0009973434839301,0.0476190476190476,0.4666666666666667,47,4.200403202565829e-34,1.184438020182977e-33
IGHV2-5*02,TRBJ1-6*01,0.6686940531757742,0.0001881881020831,0.0144296545671499,0.035,IG_vs_TCR,0.0306,0.0010012834344535,0.0482669258179462,0.375,38,9.356496953871758e-24,1.9922337051441227e-23
IGHV1-24*01,TRBJ1-4*01,0.667661689497469,0.0001941583465168,0.0325804363064094,0.044,IG_vs_TCR,0.0313,0.0010274649796755,0.0495626822157434,0.5714285714285714,57,3.032326254918384e-47,1.3182196080409087e-46
