sample,gene,read_num
HG01891,KIR2DS1,0
HG01891,KIR2DS2,24
HG01891,KIR2DS3,0
HG01891,KIR2DS4,75
HG01891,KIR2DS5,28
HG01891,KIR3DL1,55
HG01891,KIR3DL2,188
HG01891,KIR3DL3,54
HG01891,KIR3DP1,12
HG01891,KIR3DS1,0
HG01928,KIR2DL1,63
HG01928,KIR2DL2,1
HG01928,KIR2DL3,58
HG01928,KIR2DL4,50
HG01928,KIR2DL5A,0
HG01928,KIR2DL5B,0
HG01928,KIR2DP1,47
HG01928,KIR2DS1,0
HG01928,KIR2DS2,0
HG01928,KIR2DS3,0
HG01928,KIR2DS4,45
HG01928,KIR2DS5,0
HG01928,KIR3DL1,39
HG01928,KIR3DL2,127
HG01928,KIR3DL3,46
HG01928,KIR3DP1,6
HG01928,KIR3DS1,0
HG01952,KIR2DL1,65
HG01952,KIR2DL2,6
HG01952,KIR2DL3,26
HG01952,KIR2DL4,49
HG01952,KIR2DL5A,0
HG01952,KIR2DL5B,12
HG01952,KIR2DP1,49
HG01952,KIR2DS1,0
HG01952,KIR2DS2,24
HG01952,KIR2DS3,13
HG01952,KIR2DS4,69
HG01952,KIR2DS5,0
HG01952,KIR3DL1,60
HG01952,KIR3DL2,171
HG01952,KIR3DL3,45
HG01952,KIR3DP1,6
HG01952,KIR3DS1,0
HG01978,KIR2DL1,57
HG01978,KIR2DL2,0
HG01978,KIR2DL3,55
HG01978,KIR2DL4,46
HG01978,KIR2DL5A,0
HG01978,KIR2DL5B,0
HG01978,KIR2DP1,44
HG01978,KIR2DS1,0
HG01978,KIR2DS2,0
HG01978,KIR2DS3,0
HG01978,KIR2DS4,48
HG01978,KIR2DS5,0
HG01978,KIR3DL1,44
HG01978,KIR3DL2,128
HG01978,KIR3DL3,45
HG01978,KIR3DP1,5
HG01978,KIR3DS1,0
HG02055,KIR2DL1,47
HG02055,KIR2DL2,0
HG02055,KIR2DL3,48
HG02055,KIR2DL4,65
HG02055,KIR2DL5A,0
HG02055,KIR2DL5B,0
HG02055,KIR2DP1,38
HG02055,KIR2DS1,0
HG02055,KIR2DS2,0
HG02055,KIR2DS3,0
HG02055,KIR2DS4,54
HG02055,KIR2DS5,0
HG02055,KIR3DL1,52
HG02055,KIR3DL2,153
HG02055,KIR3DL3,54
HG02055,KIR3DP1,4
HG02055,KIR3DS1,0
HG02080,KIR2DL1,47
HG02080,KIR2DL2,0
HG02080,KIR2DL3,46
HG02080,KIR2DL4,41
HG02080,KIR2DL5A,0
HG02080,KIR2DL5B,0
HG02080,KIR2DP1,32
HG02080,KIR2DS1,0
HG02080,KIR2DS2,0
HG02080,KIR2DS3,0
HG02080,KIR2DS4,34
HG02080,KIR2DS5,0
HG02080,KIR3DL1,46
HG02080,KIR3DL2,108
HG02080,KIR3DL3,60
HG02080,KIR3DP1,5
HG02080,KIR3DS1,0
