Allele_1,Allele_2,Family_1,Family_2,Stability_Score
IGHV3-53*04,IGHV3-54*02,IG,IG,0.91
MICA*001,KIR2DL4*006,HLA,KIR,0.91
IGHV3-43*02,IGHV1-45*03,IG,IG,0.91
IGKV2-30*01,IGKV2-30*02,IG,IG,0.91
IGHV4-39*01,IGHV4-39*07,IG,IG,0.91
TRGV9*01,TRGV9*02,TCR,TCR,0.91
IGHD1-7*01,IGHD5-5*01,IG,IG,0.91
IGLV3-16*01,IGLJ3*02,IG,IG,0.91
IGHV3-64*01,IGHV1-58*02,IG,IG,0.91
TRBJ1-3*01,TRBJ1-4*01,TCR,TCR,0.91
KIR2DP1*003,KIR2DL3*002,KIR,KIR,0.91
IGKV2-30*02,IGKV2-29*02,IG,IG,0.9
IGHV5-10-1*03,IGHV3-13*01,IG,IG,0.9
IGHV3-7*01,IGHV3-13*01,IG,IG,0.9
TRAV13-1*01,TRAV6*03,TCR,TCR,0.9
IGHV3-52*01,IGHV3-52*02,IG,IG,0.9
IGKJ5*01,IGKJ4*01,IG,IG,0.9
IGHV1-69D*01,IGHV1-69D*05,IG,IG,0.9
IGHJ5*02,IGHJ4*02,IG,IG,0.9
IGHD2-8*02,IGHD3-10*03,IG,IG,0.9
HLA-DPA1*02,HLA-C*16,HLA,HLA,0.9
IGHV1-68*04,TRBV11-3*04,IG,TCR,0.9
KIR3DP1*009,IGLJ5*02,KIR,IG,0.89
IGHV4-28*01,TRBV7-7*01,IG,TCR,0.89
IGHV3-35*01,IGHV3-35*02,IG,IG,0.89
HLA-DRB3*01,IGHV2-5*01,HLA,IG,0.89
IGHV4-4*02,IGHV2-5*01,IG,IG,0.89
HLA-V*01,IGKJ4*01,HLA,IG,0.89
HLA-C*08,SLCO1B1*45,HLA,CYP,0.89
TRBV6-4*01,TRBV7-3*03,TCR,TCR,0.89
NAT2*4,IGLV3-32*01,CYP,IG,0.89
KIR2DL1*002,IGHV1-69*04,KIR,IG,0.89
CYP2A13*1,CYP2A13*2,CYP,CYP,0.89
HLA-C*01,IGHD3-22*01,HLA,IG,0.89
TRBV7-9*03,TRBV10-3*01,TCR,TCR,0.89
TRAV13-1*02,TRAV6*03,TCR,TCR,0.89
HLA-DPA2*02,HLA-C*08,HLA,HLA,0.89
HLA-K*01,CYP3A5*3,HLA,CYP,0.88
TRBV6-4*01,TRBV9*01,TCR,TCR,0.88
IGHD5-5*01,IGHD3-3*01,IG,IG,0.88
IGHD1-7*01,IGHD3-3*01,IG,IG,0.88
KIR2DS2*001,KIR3DP1*002,KIR,KIR,0.88
IGHD4-11*01,IGHD3-9*01,IG,IG,0.88
HLA-DPB2*01,HLA-DPB1*02,HLA,HLA,0.88
TRBV6-4*02,TRBV7-3*03,TCR,TCR,0.88
SLCO1B1*14,IGLJ7*02,CYP,IG,0.88
HLA-DQA1*03,HLA-DRB1*04,HLA,HLA,0.88
HLA-DPB1*13,IGLV11-55*02,HLA,IG,0.88
KIR2DS4*003,KIR3DL1*001,KIR,KIR,0.88
IGHD6-13*01,IGHD5-12*01,IG,IG,0.88
IGHD2-21*02,IGHD1-20*01,IG,IG,0.87
IGLV3-13*01,IGLV3-13*02,IG,IG,0.87
HLA-DQA1*02,HLA-DRB1*07,HLA,HLA,0.87
IGHV3-43*01,IGHV1-45*03,IG,IG,0.87
IGHV4-31*01,IGHV4-28*02,IG,IG,0.87
MICB*005,MICB*052,HLA,HLA,0.87
IGLV4-60*03,IGLV4-60*02,IG,IG,0.87
IGHD6-6*01,IGHD5-5*01,IG,IG,0.87
MICA*001,KIR3DL1*007,HLA,KIR,0.87
IGKV2-29*01,IGKV2-30*01,IG,IG,0.86
KIR2DS4*006,IGHV3-25*05,KIR,IG,0.86
IGHV3-20*01,IGHV3-20*02,IG,IG,0.86
IGHV1-2*02,IGHV1-2*04,IG,IG,0.86
IGHV3-49*03,TRBV7-2*01,IG,TCR,0.86
IGHV1-68*01,IGHV1-68*04,IG,IG,0.86
HLA-P*02,HLA-P*01,HLA,HLA,0.86
IGHV1-45*02,IGHV1-45*03,IG,IG,0.86
NUDT15*18,IGLV2-11*01,CYP,IG,0.86
IGHV3-49*04,IGHV3-49*03,IG,IG,0.86
IGKV1D-12*02,IGKV1D-13*02,IG,IG,0.86
TRBV30*01,TRBV30*03,TCR,TCR,0.86
KIR2DL4*011,KIR3DL1*005,KIR,KIR,0.86
IGHV5-10-1*03,IGKV2-24*01,IG,IG,0.86
KIR2DL3*002,KIR2DL5B*035,KIR,KIR,0.86
HLA-DPB2*03,IGKJ4*02,HLA,IG,0.86
CYP2C19*17,TRAJ16*01,CYP,TCR,0.86
SLCO1B1*45,IGKV2-28*01,CYP,IG,0.85
HLA-K*01,HLA-A*02,HLA,HLA,0.85
IGHV1-58*01,IGHV3-62*03,IG,IG,0.85
IGHV1-2*06,IGKV7-3*01,IG,IG,0.85
HLA-DQB1*03,HLA-DRB5*01,HLA,HLA,0.85
KIR2DL5B*002,IGHV8-51-1*04,KIR,IG,0.85
HLA-V*01,IGKV2D-18*01,HLA,IG,0.85
KIR2DS4*001,TRBV7-7*02,KIR,TCR,0.85
HLA-W*02,HLA-A*29,HLA,HLA,0.84
IGHV1-2*02,IGHV4-4*12,IG,IG,0.84
TRDV3*01,TRDV3*02,TCR,TCR,0.84
TRBV6-6*01,TRBV5-5*02,TCR,TCR,0.84
IGHD6-19*01,IGHD5-18*01,IG,IG,0.84
HLA-DPB2*03,HLA-DPB1*02,HLA,HLA,0.84
IGHV3-11*04,IGLV3-10*03,IG,IG,0.84
IGHD5-18*01,IGHD3-22*01,IG,IG,0.84
HLA-A*24,HLA-K*01,HLA,HLA,0.84
IGHD3-16*02,IGHD2-15*01,IG,IG,0.84
IGHV3-71*01,IGHV4-28*02,IG,IG,0.84
HLA-DPB2*03,HLA-DPB1*04,HLA,HLA,0.84
IGKV1-37*01,TRBV20-1*05,IG,TCR,0.84
SLCO1B1*37,IGLJ7*01,CYP,IG,0.84
IGHD6-6*01,IGHD3-3*01,IG,IG,0.84
KIR2DS4*001,KIR3DL1*015,KIR,KIR,0.84
IGHD4-17*01,IGHD1-14*01,IG,IG,0.83
CYP3A5*7,TRAV8-3*01,CYP,TCR,0.83
TRBV20-1*05,TRBV11-3*04,TCR,TCR,0.83
IGHD6-25*01,IGHV1-2*05,IG,IG,0.83
HLA-DPA2*01,HLA-C*08,HLA,HLA,0.83
IGHV3-13*05,IGHV3-13*01,IG,IG,0.83
SLCO1B1*1,IGLV3-19*01,CYP,IG,0.83
IGHV2-70*05,IGHV2-70*15,IG,IG,0.83
IGKV3-20*01,TRAV35*02,IG,TCR,0.83
IGHV3-53*02,IGHV3-54*07,IG,IG,0.83
HLA-DQA1*01,HLA-DQB1*05,HLA,HLA,0.83
IGLV2-23*03,IGLV2-23*02,IG,IG,0.83
HLA-T*01,IGHV3-13*05,HLA,IG,0.83
CYP2A6*24,IGHJ6*04,CYP,IG,0.83
MICA*001,KIR2DS4*004,HLA,KIR,0.83
IGKV3-11*01,IGKV3D-11*01,IG,IG,0.83
IGHV1-58*01,IGHV3-64*01,IG,IG,0.83
HLA-A*30,KIR3DL3*004,HLA,KIR,0.83
MICA*010,HLA-A*11,HLA,HLA,0.83
CYP3A5*3,IGHV3-13*04,CYP,IG,0.83
KIR2DL4*042,CYP3A5*1,KIR,CYP,0.83
IGHV3-16*04,TRBV2*01,IG,TCR,0.82
HLA-A*03,IGHV4-28*02,HLA,IG,0.82
HLA-V*01,IGKV3D-7*01,HLA,IG,0.82
TRBV7-3*01,TRBV5-3*02,TCR,TCR,0.82
TRBV7-3*01,TRBV6-4*02,TCR,TCR,0.82
IGHV3-7*01,IGHV1-18*01,IG,IG,0.82
IGLV2-14*04,IGHV5-10-1*01,IG,IG,0.82
IGLV6-57*02,IGHV3-30-2*03,IG,IG,0.82
