Allele_1,Allele_2,Family_1,Family_2,Stability_Score
HLA-C*02,IGHV2-5*02,HLA,IG,0.02
HLA-DPB1*01,IGHV8-51-1*04,HLA,IG,0.02
KIR2DL1*004,IGLV5-45*01,KIR,IG,0.02
HLA-DPA2*01,TRAV13-1*02,HLA,TCR,0.02
IGLV9-49*01,IGHV6-1*03,IG,IG,0.02
IGHV1-69D*05,IGHV1-69*04,IG,IG,0.02
KIR2DL1*004,KIR2DS4*003,KIR,KIR,0.02
CYP2A6*9,IGHV7-34-1*02,CYP,IG,0.02
HLA-A*68,IGHD2-2*03,HLA,IG,0.02
IGHV3-64D*09,TRBV14*02,IG,TCR,0.02
CYP2C9*82,IGHD5-5*01,CYP,IG,0.02
SLCO1B1*19,IGHV2-5*11,CYP,IG,0.02
CYP2A6*48,TRAV12-2*03,CYP,TCR,0.02
HLA-T*02,IGHV3-23*01,HLA,IG,0.02
SLCO1B1*19,IGHV3-13*01,CYP,IG,0.02
IGHD1-1*01,TRAV1-1*01,IG,TCR,0.02
MICB*052,IGHV3-66*02,HLA,IG,0.02
SLCO1B1*14,SLCO1B1*45,CYP,CYP,0.02
CYP4F2*6,IGLV5-48*01,CYP,IG,0.02
KIR2DL4*001,IGHV2-70*10,KIR,IG,0.02
CYP2C9*2,IGLV3-13*01,CYP,IG,0.02
IGHV3-25*03,IGHV3-64*07,IG,IG,0.02
IGHV5-51*03,IGHV1-69*14,IG,IG,0.02
TAP2*02,TRBJ1-5*01,HLA,TCR,0.02
IGHV1-3*01,TRAV6*01,IG,TCR,0.02
IGLV5-45*03,TRAV20*01,IG,TCR,0.02
IGLV9-49*01,IGKV2-24*02,IG,IG,0.02
IGHV3-49*03,IGHV5-10-1*01,IG,IG,0.02
KIR3DS1*013,TRBV17*01,KIR,TCR,0.02
KIR2DP1*031,IGKV3-7*06,KIR,IG,0.02
IGHV3-49*03,IGKV1-8*02,IG,IG,0.02
IGLV5-45*03,TRGV9*02,IG,TCR,0.02
IGKV1-9*01,TRBV20-1*01,IG,TCR,0.02
KIR2DL4*049,CYP2C19*17,KIR,CYP,0.02
IGLV1-36*01,IGLV3-10*01,IG,IG,0.02
CYP2A13*2,IGHV5-10-1*01,CYP,IG,0.02
CYP4F2*1,TRBV14*01,CYP,TCR,0.02
KIR3DL2*005,TRAV30*05,KIR,TCR,0.02
SLCO1B1*19,IGLV2-14*01,CYP,IG,0.02
CYP2A13*2,IGHV2-26*04,CYP,IG,0.02
HLA-DRB1*14,CYP4F2*5,HLA,CYP,0.02
KIR3DL3*003,TRBV11-2*03,KIR,TCR,0.02
KIR3DL2*009,IGLV4-3*01,KIR,IG,0.02
KIR3DL2*126,IGLV5-48*02,KIR,IG,0.02
KIR2DL3*005,IGKV1D-8*03,KIR,IG,0.02
HLA-DQA1*04,IGKV1D-12*02,HLA,IG,0.02
SLCO1B1*45,TRAJ37*01,CYP,TCR,0.02
CYP4F2*1,IGKV1-37*01,CYP,IG,0.02
TAP2*02,KIR3DL3*027,HLA,KIR,0.02
CYP2A6*48,IGHV3-20*02,CYP,IG,0.02
KIR2DP1*025,IGHV4-31*09,KIR,IG,0.02
CYP2D6*4,IGHV3-7*01,CYP,IG,0.02
KIR2DL3*005,IGHV3-33*06,KIR,IG,0.02
IGLV5-45*02,IGHV1-69*10,IG,IG,0.02
CYP2C9*1,IGHV7-81*01,CYP,IG,0.02
IGHV3-54*02,TRBV21-1*02,IG,TCR,0.02
IGHV3-13*04,TRBV6-6*03,IG,TCR,0.02
KIR2DL3*002,IGHD4-23*01,KIR,IG,0.02
IGHV8-51-1*04,TRAV30*01,IG,TCR,0.02
HLA-N*01,CYP2B6*2,HLA,CYP,0.02
HLA-DRB5*01,IGLV10-54*01,HLA,IG,0.02
CYP4F2*1,IGHV3-54*07,CYP,IG,0.02
IGLV9-49*01,TRAV10*02,IG,TCR,0.02
CYP2B6*15,IGHV3-13*05,CYP,IG,0.02
HLA-H*01,IGLV3-10*03,HLA,IG,0.02
CYP2A6*28,IGHV4-34*01,CYP,IG,0.02
CYP2D6*4,IGHV3-30-2*03,CYP,IG,0.02
IGHV1-18*04,IGLV3-12*01,IG,IG,0.02
MICB*008,IGHV3-13*01,HLA,IG,0.02
NAT2*1,IGKV2-24*01,CYP,IG,0.02
HLA-S*01,TRDV3*01,HLA,TCR,0.02
CYP2A6*28,IGHV3-71*01,CYP,IG,0.02
KIR2DS4*006,IGHV3-41*02,KIR,IG,0.02
CYP2A13*2,IGKV1D-8*02,CYP,IG,0.02
IGHV3-13*04,TRAV1-1*02,IG,TCR,0.02
HLA-B*07,IGKV6D-21*02,HLA,IG,0.02
CYP2B6*15,TRAJ8*01,CYP,TCR,0.02
KIR3DS1*013,IGHV2-26*01,KIR,IG,0.02
KIR3DP1*009,IGLV10-54*01,KIR,IG,0.02
IGHV3-32*01,TRBV17*02,IG,TCR,0.02
HLA-DQA1*04,IGHV3-32*02,HLA,IG,0.02
TAP2*02,IGHJ6*04,HLA,IG,0.02
IGKV2-4*01,IGLV6-57*02,IG,IG,0.02
IGHV3-13*04,IGKV1D-16*02,IG,IG,0.02
IGHD3-3*02,TRAV26-1*02,IG,TCR,0.02
CYP2D6*2,TRAJ37*02,CYP,TCR,0.02
KIR3DL1*059,IGHV1-2*04,KIR,IG,0.02
CYP2A6*28,IGHV3-73*02,CYP,IG,0.02
IGKV2-4*01,TRBV20-1*05,IG,TCR,0.02
IGKV2-4*01,TRBV11-3*04,IG,TCR,0.02
HLA-N*01,IGHV3-53*02,HLA,IG,0.02
SLCO1B1*15,CYP3A5*6,CYP,CYP,0.02
NAT2*7,IGHV2-70*05,CYP,IG,0.02
HLA-B*07,KIR3DL3*009,HLA,KIR,0.02
CYP4F2*1,IGHV3-62*03,CYP,IG,0.02
HLA-DRB1*14,IGLV5-45*02,HLA,IG,0.02
KIR2DP1*009,IGHV5-51*01,KIR,IG,0.02
IGHV3-69-1*01,TRDV2*02,IG,TCR,0.02
IGLV5-45*02,IGHV4-61*12,IG,IG,0.02
HLA-B*18,TRAV30*01,HLA,TCR,0.02
KIR2DS4*006,IGLV2-23*04,KIR,IG,0.02
KIR3DS1*013,IGHV8-51-1*03,KIR,IG,0.02
KIR2DL3*005,IGKJ1*01,KIR,IG,0.02
IGLV9-49*01,TRAV38-1*03,IG,TCR,0.02
CYP2C9*82,IGHV7-4-1*01,CYP,IG,0.02
CYP2D6*132,IGHV3-49*05,CYP,IG,0.02
SLCO1B1*14,IGHV3-15*01,CYP,IG,0.02
CYP2B6*5,IGHJ6*02,CYP,IG,0.02
CYP2C9*82,TRBV10-1*01,CYP,TCR,0.02
TAP2*02,TRDV2*02,HLA,TCR,0.02
IGKV1-5*03,IGHV4-34*13,IG,IG,0.02
KIR2DL3*002,TRBV30*04,KIR,TCR,0.02
KIR3DP1*002,IGHV3-11*04,KIR,IG,0.02
HLA-DRB4*01,IGHV3-53*04,HLA,IG,0.02
CYP4F2*1,TRBV7-3*01,CYP,TCR,0.02
HLA-DQA1*04,IGHV3-69-1*02,HLA,IG,0.02
IGLV1-51*02,IGHV4-34*13,IG,IG,0.02
HLA-A*02,CYP2C8*1,HLA,CYP,0.02
CYP2D6*132,TRBV5-3*02,CYP,TCR,0.02
SLCO1B1*37,TRAV30*05,CYP,TCR,0.02
CYP2A6*28,IGLV3-21*02,CYP,IG,0.02
IGKV1D-16*01,IGHV3-54*02,IG,IG,0.02
KIR2DP1*025,IGKV1-33*01,KIR,IG,0.02
SLCO1B1*45,IGHV1-69*04,CYP,IG,0.02
SLCO1B1*37,TRAV30*01,CYP,TCR,0.02
HLA-DPB1*03,IGLV3-1*01,HLA,IG,0.02
HLA-B*07,KIR2DP1*031,HLA,KIR,0.02
HLA-B*07,IGHD3-10*01,HLA,IG,0.02
CYP2A6*48,IGKV2D-30*01,CYP,IG,0.02
MICB*002,IGHV2-70D*14,HLA,IG,0.02
CYP2A6*9,IGKV1D-8*01,CYP,IG,0.02
HLA-DPA1*03,CYP2C19*10,HLA,CYP,0.02
KIR3DL2*009,CYP2B6*2,KIR,CYP,0.02
TAP2*02,KIR3DP1*002,HLA,KIR,0.02
HLA-B*40,HLA-DRB1*07,HLA,HLA,0.02
IGLV1-40*01,TRBV7-9*01,IG,TCR,0.02
KIR3DL3*002,IGHD2-8*02,KIR,IG,0.02
KIR3DL2*010,TRGV9*01,KIR,TCR,0.02
IGLV3-22*03,IGHV4-59*11,IG,IG,0.02
CYP4F2*1,TRAV9-2*02,CYP,TCR,0.02
HLA-W*03,IGHD6-25*01,HLA,IG,0.02
IGHJ3*02,TRBV21-1*02,IG,TCR,0.02
HLA-C*07,IGHD6-25*01,HLA,IG,0.02
SLCO1B1*14,IGKV2D-29*01,CYP,IG,0.02
CYP2A6*46,IGHV3-33*08,CYP,IG,0.02
HLA-DRB1*08,TRGV2*03,HLA,TCR,0.02
IGKV1-8*01,IGHV3-16*03,IG,IG,0.02
CYP2C9*2,TRGJP*01,CYP,TCR,0.02
KIR3DS1*013,IGKV3-7*05,KIR,IG,0.02
IGKV1D-16*01,TRBV30*01,IG,TCR,0.02
SLCO1B1*14,IGLV2-18*02,CYP,IG,0.02
HLA-B*07,TRBJ2-7*01,HLA,TCR,0.02
HLA-DRB1*14,NAT2*14,HLA,CYP,0.02
KIR3DL1*059,TRBV10-3*02,KIR,TCR,0.02
IGHV1-18*04,IGKV7-3*01,IG,IG,0.02
HLA-B*57,KIR3DL2*023,HLA,KIR,0.02
CYP2A13*2,IGKV2-18*01,CYP,IG,0.02
HLA-DQA1*04,IGKV1D-43*01,HLA,IG,0.02
HLA-DRB1*14,CYP4F2*3,HLA,CYP,0.02
SLCO1B1*15,IGKJ2*01,CYP,IG,0.02
KIR3DL2*010,TRAV6*01,KIR,TCR,0.02
CYP3A5*7,IGLV7-46*02,CYP,IG,0.02
SLCO1B1*45,TRAV13-1*02,CYP,TCR,0.02
TAP2*02,CYP4F2*10,HLA,CYP,0.02
HLA-DPA2*01,IGHD2-8*01,HLA,IG,0.02
HLA-B*57,IGHV3-71*03,HLA,IG,0.02
IGHV3-13*04,TRAV9-2*02,IG,TCR,0.02
KIR3DS1*013,IGKV1-5*04,KIR,IG,0.02
IGLV3-22*03,TRAV38-1*03,IG,TCR,0.02
KIR2DL3*002,IGHV2-70D*04,KIR,IG,0.02
HLA-C*06,TRAV20*02,HLA,TCR,0.02
IGKV3-7*04,TRBV14*01,IG,TCR,0.02
CYP4F2*1,IGHV3-32*02,CYP,IG,0.02
HLA-B*18,TRAV30*05,HLA,TCR,0.02
KIR3DL3*002,TRGV9*02,KIR,TCR,0.02
SLCO1B1*14,IGLV1-51*01,CYP,IG,0.02
HLA-DRB3*01,TRBJ1-3*01,HLA,TCR,0.02
KIR3DL2*023,IGHD5-5*01,KIR,IG,0.02
HLA-DRB3*01,IGHV1-68*04,HLA,IG,0.02
HLA-DRB3*01,IGLV3-13*01,HLA,IG,0.02
KIR3DL2*023,IGHD4-4*01,KIR,IG,0.02
IGHD4-11*01,TRBV7-3*01,IG,TCR,0.02
SLCO1B1*45,IGLJ5*02,CYP,IG,0.02
HLA-DPB1*01,IGHV1-45*02,HLA,IG,0.02
TAP2*02,TRBV30*01,HLA,TCR,0.02
CYP4F2*1,IGHV1-68*04,CYP,IG,0.02
KIR3DL2*023,TRAV35*03,KIR,TCR,0.02
HLA-DPB1*04,IGHV4-4*02,HLA,IG,0.02
SLCO1B1*45,IGKV1-17*01,CYP,IG,0.02
HLA-DRB5*01,CYP3A4*20,HLA,CYP,0.02
IGHV3-38*02,IGHV3-64*07,IG,IG,0.02
KIR3DL1*015,IGHV1-69*02,KIR,IG,0.02
KIR3DL3*002,CYP2B6*15,KIR,CYP,0.02
HLA-DRB1*03,IGKV2-40*01,HLA,IG,0.02
HLA-W*02,TRBV19*01,HLA,TCR,0.02
IGHV7-4-1*02,TRBV7-2*01,IG,TCR,0.02
HLA-A*30,KIR2DS1*002,HLA,KIR,0.02
IGLV1-47*02,TRAV20*01,IG,TCR,0.02
KIR2DL1*003,CYP2A6*1,KIR,CYP,0.02
CYP2C9*11,IGLV5-48*02,CYP,IG,0.02
KIR3DL1*001,IGLV1-47*02,KIR,IG,0.02
TRGJP*01,TRBV6-6*03,TCR,TCR,0.02
CYP2A6*46,IGHD2-15*01,CYP,IG,0.02
IGLJ6*01,TRBV6-6*01,IG,TCR,0.02
IGLV11-55*02,TRBV24-1*02,IG,TCR,0.02
IGHV3-48*02,IGHV4-34*13,IG,IG,0.02
CYP2A6*46,IGHD6-19*01,CYP,IG,0.02
IGHV3-16*03,TRGV2*03,IG,TCR,0.02
HLA-DPB1*17,IGHD6-19*01,HLA,IG,0.02
CYP2A6*54,IGHV3-54*02,CYP,IG,0.02
HLA-B*18,IGHV3-53*02,HLA,IG,0.02
HLA-C*02,IGLV3-19*01,HLA,IG,0.02
IGLJ6*01,IGHD3-16*02,IG,IG,0.02
CYP3A5*1,TRAV20*01,CYP,TCR,0.02
HLA-A*30,IGKV1D-8*03,HLA,IG,0.02
KIR3DP1*003,CYP2C19*38,KIR,CYP,0.02
NAT2*14,TRAJ32*01,CYP,TCR,0.02
IGKJ2*01,TRDV2*02,IG,TCR,0.02
CYP3A4*10,IGKV6-21*02,CYP,IG,0.02
KIR2DS4*004,IGHV6-1*03,KIR,IG,0.02
IGHV3-53*04,TRAV30*01,IG,TCR,0.02
KIR2DL4*001,CYP2B6*2,KIR,CYP,0.02
IGHV3-53*04,TRAJ24*03,IG,TCR,0.02
KIR2DL1*003,CYP2C9*1,KIR,CYP,0.02
KIR2DL3*001,IGHV3-13*05,KIR,IG,0.02
TAP2*02,IGHV1-3*03,HLA,IG,0.02
CYP2C9*82,IGHV3-48*01,CYP,IG,0.02
KIR2DL1*003,KIR2DL2*003,KIR,KIR,0.02
CYP2B6*17,IGHV3-30*02,CYP,IG,0.02
HLA-DPB1*14,KIR2DL4*001,HLA,KIR,0.02
CYP2C9*11,TRBJ1-4*01,CYP,TCR,0.02
KIR2DP1*025,KIR3DL2*008,KIR,KIR,0.02
CYP2C9*11,TRBJ1-5*01,CYP,TCR,0.02
SLCO1B1*45,IGLV4-3*01,CYP,IG,0.02
CYP2C8*1,IGHD4-17*01,CYP,IG,0.02
CYP2B6*17,TRGV9*01,CYP,TCR,0.02
HLA-A*01,IGLV2-23*03,HLA,IG,0.02
HLA-A*03,IGHV5-10-1*01,HLA,IG,0.02
KIR3DL2*010,IGKV2D-28*01,KIR,IG,0.02
CYP2C9*2,TRAV21*01,CYP,TCR,0.02
KIR2DL3*001,TRBV11-2*03,KIR,TCR,0.02
IGLV2-23*03,TRAV8-6*01,IG,TCR,0.02
KIR3DL3*010,IGKV2D-30*01,KIR,IG,0.02
CYP3A4*10,TRAV30*01,CYP,TCR,0.02
CYP2C9*34,TRBD1*01,CYP,TCR,0.02
CYP2C19*17,IGLV1-51*02,CYP,IG,0.02
HLA-B*18,IGKV1D-42*02,HLA,IG,0.02
KIR3DL1*002,IGHV3-30*03,KIR,IG,0.02
SLCO1B1*15,IGLV3-31*01,CYP,IG,0.02
HLA-C*15,IGKV4-1*02,HLA,IG,0.02
CYP2C9*1,IGHV1-3*03,CYP,IG,0.02
HLA-DRB1*07,CYP2C9*1,HLA,CYP,0.02
KIR2DL3*001,IGHV4-31*01,KIR,IG,0.02
CYP2A6*46,IGHV4-28*01,CYP,IG,0.02
HLA-DPB1*02,IGHJ5*02,HLA,IG,0.02
CYP2A6*54,IGHV1-24*01,CYP,IG,0.02
IGLV10-54*02,IGHV3-13*04,IG,IG,0.02
SLCO1B1*15,NAT2*1,CYP,CYP,0.02
CYP3A4*10,IGHV3-19*02,CYP,IG,0.02
HLA-A*02,IGHV3-49*03,HLA,IG,0.02
MICA*008,NAT2*1,HLA,CYP,0.02
HLA-DPB1*14,KIR2DL4*049,HLA,KIR,0.02
KIR3DL2*008,TRBV14*02,KIR,TCR,0.02
HLA-DOB*01,HLA-W*03,HLA,HLA,0.02
IGLV5-37*01,IGHV8-51-1*04,IG,IG,0.02
CYP2C9*3,TRBV6-6*02,CYP,TCR,0.02
HLA-DRB5*01,TRAV35*01,HLA,TCR,0.02
HLA-DPA1*03,IGHV1-2*04,HLA,IG,0.02
KIR2DS4*003,IGLV5-48*02,KIR,IG,0.02
IGLV3-21*04,IGHV3-33*06,IG,IG,0.02
KIR2DL1*003,IGKV2-40*01,KIR,IG,0.02
CYP4F2*3,TRGV2*02,CYP,TCR,0.02
CYP2D6*2,IGLJ5*01,CYP,IG,0.02
CYP2A6*54,IGKJ2*04,CYP,IG,0.02
HLA-A*03,IGKV2-28*01,HLA,IG,0.02
NAT2*14,IGHJ2*01,CYP,IG,0.02
CYP2C9*34,IGHD3-10*03,CYP,IG,0.02
CYP2A13*2,IGLV3-1*01,CYP,IG,0.02
CYP2A6*54,IGLJ2*01,CYP,IG,0.02
IGKV4-1*01,IGLJ7*01,IG,IG,0.02
HLA-DRB1*14,TRBJ1-3*01,HLA,TCR,0.02
KIR3DL3*010,TRBV11-2*03,KIR,TCR,0.02
KIR2DP1*009,IGKV2D-28*01,KIR,IG,0.02
IGKJ4*02,TRAV30*05,IG,TCR,0.02
KIR2DS2*001,IGKV1-8*03,KIR,IG,0.02
KIR2DL4*001,IGKV3-20*01,KIR,IG,0.02
HLA-DPB1*13,TRAV8-2*03,HLA,TCR,0.02
IGHV5-51*03,IGLV5-37*03,IG,IG,0.02
KIR3DL2*001,IGHV3-66*02,KIR,IG,0.02
IGLV10-54*04,TRBV10-1*02,IG,TCR,0.02
IGKV1D-16*01,IGHV1-69-2*01,IG,IG,0.02
HLA-B*18,IGKV1D-43*01,HLA,IG,0.02
IGHV4-31*13,TRBV6-4*01,IG,TCR,0.02
IGHD3-3*01,IGHV3-7*05,IG,IG,0.02
HLA-C*15,IGKV3-7*04,HLA,IG,0.02
CYP2A6*54,IGHV3-73*01,CYP,IG,0.02
HLA-DRB1*14,TRBJ1-4*01,HLA,TCR,0.02
CYP2A6*54,IGHV3-48*01,CYP,IG,0.02
IGHD3-3*01,TRBV7-9*03,IG,TCR,0.02
NAT2*5,CYP2C8*2,CYP,CYP,0.02
HLA-DRB3*03,SLCO1B1*20,HLA,CYP,0.02
CYP2A6*28,TRAV30*05,CYP,TCR,0.02
HLA-DQA1*01,TRBV20-1*05,HLA,TCR,0.02
IGLJ6*01,IGHV5-51*03,IG,IG,0.02
MICA*002,IGHV3-11*06,HLA,IG,0.02
HLA-DRB1*14,TRBJ1-5*01,HLA,TCR,0.02
CYP2A6*54,IGKV1-33*01,CYP,IG,0.02
HLA-DRB1*07,IGKV1-37*01,HLA,IG,0.02
MICB*008,KIR2DS4*010,HLA,KIR,0.02
HLA-DRB1*07,IGHV3-21*01,HLA,IG,0.02
IGLV5-37*03,TRGJ1*02,IG,TCR,0.02
IGLV1-47*02,TRAV10*01,IG,TCR,0.02
KIR2DL5B*035,TRBV14*02,KIR,TCR,0.02
HLA-DRB1*13,TRBV14*02,HLA,TCR,0.02
KIR2DS3*001,IGHV1-45*02,KIR,IG,0.02
HLA-C*02,TRAV6*07,HLA,TCR,0.02
IGLV1-36*01,IGLV2-23*03,IG,IG,0.02
NUDT15*18,IGHV4-61*01,CYP,IG,0.02
IGHV4-4*02,IGHV3-33*08,IG,IG,0.02
HLA-A*03,IGKV2D-30*01,HLA,IG,0.02
IGHV4-28*07,IGLV2-34*01,IG,IG,0.02
IGHD1-1*01,IGKV3-7*04,IG,IG,0.02
KIR3DL1*001,IGKV1-37*01,KIR,IG,0.02
HLA-DRB1*08,IGHV3-15*01,HLA,IG,0.02
NAT2*5,TRAV38-1*01,CYP,TCR,0.02
HLA-DQA1*05,IGHV1-58*01,HLA,IG,0.02
IGHV3-13*03,TRBV17*02,IG,TCR,0.02
CYP3A5*1,TRBV7-3*01,CYP,TCR,0.02
KIR2DL4*001,IGKV3D-15*02,KIR,IG,0.02
HLA-B*35,IGHD1-20*01,HLA,IG,0.02
IGHV3-43*01,IGHV4-55*01,IG,IG,0.02
IGHV5-51*03,IGLV5-48*02,IG,IG,0.02
NAT2*5,TRBV6-6*03,CYP,TCR,0.02
HLA-A*30,TRBV9*01,HLA,TCR,0.02
IGKV6-21*01,IGHD2-8*02,IG,IG,0.02
KIR3DL1*001,IGKV4-1*01,KIR,IG,0.02
KIR3DL3*008,IGHV3-11*05,KIR,IG,0.02
NAT2*14,IGHV2-70*10,CYP,IG,0.02
HLA-B*18,TRAV27*03,HLA,TCR,0.02
HLA-S*01,IGHD3-9*01,HLA,IG,0.02
CYP2C8*1,TRBJ1-3*01,CYP,TCR,0.02
HLA-C*02,IGHV3-35*02,HLA,IG,0.02
TRAV27*03,TRBV30*04,TCR,TCR,0.02
CYP2D6*2,IGKV1D-8*02,CYP,IG,0.02
IGHV3-21*01,TRAJ13*01,IG,TCR,0.02
CYP2C8*5,IGHV3-11*05,CYP,IG,0.02
TRBV2*01,TRAV21*02,TCR,TCR,0.02
HLA-DQA1*04,IGHD3-3*02,HLA,IG,0.02
IGLV2-34*02,TRAV35*02,IG,TCR,0.02
HLA-DPB1*14,TRBV30*01,HLA,TCR,0.02
CYP4F2*6,TRGJ1*02,CYP,TCR,0.02
HLA-C*06,NAT2*6,HLA,CYP,0.02
IGHV3-54*02,TRAV8-6*01,IG,TCR,0.02
CYP2A13*1,TRBV21-1*02,CYP,TCR,0.02
KIR3DL3*027,IGHV7-81*01,KIR,IG,0.02
IGHV3-64D*09,IGHV4-28*05,IG,IG,0.02
CYP4F2*4,IGHV6-1*01,CYP,IG,0.02
KIR2DP1*001,IGHV4-28*02,KIR,IG,0.02
KIR2DS4*004,IGHV3-33*06,KIR,IG,0.02
HLA-T*01,IGLV1-44*01,HLA,IG,0.02
IGLV5-45*02,IGKV6-21*02,IG,IG,0.02
KIR3DL3*027,CYP2C19*2,KIR,CYP,0.02
CYP2C19*17,IGHV3-20*01,CYP,IG,0.02
HLA-B*40,IGHJ2*01,HLA,IG,0.02
IGLV5-45*02,TRAV13-1*02,IG,TCR,0.02
KIR3DP1*003,CYP2D6*141,KIR,CYP,0.02
HLA-DPB1*14,IGHV2-26*01,HLA,IG,0.02
IGHD4-11*01,IGHV4-55*01,IG,IG,0.02
IGHV4-39*07,TRAV1-2*01,IG,TCR,0.02
KIR3DP1*009,IGHD2-2*03,KIR,IG,0.02
KIR2DP1*001,TRAV8-4*01,KIR,TCR,0.02
IGHV3-64D*09,IGHV2-26*04,IG,IG,0.02
HLA-B*07,KIR2DP1*003,HLA,KIR,0.02
CYP2C19*38,TRAJ47*01,CYP,TCR,0.02
IGKV1-12*02,IGLV3-10*03,IG,IG,0.02
HLA-DRB1*12,TRBV7-2*02,HLA,TCR,0.02
IGKV1D-12*01,TRBV21-1*02,IG,TCR,0.02
IGLV5-45*02,IGHD3-3*02,IG,IG,0.02
CYP2A13*1,TRBV14*01,CYP,TCR,0.02
IGKV5-2*01,TRBV21-1*01,IG,TCR,0.02
SLCO1B1*19,IGHV2-70*20,CYP,IG,0.02
HLA-DPB2*03,IGKV3-7*04,HLA,IG,0.02
IGLV1-36*01,TRGV2*03,IG,TCR,0.02
KIR3DL1*062,TRAV8-6*01,KIR,TCR,0.02
CYP4F2*6,TRGJ1*01,CYP,TCR,0.02
CYP4F2*1,IGHD6-6*01,CYP,IG,0.02
SLCO1B1*14,TRAV27*03,CYP,TCR,0.02
CYP2C19*38,TRBV10-2*02,CYP,TCR,0.02
HLA-C*06,IGHV3-15*09,HLA,IG,0.02
IGHV3-16*03,IGHD2-21*02,IG,IG,0.02
KIR2DL3*002,IGHD3-10*01,KIR,IG,0.02
CYP4F2*6,IGLV5-48*02,CYP,IG,0.02
CYP2C19*17,TRBV10-3*01,CYP,TCR,0.02
HLA-DRB1*14,IGLV5-48*01,HLA,IG,0.02
HLA-DRB5*01,IGKV3D-15*02,HLA,IG,0.02
KIR3DL3*002,IGHV3-49*03,KIR,IG,0.02
CYP2C19*17,TRGV9*01,CYP,TCR,0.02
IGLV5-45*03,IGHV1-69*14,IG,IG,0.02
NAT2*7,IGHV1-3*03,CYP,IG,0.02
KIR3DP1*003,CYP4F2*5,KIR,CYP,0.02
KIR2DS4*004,IGHD1-1*01,KIR,IG,0.02
HLA-A*02,KIR3DL3*027,HLA,KIR,0.02
MICB*052,TRBJ2-7*01,HLA,TCR,0.02
HLA-B*13,TRBJ1-5*01,HLA,TCR,0.02
IGKV1-12*02,IGHV3-69-1*02,IG,IG,0.02
HLA-C*02,TRBV7-3*02,HLA,TCR,0.02
HLA-P*02,IGHD5-24*01,HLA,IG,0.02
IGKV1D-16*01,TRAV9-2*03,IG,TCR,0.02
IGLV5-45*02,IGHV4-4*12,IG,IG,0.02
HLA-B*57,KIR2DP1*009,HLA,KIR,0.02
TAP2*02,HLA-DRB1*11,HLA,HLA,0.02
KIR3DL1*059,IGHV1-69*06,KIR,IG,0.02
IGLV10-54*02,TRAV8-2*01,IG,TCR,0.02
HLA-DRB5*01,IGHV4-61*12,HLA,IG,0.02
NAT2*5,IGKV2-29*01,CYP,IG,0.02
HLA-N*01,IGHV7-34-1*04,HLA,IG,0.02
IGHV3-66*02,TRGV5*01,IG,TCR,0.02
IGLV1-41*02,IGHV6-1*03,IG,IG,0.02
KIR3DL2*002,IGLJ7*01,KIR,IG,0.02
KIR3DL2*002,IGHD3-16*02,KIR,IG,0.02
IGHV3-74*02,TRAV26-1*02,IG,TCR,0.02
NUDT15*1,IGKV1D-16*01,CYP,IG,0.02
SLCO1B1*19,TRBV20-1*05,CYP,TCR,0.02
KIR2DL4*049,CYP2C8*5,KIR,CYP,0.02
NAT2*5,IGHV3-21*01,CYP,IG,0.02
KIR3DL1*001,IGHV1-3*02,KIR,IG,0.02
IGKV1D-16*01,TRAV8-4*01,IG,TCR,0.02
KIR2DL4*049,IGKV2-28*01,KIR,IG,0.02
IGHJ5*02,IGLV11-55*02,IG,IG,0.02
MICA*008,IGLV11-55*01,HLA,IG,0.02
KIR2DS4*006,IGHV2-26*02,KIR,IG,0.02
IGHV3-21*01,TRAJ16*01,IG,TCR,0.02
HLA-A*03,TRBJ2-7*01,HLA,TCR,0.02
IGHV2-70*15,IGKV1-8*02,IG,IG,0.02
IGLV3-27*01,IGLV3-10*01,IG,IG,0.02
IGKJ4*02,IGHV3-48*01,IG,IG,0.02
CYP2C19*17,IGHV4-39*07,CYP,IG,0.02
TAP2*02,IGLV2-33*01,HLA,IG,0.02
HLA-P*02,SLCO1B1*45,HLA,CYP,0.02
KIR2DP1*025,IGHD1-1*01,KIR,IG,0.02
IGLV2-23*03,TRAV9-2*02,IG,TCR,0.02
HLA-P*01,TRAV38-1*03,HLA,TCR,0.02
HLA-H*02,IGLV7-46*01,HLA,IG,0.02
CYP2C9*82,IGLV3-9*01,CYP,IG,0.02
IGLV10-54*02,IGKV1-8*02,IG,IG,0.02
KIR3DL1*001,IGHV5-10-1*01,KIR,IG,0.02
HLA-DPB1*14,IGKV2-18*01,HLA,IG,0.02
HLA-W*02,TRGV5*01,HLA,TCR,0.02
CYP2A6*46,NAT2*1,CYP,CYP,0.02
IGHJ3*02,TRBV6-6*01,IG,TCR,0.02
IGHV3-7*01,IGHV3-54*02,IG,IG,0.02
SLCO1B1*14,IGHV2-70*20,CYP,IG,0.02
IGHV3-74*02,TRBD1*01,IG,TCR,0.02
IGHV7-34-1*02,TRBJ2-7*01,IG,TCR,0.02
KIR2DL3*001,IGLV3-22*01,KIR,IG,0.02
HLA-DRB1*13,IGKV5-2*02,HLA,IG,0.02
KIR3DL1*015,TRAV10*02,KIR,TCR,0.02
CYP2A13*2,IGHD1-14*01,CYP,IG,0.02
HLA-B*13,TRBJ1-3*01,HLA,TCR,0.02
HLA-A*29,IGHD2-8*01,HLA,IG,0.02
