vdj,gene,ALD,type
CYP2D6,TRGV2,0.0564381108314733,"(CYP,TCR)"
CYP2D6,TRGV3,0.0550205971326707,"(CYP,TCR)"
CYP2D6,TRGV9,0.0399861264309879,"(CYP,TCR)"
HLA-A,CYP2D6,0.272680199348382,"(CYP,HLA)"
HLA-A,HLA-B,0.431325459378672,HLA
HLA-A,HLA-C,0.379830472972462,HLA
HLA-A,HLA-DMA,0.11724408173176,HLA
HLA-A,HLA-DMB,0.132981388273842,HLA
HLA-A,HLA-DOA,0.234504183720466,HLA
HLA-A,HLA-DOB,0.114830274032551,HLA
HLA-A,HLA-DPA1,0.205261889161266,HLA
HLA-A,HLA-DPA2,0.0976836702480336,HLA
HLA-A,HLA-DPB1,0.3947113104542,HLA
HLA-A,HLA-DPB2,0.113722782773777,HLA
HLA-A,HLA-DQA1,0.243318107070627,HLA
HLA-A,HLA-DQA2,0.145806240880117,HLA
HLA-A,HLA-DQB1,0.356176634728196,HLA
HLA-A,HLA-DQB2,0.151458420374567,HLA
HLA-A,HLA-DRA,0.22960949338178,HLA
HLA-A,HLA-DRB1,0.384192320233963,HLA
HLA-A,HLA-DRB3,0.177310713166827,HLA
HLA-A,HLA-DRB4,0.151877720859752,HLA
HLA-A,HLA-DRB5,0.105570991246137,HLA
HLA-A,HLA-E,0.159339784162939,HLA
HLA-A,HLA-F,0.440880819014244,HLA
HLA-A,HLA-G,0.533845306426261,HLA
HLA-A,HLA-H,0.528413281730724,HLA
HLA-A,HLA-J,0.441020045769501,HLA
HLA-A,HLA-K,0.352997771464214,HLA
HLA-A,HLA-L,0.164735045807295,HLA
HLA-A,HLA-P,0.258991262484564,HLA
HLA-A,HLA-U,0.237443322213429,HLA
HLA-A,HLA-W,0.40737423362536,HLA
HLA-A,IGHV1-45,0.0506029171519702,"(HLA,IG)"
HLA-A,IGHV1-46,0.0482290221788088,"(HLA,IG)"
HLA-A,IGHV1-58,0.064135829603091,"(HLA,IG)"
HLA-A,IGHV1-68,0.0675144410132838,"(HLA,IG)"
HLA-A,IGHV2-70,0.131453509013563,"(HLA,IG)"
HLA-A,IGHV3-23,0.0755886201010012,"(HLA,IG)"
HLA-A,IGHV3-30-2,0.0645050922085475,"(HLA,IG)"
HLA-A,IGHV3-30,0.107036709413134,"(HLA,IG)"
HLA-A,IGHV3-35,0.0442495060450441,"(HLA,IG)"
HLA-A,IGHV3-47,0.0483972759844666,"(HLA,IG)"
HLA-A,IGHV3-48,0.0895047792485336,"(HLA,IG)"
HLA-A,IGHV3-49,0.0748949801382262,"(HLA,IG)"
HLA-A,IGHV3-52,0.0449398344666108,"(HLA,IG)"
HLA-A,IGHV3-53,0.0935306864890444,"(HLA,IG)"
HLA-A,IGHV3-62,0.0745718483238963,"(HLA,IG)"
HLA-A,IGHV3-63,0.0323931473937539,"(HLA,IG)"
HLA-A,IGHV3-64,0.0824400367214763,"(HLA,IG)"
HLA-A,IGHV3-66,0.0721539365628785,"(HLA,IG)"
HLA-A,IGHV3-71,0.0904406410381018,"(HLA,IG)"
HLA-A,IGHV3-73,0.0553588145213871,"(HLA,IG)"
HLA-A,IGHV3-74,0.0404010059650354,"(HLA,IG)"
HLA-A,IGHV4-34,0.0611619562323924,"(HLA,IG)"
HLA-A,IGHV4-55,0.0484112994583661,"(HLA,IG)"
HLA-A,IGHV4-59,0.0794549775936085,"(HLA,IG)"
