Pop,Gene,hete,hhomo,hete_freq
other,IGLV2-14,229,212,0.5192743764172335
AFR,IGLV2-14,89,62,0.5894039735099338
other,IGHV2-26,35,347,0.09162303664921466
AFR,IGHV2-26,36,81,0.3076923076923077
other,TRBV12-3,0,584,0.0
AFR,TRBV12-3,0,205,0.0
other,IGLV2-5,93,297,0.23846153846153847
AFR,IGLV2-5,51,88,0.3669064748201439
other,TRAJ39,0,599,0.0
AFR,TRAJ39,0,217,0.0
other,IGKV2-30,101,352,0.2229580573951435
AFR,IGKV2-30,69,101,0.40588235294117647
other,TRAJ41,0,582,0.0
AFR,TRAJ41,0,182,0.0
other,TRAV26-2,1,624,0.0016
AFR,TRAV26-2,0,221,0.0
other,TRAV3,0,620,0.0
AFR,TRAV3,0,215,0.0
other,IGHD2-21,0,4,0.0
AFR,IGHD2-21,0,4,0.0
other,TRBJ1-6,201,353,0.3628158844765343
AFR,TRBJ1-6,50,153,0.24630541871921183
other,TRAJ29,0,609,0.0
AFR,TRAJ29,0,218,0.0
other,TRGJP,0,589,0.0
AFR,TRGJP,0,158,0.0
other,TRAJ16,171,437,0.28125
AFR,TRAJ16,54,161,0.25116279069767444
other,IGHJ4,0,26,0.0
AFR,IGHJ4,0,13,0.0
other,TRAJ3,0,593,0.0
AFR,TRAJ3,0,165,0.0
other,TRAJ11,0,599,0.0
AFR,TRAJ11,0,213,0.0
other,IGHV4-28,138,229,0.3760217983651226
AFR,IGHV4-28,43,66,0.3944954128440367
other,TRBJ2-3,0,563,0.0
AFR,TRBJ2-3,0,203,0.0
other,TRAV30,204,395,0.34056761268781305
AFR,TRAV30,41,179,0.18636363636363637
other,TRBV12-5,0,583,0.0
AFR,TRBV12-5,0,213,0.0
other,IGHV3-49,298,243,0.5508317929759704
AFR,IGHV3-49,60,110,0.35294117647058826
other,IGHD2-2,7,38,0.15555555555555556
AFR,IGHD2-2,0,21,0.0
other,IGLV2-34,149,360,0.29273084479371314
AFR,IGLV2-34,56,132,0.2978723404255319
other,IGKV1-16,0,246,0.0
AFR,IGKV1-16,0,94,0.0
other,IGHD3-22,0,3,0.0
AFR,IGHD3-22,0,5,0.0
other,IGHV3-33,140,188,0.4268292682926829
AFR,IGHV3-33,25,31,0.44642857142857145
other,IGKV1-12,0,487,0.0
AFR,IGKV1-12,0,125,0.0
other,TRBV11-1,0,536,0.0
AFR,TRBV11-1,0,144,0.0
other,IGKV1D-13,53,215,0.19776119402985073
AFR,IGKV1D-13,32,92,0.25806451612903225
other,TRBV11-3,112,459,0.19614711033274956
AFR,TRBV11-3,34,179,0.1596244131455399
other,IGHD5-5,0,22,0.0
AFR,IGHD5-5,0,11,0.0
other,IGKV1-8,40,99,0.28776978417266186
AFR,IGKV1-8,20,41,0.32786885245901637
other,IGLV3-13,133,289,0.31516587677725116
AFR,IGLV3-13,53,91,0.3680555555555556
other,IGLV4-3,0,396,0.0
AFR,IGLV4-3,0,140,0.0
other,IGKV6-21,75,277,0.21306818181818182
AFR,IGKV6-21,29,91,0.24166666666666667
other,TRAJ46,0,578,0.0
AFR,TRAJ46,0,204,0.0
other,TRAJ45,0,579,0.0
