Sample,Super_Pop,Phenotype,Activity_score
HG02178,EAS,normal_metabolizer,1.25
HG02180,EAS,normal_metabolizer,1.25
HG02182,EAS,normal_metabolizer,1.25
HG02184,EAS,intermediate_metabolizer,0.5
HG02223,EUR,intermediate_metabolizer,0.25
HG02224,EUR,ultrarapid_metabolizer,3.0
HG02231,EUR,intermediate_metabolizer,1.0
HG02238,EUR,intermediate_metabolizer,1.0
HG02239,EUR,normal_metabolizer,1.5
HG02253,AMR,intermediate_metabolizer,0.5
HG02271,AMR,normal_metabolizer,2.0
HG02274,AMR,intermediate_metabolizer,1.0
HG02275,AMR,normal_metabolizer,2.0
HG02277,AMR,intermediate_metabolizer,1.0
HG02283,AFR,normal_metabolizer,1.5
HG02284,AFR,intermediate_metabolizer,1.0
HG02285,AMR,normal_metabolizer,2.0
HG02291,AMR,normal_metabolizer,2.0
HG02292,AMR,normal_metabolizer,2.0
HG02307,AFR,ultrarapid_metabolizer,2.5
HG02308,AFR,intermediate_metabolizer,1.0
HG02309,AFR,normal_metabolizer,2.0
HG02314,AFR,normal_metabolizer,2.0
HG02318,AFR,normal_metabolizer,2.0
HG02325,AFR,intermediate_metabolizer,1.0
HG02332,AFR,normal_metabolizer,2.0
HG02364,EAS,intermediate_metabolizer,0.5
HG02367,EAS,normal_metabolizer,1.5
HG02372,EAS,intermediate_metabolizer,0.5
HG02382,EAS,intermediate_metabolizer,0.5
HG02384,EAS,normal_metabolizer,2.0
HG02390,EAS,intermediate_metabolizer,0.5
HG02402,EAS,intermediate_metabolizer,0.5
HG02410,EAS,intermediate_metabolizer,0.5
HG02420,AFR,intermediate_metabolizer,1.0
HG02442,AFR,intermediate_metabolizer,1.0
HG02445,AFR,intermediate_metabolizer,0.75
HG02455,AFR,intermediate_metabolizer,0.25
HG02477,AFR,intermediate_metabolizer,1.0
HG02478,AFR,normal_metabolizer,1.5
HG02485,AFR,intermediate_metabolizer,1.0
HG02490,SAS,normal_metabolizer,2.0
HG02494,SAS,normal_metabolizer,2.0
HG02496,AFR,normal_metabolizer,1.25
HG02521,EAS,intermediate_metabolizer,1.0
HG02522,EAS,intermediate_metabolizer,1.0
HG02545,AFR,intermediate_metabolizer,1.0
HG02546,AFR,intermediate_metabolizer,0.75
HG02554,AFR,intermediate_metabolizer,0.5
HG02558,AFR,normal_metabolizer,1.5
HG02561,AFR,normal_metabolizer,2.0
HG02568,AFR,normal_metabolizer,2.0
HG02573,AFR,intermediate_metabolizer,1.0
HG02577,AFR,intermediate_metabolizer,0.25
HG02580,AFR,intermediate_metabolizer,1.0
HG02595,AFR,normal_metabolizer,2.0
HG02597,SAS,intermediate_metabolizer,0.5
HG02604,SAS,normal_metabolizer,2.0
HG02611,AFR,intermediate_metabolizer,0.75
HG02634,AFR,intermediate_metabolizer,1.0
HG02635,AFR,intermediate_metabolizer,0.75
HG02643,AFR,intermediate_metabolizer,0.75
HG02679,AFR,intermediate_metabolizer,0.5
HG02681,SAS,normal_metabolizer,1.25
HG02684,SAS,normal_metabolizer,1.25
HG02685,SAS,normal_metabolizer,2.0
HG02687,SAS,normal_metabolizer,2.0
HG02688,SAS,normal_metabolizer,2.0
HG02690,SAS,normal_metabolizer,2.0
HG02691,SAS,normal_metabolizer,2.0
HG02697,SAS,normal_metabolizer,2.0
HG02703,AFR,normal_metabolizer,2.0
HG02715,AFR,normal_metabolizer,2.0
HG02737,SAS,intermediate_metabolizer,0.25
HG02768,AFR,normal_metabolizer,1.5
HG02771,AFR,normal_metabolizer,2.0
HG02781,SAS,normal_metabolizer,1.25
HG02805,AFR,intermediate_metabolizer,0.5
HG02836,AFR,normal_metabolizer,1.5
HG02922,AFR,intermediate_metabolizer,1.0
HG02943,AFR,normal_metabolizer,1.5
HG02953,AFR,intermediate_metabolizer,1.0
HG02971,AFR,normal_metabolizer,2.0
HG02976,AFR,normal_metabolizer,1.5
HG02982,AFR,intermediate_metabolizer,0.75
HG02983,AFR,normal_metabolizer,2.0
HG03009,SAS,normal_metabolizer,2.0
HG03015,SAS,normal_metabolizer,2.0
HG03019,SAS,normal_metabolizer,2.0
HG03024,AFR,normal_metabolizer,2.0
HG03028,AFR,normal_metabolizer,1.25
HG03048,AFR,normal_metabolizer,1.5
HG03052,AFR,normal_metabolizer,1.5
HG03057,AFR,normal_metabolizer,1.5
HG03058,AFR,intermediate_metabolizer,0.25
HG03060,AFR,normal_metabolizer,1.25
HG03066,AFR,intermediate_metabolizer,1.0
HG03076,AFR,normal_metabolizer,1.25
HG03077,AFR,normal_metabolizer,1.25
HG03081,AFR,intermediate_metabolizer,1.0
HG03085,AFR,normal_metabolizer,2.0
HG03086,AFR,normal_metabolizer,1.5
HG03097,AFR,normal_metabolizer,1.5
HG03100,AFR,normal_metabolizer,1.5
HG03103,AFR,normal_metabolizer,2.0
HG03105,AFR,intermediate_metabolizer,1.0
HG03108,AFR,intermediate_metabolizer,0.25
HG03109,AFR,normal_metabolizer,2.0
HG03111,AFR,intermediate_metabolizer,1.0
HG03114,AFR,ultrarapid_metabolizer,3.0
HG03115,AFR,normal_metabolizer,1.5
HG03117,AFR,normal_metabolizer,2.0
HG03127,AFR,normal_metabolizer,2.0
HG03130,AFR,intermediate_metabolizer,1.0
HG03132,AFR,normal_metabolizer,1.5
HG03133,AFR,ultrarapid_metabolizer,2.5
HG03159,AFR,normal_metabolizer,1.5
HG03163,AFR,ultrarapid_metabolizer,3.0
HG03171,AFR,intermediate_metabolizer,1.0
HG03172,AFR,intermediate_metabolizer,1.0
HG03393,AFR,intermediate_metabolizer,0.75
HG03462,AFR,intermediate_metabolizer,1.0
HG03493,AFR,normal_metabolizer,1.5
HG03511,AFR,normal_metabolizer,2.0
HG03741,SAS,poor_metabolizer,0.0
HG03793,SAS,intermediate_metabolizer,0.5
HG03800,SAS,normal_metabolizer,2.0
HG03837,SAS,intermediate_metabolizer,0.5
HG03838,SAS,normal_metabolizer,2.0
HG03842,SAS,poor_metabolizer,0.0
HG03856,SAS,intermediate_metabolizer,0.5
HG03863,SAS,intermediate_metabolizer,0.25
HG03869,SAS,normal_metabolizer,2.0
HG03870,SAS,intermediate_metabolizer,0.5
HG03872,SAS,normal_metabolizer,2.0
HG03882,SAS,intermediate_metabolizer,1.0
HG03888,SAS,normal_metabolizer,2.0
HG03890,SAS,intermediate_metabolizer,1.0
HG03900,SAS,normal_metabolizer,2.0
HG03925,SAS,normal_metabolizer,2.0
HG03928,SAS,normal_metabolizer,1.25
HG03931,SAS,normal_metabolizer,2.0
HG03940,SAS,normal_metabolizer,2.0
HG03963,SAS,normal_metabolizer,2.0
HG03965,SAS,intermediate_metabolizer,0.25
HG03968,SAS,normal_metabolizer,1.25
HG03972,SAS,intermediate_metabolizer,1.0
HG03976,SAS,intermediate_metabolizer,1.0
HG03977,SAS,intermediate_metabolizer,0.25
HG04015,SAS,normal_metabolizer,2.0
HG04017,SAS,normal_metabolizer,2.0
HG04020,SAS,intermediate_metabolizer,1.0
HG04022,SAS,normal_metabolizer,2.0
HG04024,SAS,intermediate_metabolizer,1.0
HG04039,SAS,poor_metabolizer,0.0
HG04062,SAS,intermediate_metabolizer,1.0
HG04099,SAS,normal_metabolizer,1.25
HG04131,SAS,normal_metabolizer,2.0
HG04132,SAS,normal_metabolizer,2.0
HG04147,SAS,normal_metabolizer,2.0
HG04149,SAS,normal_metabolizer,2.0
HG04177,SAS,normal_metabolizer,2.0
HG04180,SAS,normal_metabolizer,2.0
HG04183,SAS,intermediate_metabolizer,0.25
HG04186,SAS,intermediate_metabolizer,1.0
HG04191,SAS,normal_metabolizer,1.25
HG04192,SAS,intermediate_metabolizer,0.25
HG04194,SAS,intermediate_metabolizer,1.0
HG04210,SAS,normal_metabolizer,1.25
HG04227,SAS,normal_metabolizer,2.0
NA06989,EUR,intermediate_metabolizer,0.5
NA07019,EUR,intermediate_metabolizer,1.0
NA07048,EUR,intermediate_metabolizer,1.0
NA07348,EUR,intermediate_metabolizer,1.0
NA10835,EUR,normal_metabolizer,2.0
NA10839,EUR,normal_metabolizer,1.25
NA10843,EUR,normal_metabolizer,1.25
NA10850,EUR,intermediate_metabolizer,0.5
NA10851,EUR,intermediate_metabolizer,1.0
NA10856,EUR,intermediate_metabolizer,1.0
NA10857,EUR,normal_metabolizer,2.0
NA10859,EUR,normal_metabolizer,2.0
NA10861,EUR,intermediate_metabolizer,1.0
NA12376,EUR,intermediate_metabolizer,0.5
NA12386,EUR,normal_metabolizer,2.0
NA12766,EUR,normal_metabolizer,2.0
NA12801,EUR,poor_metabolizer,0.0
NA12802,EUR,normal_metabolizer,1.25
NA12877,EUR,intermediate_metabolizer,1.0
NA12878,EUR,poor_metabolizer,0.0
NA12889,EUR,intermediate_metabolizer,1.0
NA12890,EUR,poor_metabolizer,0.0
NA12891,EUR,intermediate_metabolizer,0.25
NA12892,EUR,intermediate_metabolizer,1.0
NA18498,AFR,normal_metabolizer,1.25
NA18499,AFR,normal_metabolizer,1.5
NA18502,AFR,intermediate_metabolizer,1.0
NA18510,AFR,normal_metabolizer,1.5
NA18520,AFR,normal_metabolizer,1.5
NA18523,AFR,intermediate_metabolizer,1.0
NA18525,EAS,intermediate_metabolizer,0.25
NA18526,EAS,normal_metabolizer,1.25
NA18528,EAS,poor_metabolizer,0.0
NA18530,EAS,normal_metabolizer,2.0
NA18532,EAS,normal_metabolizer,1.25
NA18537,EAS,normal_metabolizer,1.25
NA18539,EAS,normal_metabolizer,1.25
NA18544,EAS,intermediate_metabolizer,0.5
NA18546,EAS,normal_metabolizer,1.25
NA18552,EAS,normal_metabolizer,1.5
NA18553,EAS,normal_metabolizer,1.25
NA18555,EAS,intermediate_metabolizer,0.25
NA18565,EAS,poor_metabolizer,0.0
NA18566,EAS,normal_metabolizer,1.25
NA18567,EAS,normal_metabolizer,2.0
NA18570,EAS,normal_metabolizer,2.0
NA18571,EAS,intermediate_metabolizer,0.5
NA18577,EAS,normal_metabolizer,2.0
NA18579,EAS,intermediate_metabolizer,0.25
NA18591,EAS,intermediate_metabolizer,0.5
NA18592,EAS,normal_metabolizer,2.0
NA18595,EAS,normal_metabolizer,1.25
NA18599,EAS,intermediate_metabolizer,1.0
NA18603,EAS,intermediate_metabolizer,0.5
NA18605,EAS,intermediate_metabolizer,0.5
NA18612,EAS,intermediate_metabolizer,0.5
NA18616,EAS,normal_metabolizer,1.25
NA18621,EAS,normal_metabolizer,1.25
NA18625,EAS,intermediate_metabolizer,0.5
NA18632,EAS,intermediate_metabolizer,0.5
NA18639,EAS,intermediate_metabolizer,0.5
NA18642,EAS,normal_metabolizer,1.25
NA18853,AFR,intermediate_metabolizer,1.0
NA18859,AFR,normal_metabolizer,2.0
NA18867,AFR,intermediate_metabolizer,0.25
