Pop,Allele,Count,Total,Frequency
PUR,*27,1,76,0.013157894736842105
PUR,*75,0,76,0.0
PUR,*11,0,76,0.0
PUR,*60,0,76,0.0
PUR,*119,0,76,0.0
PUR,*92,0,76,0.0
PUR,*35,3,76,0.039473684210526314
PUR,*121,0,76,0.0
PUR,*28,0,76,0.0
PUR,*7,0,76,0.0
PUR,*64,0,76,0.0
PUR,*68+*4,1,76,0.013157894736842105
PUR,*165,0,76,0.0
PUR,*1x2,0,76,0.0
PUR,*17x2,0,76,0.0
PUR,*41,9,76,0.11842105263157894
PUR,*125,0,76,0.0
PUR,*150,0,76,0.0
PUR,*2,12,76,0.15789473684210525
PUR,*144,0,76,0.0
PUR,*145,0,76,0.0
PUR,*127,0,76,0.0
PUR,*90,0,76,0.0
PUR,*29,0,76,0.0
PUR,*82,0,76,0.0
PUR,*21,1,76,0.013157894736842105
PUR,*115,0,76,0.0
PUR,*129,0,76,0.0
PUR,*31,3,76,0.039473684210526314
PUR,*166,0,76,0.0
PUR,*49,0,76,0.0
PUR,*22,0,76,0.0
PUR,*117,0,76,0.0
PUR,*4x2,0,76,0.0
PUR,*10+*10,0,76,0.0
PUR,*4.013+*4,0,76,0.0
PUR,*56,0,76,0.0
PUR,*136,0,76,0.0
PUR,*68+*2,0,76,0.0
PUR,*171x2,0,76,0.0
PUR,*141,0,76,0.0
PUR,*43x3,0,76,0.0
PUR,*112,0,76,0.0
PUR,*120,0,76,0.0
PUR,*71,0,76,0.0
PUR,*101,0,76,0.0
PUR,*83,0,76,0.0
PUR,*46,1,76,0.013157894736842105
PUR,*111,0,76,0.0
PUR,*39,2,76,0.02631578947368421
PUR,*74,0,76,0.0
PUR,*99,0,76,0.0
PUR,*159,0,76,0.0
PUR,*132,0,76,0.0
PUR,*146,0,76,0.0
PUR,*171x3,0,76,0.0
PUR,*19,0,76,0.0
PUR,*4,7,76,0.09210526315789473
PUR,*43,0,76,0.0
PUR,*10,2,76,0.02631578947368421
PUR,*86,0,76,0.0
PUR,*33,0,76,0.0
PUR,*170,0,76,0.0
