,Gene,Sample,Match,Total
387,DQA2,HG00731,2,2
388,DQA2,HG03732,2,2
389,DQA2,HG03065,1,2
390,DQA2,HG01114,2,2
391,DQA2,NA19240,1,2
392,DQA2,HG03683,2,2
393,DQA2,HG03371,2,2
394,N,NA19238,2,2
395,N,HG02011,2,2
396,N,HG01596,2,2
397,N,HG00171,2,2
398,N,HG02587,1,2
399,N,HG00733,2,2
400,N,HG00732,2,2
401,N,HG02492,2,2
402,N,NA19239,0,2
403,N,HG00514,2,2
404,N,NA19983,2,2
405,N,HG03009,2,2
406,N,HG00731,2,2
407,N,HG03732,2,2
408,N,HG03065,2,2
409,N,HG01114,0,2
410,N,NA19240,2,2
411,N,HG03683,2,2
412,N,HG03371,2,2
413,S,NA19238,0,2
414,S,HG02011,1,2
415,S,HG01596,2,2
416,S,HG00171,1,2
417,S,HG02587,2,2
418,S,HG00733,2,2
419,S,HG00732,2,2
420,S,HG02492,2,2
421,S,NA19239,2,2
422,S,HG00514,2,2
423,S,NA19983,2,2
424,S,HG03009,2,2
425,S,HG00731,2,2
426,S,HG03732,1,2
427,S,HG03065,1,2
428,S,HG01114,2,2
429,S,NA19240,2,2
430,S,HG03683,2,2
431,S,HG03371,2,2
432,T,NA19238,2,2
433,T,HG02011,2,2
434,T,HG01596,2,2
435,T,HG00171,2,2
436,T,HG02587,2,2
437,T,HG00733,2,2
438,T,HG00732,2,2
439,T,HG02492,2,2
440,T,NA19239,2,2
441,T,HG00514,2,2
442,T,NA19983,2,2
443,T,HG03732,2,2
444,T,HG03065,2,2
445,T,HG01114,2,2
446,T,NA19240,2,2
447,T,HG03683,2,2
448,T,HG03371,2,2
449,MICA,NA19238,1,2
450,MICA,HG02011,2,2
451,MICA,HG01596,1,2
452,MICA,HG00171,1,2
453,MICA,HG02587,2,2
454,MICA,HG00733,1,2
455,MICA,HG00732,1,2
456,MICA,HG02492,2,2
457,MICA,NA19239,2,2
458,MICA,HG00514,1,2
459,MICA,NA19983,1,2
460,MICA,HG03009,0,2
461,MICA,HG00731,1,2
462,MICA,HG03732,2,2
463,MICA,HG03065,2,2
464,MICA,HG01114,0,2
465,MICA,NA19240,2,2
466,MICA,HG03683,0,2
467,MICA,HG03371,0,2
468,MICB,NA19238,2,2
469,MICB,HG02011,2,2
470,MICB,HG01596,1,2
471,MICB,HG00171,2,2
472,MICB,HG02587,1,2
473,MICB,HG00733,2,2
474,MICB,HG00732,1,2
475,MICB,HG02492,2,2
476,MICB,NA19239,2,2
477,MICB,HG00514,2,2
478,MICB,NA19983,2,2
479,MICB,HG03009,2,2
480,MICB,HG00731,1,2
481,MICB,HG03732,1,2
482,MICB,HG03065,1,2
483,MICB,HG01114,1,2
484,MICB,NA19240,2,2
485,MICB,HG03683,2,2
486,TAP1,NA19238,2,2
487,TAP1,HG01596,2,2
488,TAP1,HG00171,2,2
489,TAP1,HG02587,2,2
490,TAP1,HG00733,2,2
491,TAP1,HG00732,2,2
492,TAP1,NA19239,2,2
493,TAP1,HG00514,2,2
494,TAP1,NA19983,2,2
495,TAP1,HG03009,2,2
496,TAP1,HG00731,2,2
497,TAP1,HG03065,2,2
498,TAP1,HG01114,2,2
499,TAP1,NA19240,2,2
500,TAP1,HG03683,2,2
501,TAP1,HG03371,2,2
502,TAP2,NA19238,2,2
503,TAP2,HG02011,2,2
504,TAP2,HG01596,2,2
505,TAP2,HG00171,2,2
