Group1,Group2,JSD
CHS,KHV,0.3361928713452251
CHS,ACB,0.5238064114425095
CHS,GWD,0.5591205515877498
CHS,ESN,0.5304190977697546
CHS,BEB,0.43698903655025667
CHS,MSL,0.5405335923794434
CHS,STU,0.4260986797750401
CHS,ITU,0.4543741959362347
CHS,CEU,0.47708659442923534
CHS,YRI,0.5430076672548524
CHS,CHB,0.3262362989270971
CHS,JPT,0.357335893894473
CHS,LWK,0.5254344096742771
CHS,MXL,0.45483486263237366
CHS,ASW,0.506979983025711
CHS,TSI,0.46155408042288004
CHS,GIH,0.4439910747019888
PUR,GBR,0.31924260674313787
PUR,FIN,0.34364999297196286
PUR,CHS,0.4635256312009019
PUR,PUR,0.0
PUR,CDX,0.4942880574375415
PUR,CLM,0.30503391304480004
PUR,IBS,0.2985611890221042
PUR,PEL,0.37356267635826285
PUR,PJL,0.4089260694471453
PUR,KHV,0.4361895758854674
PUR,ACB,0.3669054597165228
PUR,GWD,0.4353239132368703
PUR,ESN,0.4096067074200866
PUR,BEB,0.40564206715611895
PUR,MSL,0.4138285445918046
PUR,STU,0.4061092164545231
PUR,ITU,0.4050114752711289
PUR,CEU,0.3391133966275914
PUR,YRI,0.42512688925700015
PUR,CHB,0.4140397461786302
PUR,JPT,0.47177282465861536
PUR,LWK,0.40954095282804237
PUR,MXL,0.3585024828793364
PUR,ASW,0.3556817065783921
PUR,TSI,0.3456005635185708
PUR,GIH,0.39501451282998273
CDX,GBR,0.4934270556600305
CDX,FIN,0.49228245947874866
CDX,CHS,0.3060624833487319
CDX,PUR,0.4942880574375415
CDX,CDX,0.0
CDX,CLM,0.49856084039295656
CDX,IBS,0.4795785790727767
CDX,PEL,0.47097833617991297
CDX,PJL,0.46456982076223113
CDX,KHV,0.344398409762534
CDX,ACB,0.5372366389244597
CDX,GWD,0.5621103503898783
CDX,ESN,0.5306312316745628
CDX,BEB,0.4406807066336442
CDX,MSL,0.5510261057504312
CDX,STU,0.45225155272692585
CDX,ITU,0.4844991153858678
CDX,CEU,0.5047221917540926
CDX,YRI,0.5493606762870263
CDX,CHB,0.36650517911268804
CDX,JPT,0.40545325509481983
CDX,LWK,0.5328557267652515
