Population,Locus,Diversity
ASW,HLA-J,2.2610352500530486
ASW,HLA-K,1.5048846536879124
ASW,HLA-L,1.1407574966543306
ASW,HLA-N,1.081681009077233
ASW,HLA-P,1.446518504259865
ASW,HLA-S,1.543361831299652
ASW,HLA-T,1.8962786933860087
ASW,HLA-U,0.8691839159242388
ASW,HLA-V,1.2549413941023948
ASW,HLA-W,1.8086579948558137
ASW,HLA-Y,-0.0
ASW,MICA,2.0484909370709317
ASW,MICB,1.5249298068584256
ASW,TAP1,1.4058023597384204
ASW,TAP2,1.9110636347335912
BEB,HFE,1.0393016323705746
BEB,HLA-A,3.3645234944754754
BEB,HLA-B,2.9937924673152763
BEB,HLA-C,2.830473307051136
BEB,HLA-DMA,1.2786878292667285
BEB,HLA-DMB,1.700662218058277
BEB,HLA-DOA,2.3062004251447896
BEB,HLA-DOB,1.6636803253667931
BEB,HLA-DPA1,2.2598612101065645
BEB,HLA-DPA2,1.4107419062098594
BEB,HLA-DPB1,3.2868961410133037
BEB,HLA-DPB2,1.7014589654706183
BEB,HLA-DQA1,2.478205114564869
BEB,HLA-DQA2,1.4324660958360393
BEB,HLA-DQB1,2.675230516860744
BEB,HLA-DQB2,1.570539935638198
BEB,HLA-DRA,2.927007229803438
BEB,HLA-DRB1,3.4663460019725187
BEB,HLA-DRB3,2.088999013854012
BEB,HLA-DRB4,2.1405723731191286
BEB,HLA-DRB5,1.3977038581631167
BEB,HLA-E,1.1956228533889468
BEB,HLA-F,2.3474180372137026
BEB,HLA-G,2.313280839876668
BEB,HLA-H,2.1512309948192083
BEB,HLA-J,1.7374974620785675
BEB,HLA-K,1.6984452906001908
BEB,HLA-L,0.8557399120561342
BEB,HLA-N,1.139601201301318
BEB,HLA-P,1.3109807917589282
BEB,HLA-S,1.6021485957443815
BEB,HLA-T,1.6689734393211317
BEB,HLA-U,1.1940682839633507
BEB,HLA-V,1.2763340929500169
BEB,HLA-W,1.8895279015492117
BEB,HLA-Y,0.5763820666248933
BEB,MICA,2.217119735055813
BEB,MICB,1.51529898527762
BEB,TAP1,1.5086747433387266
BEB,TAP2,1.8440668801299611
CDX,HFE,1.016159116349578
CDX,HLA-A,2.2459977291472955
CDX,HLA-B,2.6211665267623254
CDX,HLA-C,2.3952003070888908
CDX,HLA-DMA,1.3911429816875747
CDX,HLA-DMB,1.670725938880127
CDX,HLA-DOA,1.2885185322890813
CDX,HLA-DOB,1.55444748949796
CDX,HLA-DPA1,1.3449012797178863
CDX,HLA-DPA2,1.216683893362397
CDX,HLA-DPB1,3.1168125936613156
CDX,HLA-DPB2,1.3821719838070898
CDX,HLA-DQA1,2.392440797683077
CDX,HLA-DQA2,1.02532703917626
CDX,HLA-DQB1,2.2969024567165883
CDX,HLA-DQB2,1.3245745385037706
CDX,HLA-DRA,2.066610303040122
CDX,HLA-DRB1,3.2845949517154005
CDX,HLA-DRB3,1.8871053472800858
CDX,HLA-DRB4,1.798742718977335
CDX,HLA-DRB5,1.1156090339975997
CDX,HLA-E,1.6134169084131633
CDX,HLA-F,1.475136967106804
CDX,HLA-G,1.6299944525790795
CDX,HLA-H,1.2437431222689526
CDX,HLA-J,1.232621134066828
CDX,HLA-K,1.0455005649550757
CDX,HLA-L,0.7156713793520737
CDX,HLA-N,1.1203546713600374
CDX,HLA-P,0.6720487724898956
CDX,HLA-S,1.6914801793284318
CDX,HLA-T,1.3822601078427939
CDX,HLA-U,0.8781084802330594
