Sample_Num,Allele_Num
484,1466
485,1466
486,1466
487,1467
488,1467
489,1467
490,1469
491,1470
492,1472
493,1473
494,1473
495,1474
496,1475
497,1477
498,1479
499,1479
500,1480
501,1481
502,1483
503,1483
504,1483
505,1484
506,1486
507,1488
508,1489
509,1491
510,1491
511,1494
512,1494
513,1495
514,1495
515,1496
516,1497
517,1497
518,1499
519,1500
520,1502
521,1503
522,1507
523,1510
524,1512
525,1513
526,1514
527,1514
528,1514
529,1515
530,1516
531,1518
532,1520
533,1521
534,1521
535,1523
536,1524
537,1525
538,1526
539,1527
540,1529
541,1530
542,1532
543,1533
544,1534
545,1535
546,1536
547,1537
548,1538
549,1541
550,1542
551,1543
552,1543
553,1544
554,1544
555,1545
556,1545
557,1545
558,1545
559,1546
560,1547
561,1547
562,1549
563,1553
564,1553
565,1554
566,1555
567,1555
568,1556
569,1556
570,1556
571,1557
572,1560
573,1560
574,1562
575,1564
576,1566
577,1566
578,1567
579,1567
580,1567
581,1569
582,1569
583,1572
584,1573
585,1573
586,1574
587,1575
588,1577
589,1578
590,1580
591,1582
592,1585
593,1586
594,1590
595,1592
596,1593
597,1593
598,1595
599,1596
600,1597
601,1601
602,1603
603,1604
604,1604
605,1604
606,1606
607,1606
608,1607
609,1610
610,1610
611,1610
612,1614
613,1614
614,1617
615,1618
616,1619
617,1619
618,1621
619,1621
620,1621
621,1622
622,1622
623,1622
624,1622
625,1622
626,1623
627,1624
628,1625
629,1625
630,1627
631,1628
632,1630
633,1630
634,1631
635,1632
636,1633
637,1634
638,1636
639,1640
640,1642
641,1643
642,1644
643,1644
644,1647
645,1647
646,1647
647,1649
648,1651
649,1652
650,1653
651,1653
652,1656
653,1657
654,1657
655,1657
656,1658
657,1660
658,1662
659,1665
660,1665
661,1666
662,1667
663,1667
664,1667
665,1668
666,1669
667,1670
668,1672
669,1672
670,1672
671,1676
672,1676
673,1677
674,1677
675,1677
676,1678
677,1680
678,1680
679,1682
680,1682
681,1684
682,1685
683,1685
684,1685
685,1685
686,1685
687,1685
688,1685
689,1686
690,1687
691,1687
692,1687
693,1687
694,1690
695,1690
696,1691
697,1693
698,1694
699,1695
700,1695
701,1697
702,1698
703,1699
704,1703
705,1703
706,1704
707,1705
708,1706
709,1706
710,1709
711,1711
712,1711
713,1713
714,1714
715,1716
716,1716
717,1717
718,1717
719,1718
720,1720
721,1720
722,1723
723,1726
724,1727
725,1728
726,1728
727,1728
728,1730
729,1730
730,1730
731,1733
732,1735
733,1735
734,1738
735,1739
736,1741
737,1743
738,1745
739,1746
740,1746
741,1748
742,1749
743,1750
744,1752
745,1753
746,1755
747,1755
748,1756
749,1756
750,1757
751,1757
752,1759
753,1761
754,1763
755,1764
756,1766
757,1766
758,1767
759,1771
760,1771
761,1771
762,1771
763,1773
764,1773
765,1773
766,1773
767,1773
768,1774
769,1776
770,1776
771,1776
772,1776
773,1777
774,1777
775,1777
776,1777
777,1780
778,1780
779,1780
780,1780
781,1780
782,1781
783,1782
784,1783
785,1785
786,1785
787,1786
788,1787
789,1787
790,1788
791,1789
792,1791
793,1791
794,1792
795,1793
796,1793
797,1794
798,1795
799,1796
800,1797
801,1798
802,1800
803,1800
804,1802
805,1806
806,1807
807,1808
808,1812
809,1812
810,1813
811,1814
812,1814
813,1815
814,1817
815,1817
816,1818
817,1819
818,1820
819,1821
820,1822
821,1822
822,1822
823,1823
824,1824
825,1824
826,1827
827,1830
828,1831
829,1831
830,1832
831,1834
832,1834
833,1836
834,1836
835,1837
836,1839
837,1840
838,1840
839,1842
840,1842
841,1842
842,1842
843,1842
844,1843
845,1844
846,1844
847,1844
848,1845
849,1846
850,1846
851,1846
852,1847
853,1848
854,1849
855,1849
856,1849
857,1851
858,1852
859,1853
860,1853
861,1855
862,1856
863,1856
864,1857
865,1857
866,1858
867,1858
868,1858
869,1858
870,1859
871,1859
872,1860
873,1861
874,1863
875,1865
876,1865
877,1865
878,1865
879,1866
880,1866
881,1867
882,1869
883,1872
884,1876
885,1878
886,1880
887,1880
888,1880
889,1882
890,1883
891,1883
892,1885
893,1885
894,1886
895,1890
896,1890
897,1893
898,1895
899,1895
900,1897
901,1898
902,1899
903,1900
904,1901
905,1901
906,1902
907,1906
908,1906
909,1910
910,1910
911,1910
912,1910
913,1911
914,1913
915,1914
916,1917
917,1917
918,1918
919,1919
920,1920
921,1920
922,1922
923,1924
924,1924
925,1924
926,1924
927,1924
928,1928
929,1928
930,1928
931,1929
932,1930
933,1932
934,1933
935,1933
936,1933
937,1934
938,1935
939,1935
940,1935
941,1935
942,1935
943,1936
944,1936
945,1936
946,1938
947,1940
948,1942
949,1944
950,1945
951,1947
952,1947
953,1948
954,1949
955,1950
956,1950
957,1950
958,1953
959,1954
960,1955
961,1955
962,1957
963,1958
964,1960
965,1960
966,1960
967,1960
968,1963
969,1963
970,1965
971,1967
972,1970
973,1971
974,1971
975,1973
976,1973
977,1973
978,1975
979,1975
980,1975
981,1975
982,1976
983,1977
984,1977
985,1978
986,1978
987,1979
988,1979
989,1980
990,1980
991,1981
992,1982
993,1983
994,1984
995,1985
996,1985
997,1986
998,1987
999,1988
1000,1988
1001,1989
1002,1989
1003,1989
1004,1989
1005,1989
1006,1989
1007,1989
1008,1989
1009,1989
1010,1989
1011,1990
1012,1990
1013,1990
1014,1990
1015,1990
1016,1990
1017,1991
1018,1991
1019,1991
