Sample1,Sample2,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
NA19238,HG03039,0.03415,0.010499999999999999,0.0045,0.016149999999999998,0.012450000000000001,0.0059,0.01455,0.0523,0.02735,0.00575
NA19238,HG03159,0.0184,0.0102,0.00825,0.01585,0.01135,0.00115,0.038099999999999995,0.037950000000000005,0.0145,0.0052
NA19238,NA19024,0.03285,0.0218,0.02415,0.01595,0.0036,0.005,0.032,0.04025,0.03715,0.006200000000000001
NA19238,HG02611,0.01615,0.013099999999999999,0.01315,0.0037,0.012150000000000001,0.00135,0.038000000000000006,0.0376,0.00235,0.005549999999999999
NA19238,HG02836,0.03285,0.0254,0.01595,0.0162,0.005900000000000001,0.00385,0.0712,0.07175000000000001,0.0011,0.006750000000000001
NA19238,HG01890,0.0008500000000000001,0.02725,0.030350000000000002,0.0006000000000000001,0.00265,0.00555,0.0044,0.022,0.04435,0.0049499999999999995
NA19238,NA19921,0.0228,0.0223,0.01395,0.00045000000000000004,0.00155,0.00135,0.0708,0.0691,0.0104,0.00205
NA19238,HG02003,0.03405,0.013,0.00815,0.01605,0.01415,0.00445,0.06365,0.0775,0.046200000000000005,0.00425
NA19238,HG01455,0.030600000000000002,0.01175,0.0078000000000000005,0.015850000000000003,0.01145,0.006,0.06355,0.07794999999999999,0.05105,0.00515
NA19238,NA19675,0.017050000000000003,0.0134,0.01375,0.01725,0.0115,0.0018499999999999999,0.0673,0.0726,0.00645,0.0051
NA19238,HG01085,0.0143,0.012,0.01465,0.0157,0.0113,0.0018,0.07095,0.06725,0.0158,0.0076
NA19238,HG01048,0.0344,0.0221,0.01465,0.016149999999999998,0.01195,0.00135,0.06315000000000001,0.0744,0.059399999999999994,0.00505
NA19238,HG02275,0.030449999999999998,0.0229,0.01845,0.0009,0.01615,0.002,0.03495,0.0413,0.0393,0.0038
NA19238,HG01577,0.018,0.0020499999999999997,0.0064,0.015799999999999998,0.0113,0.00585,0.03705,0.027950000000000003,0.0201,0.0042499999999999994
NA19238,HG01950,0.0321,0.02185,0.015200000000000002,0.01585,0.011399999999999999,0.0059499999999999996,0.06775,0.07425,0.0316,0.0038
NA19238,HG00739,0.01815,0.0017000000000000001,0.01375,0.01575,0.00435,0.004399999999999999,0.07114999999999999,0.0713,0.01195,0.0039
NA19238,HG01241,0.020999999999999998,0.0235,0.02185,0.016649999999999998,0.0114,0.0014999999999999998,0.00395,0.022,0.0402,0.0055
NA19238,HG00634,0.01845,0.0246,0.03065,0.015,0.014750000000000001,0.02945,0.03565,0.06695000000000001,0.016,0.00435
NA19238,NA18983,0.02145,0.01255,0.008499999999999999,0.0029999999999999996,0.0035,0.0089,0.0668,0.07415,0.020649999999999998,0.0014
NA19238,HG02390,0.01185,0.016649999999999998,0.01675,0.0169,0.01415,0.00485,0.00225,0.02615,0.0324,0.0043
