,HG02445,NA19238,HG02678,HG03039,HG03159,NA19024,HG02611,HG02836,HG01890,NA19921,HG02003,HG01455,NA19675,HG01085,HG01048,HG02275,HG01577,HG01950,HG00739,HG01241,HG00634,NA18983,HG02390,HG02382,HG02184,NA18941,HG00436,HG02156,HG02017,NA18566,HG00125,HG00368,NA20801,HG01678,HG00117,HG00271,NA20753,HG02224,HG00254,NA10850,HG02684,NA20899,HG03931,HG03598,NA21102,HG03742,NA20883,HG04149,HG03900,NA21101
HG02003,0.019000000000000003,0.03405,0.0173,0.0199,0.02885,0.01305,0.020700000000000003,0.018500000000000003,0.0343,0.02895,0.0,0.0173,0.017,0.0343,0.01295,0.01715,0.0173,0.0085,0.0343,0.02715,0.0343,0.0176,0.036500000000000005,0.0134,0.0007,0.03425,0.03415,0.0346,0.03405,0.01255,0.01715,0.00015,0.0003,0.03505,0.03475,0.01645,0.02825,0.01675,0.02915,0.01675,0.01775,0.02855,0.02955,0.0047,0.0095,0.01745,0.0176,0.0339,0.02935,0.0216
HG01455,0.0156,0.0306,0.01345,0.02855,0.02545,0.023,0.01785,0.0274,0.03085,0.0261,0.0173,0.0,0.01415,0.0184,0.02,0.0007,0.0143,0.0217,0.018000000000000002,0.02425,0.01845,0.01415,0.03265,0.021,0.0173,0.017849999999999998,0.017699999999999997,0.0309,0.0303,0.02015,0.0007,0.017150000000000002,0.0173,0.03155,0.03105,0.0139,0.0254,0.01415,0.0262,0.01385,0.01415,0.02485,0.02585,0.017849999999999998,0.01905,0.01385,0.013999999999999999,0.0176,0.01295,0.01795
NA19675,0.0077,0.017050000000000003,0.00145,0.02665,0.012299999999999998,0.0213,0.0037,0.0254,0.0173,0.016800000000000002,0.017,0.01415,0.0,0.0177,0.01745,0.013999999999999999,0.0077,0.02055,0.02385,0.01495,0.024,0.0073,0.0255,0.0187,0.0173,0.03115,0.031,0.02415,0.02185,0.01785,0.013999999999999999,0.017,0.01715,0.01845,0.0243,0.00445,0.01125,0.0047,0.01695,0.00455,0.00745,0.0184,0.0191,0.016749999999999998,0.018000000000000002,0.0074,0.00755,0.0217,0.02625,0.01155
HG01085,0.0237,0.0143,0.017849999999999998,0.0367,0.0187,0.0353,0.01815,0.035750000000000004,0.0146,0.025,0.0343,0.0184,0.0177,0.0,0.034699999999999995,0.0183,0.02455,0.03455,0.00855,0.0234,0.0087,0.0247,0.0224,0.0357,0.03455,0.015,0.01485,0.02115,0.019,0.0351,0.0183,0.0343,0.0344,0.01345,0.021,0.022000000000000002,0.017849999999999998,0.02225,0.0254,0.0221,0.0247,0.0263,0.0276,0.03415,0.03455,0.02425,0.0244,0.0064,0.0191,0.02485
HG01048,0.0207,0.0344,0.0177,0.01295,0.02375,0.01395,0.02115,0.01765,0.03475,0.016999999999999998,0.01295,0.02,0.01745,0.034699999999999995,0.0,0.02015,0.01915,0.0159,0.03545,0.022000000000000002,0.03575,0.01905,0.03755,0.00215,0.01305,0.0373,0.03715,0.035750000000000004,0.03515,0.0013,0.02015,0.0128,0.01295,0.035449999999999995,0.0359,0.017849999999999998,0.02325,0.0181,0.01805,0.01785,0.019,0.023,0.01845,0.01205,0.0104,0.019,0.01915,0.034949999999999995,0.01815,0.0231
HG02275,0.01485,0.03045,0.0136,0.0284,0.0253,0.02285,0.0177,0.02725,0.030150000000000007,0.02595,0.01715,0.0007,0.013999999999999999,0.0183,0.02015,0.0,0.01345,0.02155,0.0173,0.02415,0.0176,0.013999999999999999,0.0325,0.02085,0.01715,0.01715,0.017,0.03075,0.02975,0.02,0.0,0.017,0.01715,0.0309,0.03045,0.0136,0.02525,0.0139,0.0261,0.0137,0.01405,0.0247,0.0257,0.01775,0.0189,0.01315,0.0133,0.0169,0.01225,0.0173
HG01577,0.0023,0.018000000000000002,0.0076,0.0268,0.01915,0.02055,0.0114,0.0254,0.017150000000000002,0.01865,0.0173,0.0143,0.0077,0.02455,0.01915,0.01345,0.0,0.0201,0.021,0.0168,0.0213,0.0046,0.0227,0.0197,0.0173,0.0306,0.03045,0.0213,0.016900000000000002,0.01885,0.01345,0.01715,0.01745,0.0179,0.0176,0.006,0.01895,0.0063,0.0188,0.00645,0.00455,0.01555,0.01625,0.016249999999999997,0.01645,0.0003,0.00045,0.02355,0.0257,0.0044
HG01950,0.02055,0.0321,0.020800000000000003,0.01535,0.02745,0.00625,0.01755,0.0128,0.0324,0.02665,0.0085,0.0217,0.02055,0.03455,0.0159,0.02155,0.0201,0.0,0.0329,0.02465,0.03315,0.01955,0.0324,0.01575,0.008400000000000001,0.03515,0.03505,0.03075,0.03125,0.0149,0.02155,0.008400000000000001,0.0085,0.0334,0.03145,0.01925,0.02695,0.01955,0.0262,0.0194,0.0197,0.02495,0.0261,0.0044,0.0105,0.0201,0.02025,0.03215,0.02825,0.0163
HG00739,0.0217,0.01815,0.02445,0.03575,0.027,0.03315,0.0243,0.0342,0.01785,0.02545,0.0343,0.018000000000000002,0.02385,0.00855,0.03545,0.0173,0.021,0.0329,0.0,0.02385,0.0003,0.017150000000000002,0.01455,0.0359,0.0343,0.01385,0.0137,0.01345,0.01755,0.0353,0.0173,0.0343,0.0343,0.018000000000000002,0.01315,0.02245,0.024,0.0227,0.02585,0.02255,0.017,0.0186,0.01985,0.03245,0.03315,0.0207,0.02085,0.006,0.01845,0.0213
HG01241,0.0181,0.021,0.01565,0.02295,0.00625,0.0221,0.01405,0.02255,0.02125,0.00555,0.02715,0.02425,0.01495,0.0234,0.022000000000000002,0.02415,0.0168,0.02465,0.02385,0.0,0.02415,0.0165,0.0231,0.0224,0.02715,0.03215,0.032,0.02225,0.017,0.02185,0.02415,0.0271,0.02715,0.02225,0.0224,0.0108,0.00625,0.0108,0.0057,0.0107,0.0162,0.00885,0.0108,0.02595,0.0237,0.016550000000000002,0.0167,0.01815,0.019,0.0155
