,Gene,Sample,Match,Total
335,DRB1,HG02145,1,2
336,DRB1,HG02886,1,2
337,DRB1,HG00733,2,2
338,DRB1,HG02148,2,2
339,DRB1,HG01123,2,2
340,DRB1,HG00438,2,2
341,DRB1,HG02630,0,2
342,DRB1,HG02572,2,2
343,DRB1,HG03098,1,2
344,DRB1,HG02486,0,2
345,DRB1,HG02818,2,2
346,DRB1,HG01978,1,2
347,DRB1,HG01243,2,2
348,DRB1,NA20129,2,2
349,DRB1,HG02559,1,2
350,DRB1,HG00735,1,2
351,DRB1,HG00673,1,2
352,DRB1,HG03492,1,2
353,DRB1,HG02723,2,2
354,DRB1,HG01361,2,2
355,DRB1,HG00741,2,2
356,DRB1,HG01358,2,2
357,DRB1,NA19240,0,2
358,DRB1,HG02257,0,2
359,DRB1,HG02080,2,2
