userId	geneSymbol	geneName	entrezgene	gLink
IGKV3D-15	IGKV3D-15	immunoglobulin kappa variable 3D-15	28875	https://www.ncbi.nlm.nih.gov/gene/?term=28875
TRAV1-1	TRAV1-1	T cell receptor alpha variable 1-1	28693	https://www.ncbi.nlm.nih.gov/gene/?term=28693
IGKV3D-11	IGKV3D-11	immunoglobulin kappa variable 3D-11	28876	https://www.ncbi.nlm.nih.gov/gene/?term=28876
TRBV10-3	TRBV10-3	T cell receptor beta variable 10-3	28583	https://www.ncbi.nlm.nih.gov/gene/?term=28583
IGHV4-55	IGHV4-55	immunoglobulin heavy variable 4-55 (pseudogene)	28393	https://www.ncbi.nlm.nih.gov/gene/?term=28393
IGLV3-13	IGLV3-13	immunoglobulin lambda variable 3-13 (pseudogene)	28801	https://www.ncbi.nlm.nih.gov/gene/?term=28801
CYP2D6	CYP2D6	cytochrome P450 family 2 subfamily D member 6	1565	https://www.ncbi.nlm.nih.gov/gene/?term=1565
IGHV3-43	IGHV3-43	immunoglobulin heavy variable 3-43	28426	https://www.ncbi.nlm.nih.gov/gene/?term=28426
TRAV26-1	TRAV26-1	T cell receptor alpha variable 26-1	28657	https://www.ncbi.nlm.nih.gov/gene/?term=28657
HLA-C	HLA-C	major histocompatibility complex, class I, C	3107	https://www.ncbi.nlm.nih.gov/gene/?term=3107
IGHV3-20	IGHV3-20	immunoglobulin heavy variable 3-20	28445	https://www.ncbi.nlm.nih.gov/gene/?term=28445
TRAV8-7	TRAV8-7	T cell receptor alpha variable 8-7 (pseudogene)	28679	https://www.ncbi.nlm.nih.gov/gene/?term=28679
IGHV2-70D	IGHV2-70D	immunoglobulin heavy variable 2-70D	102723168	https://www.ncbi.nlm.nih.gov/gene/?term=102723168
TRBV15	TRBV15	T cell receptor beta variable 15	28572	https://www.ncbi.nlm.nih.gov/gene/?term=28572
IGLV2-14	IGLV2-14	immunoglobulin lambda variable 2-14	28815	https://www.ncbi.nlm.nih.gov/gene/?term=28815
IGHV7-34-1	IGHV7-34-1	immunoglobulin heavy variable 7-34-1 (pseudogene)	28382	https://www.ncbi.nlm.nih.gov/gene/?term=28382
TRDV3	TRDV3	T cell receptor delta variable 3	28516	https://www.ncbi.nlm.nih.gov/gene/?term=28516
TRBV24-1	TRBV24-1	T cell receptor beta variable 24-1	28563	https://www.ncbi.nlm.nih.gov/gene/?term=28563
MICB	MICB	MHC class I polypeptide-related sequence B	4277	https://www.ncbi.nlm.nih.gov/gene/?term=4277
IGHV3-19	IGHV3-19	immunoglobulin heavy variable 3-19 (pseudogene)	28446	https://www.ncbi.nlm.nih.gov/gene/?term=28446
IGLV1-47	IGLV1-47	immunoglobulin lambda variable 1-47	28822	https://www.ncbi.nlm.nih.gov/gene/?term=28822
KIR3DL2	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	3812	https://www.ncbi.nlm.nih.gov/gene/?term=3812
IGKV1D-12	IGKV1D-12	immunoglobulin kappa variable 1D-12	28903	https://www.ncbi.nlm.nih.gov/gene/?term=28903
HLA-DQA1	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	https://www.ncbi.nlm.nih.gov/gene/?term=3117
IGHV4-61	IGHV4-61	immunoglobulin heavy variable 4-61	28391	https://www.ncbi.nlm.nih.gov/gene/?term=28391
CYP2A6	CYP2A6	cytochrome P450 family 2 subfamily A member 6	1548	https://www.ncbi.nlm.nih.gov/gene/?term=1548
IGHV3-49	IGHV3-49	immunoglobulin heavy variable 3-49	28423	https://www.ncbi.nlm.nih.gov/gene/?term=28423
TRAV21	TRAV21	T cell receptor alpha variable 21	28662	https://www.ncbi.nlm.nih.gov/gene/?term=28662
TRBV9	TRBV9	T cell receptor beta variable 9	28586	https://www.ncbi.nlm.nih.gov/gene/?term=28586
HLA-DRB3	HLA-DRB3	major histocompatibility complex, class II, DR beta 3	3125	https://www.ncbi.nlm.nih.gov/gene/?term=3125
IGKV3-15	IGKV3-15	immunoglobulin kappa variable 3-15	28913	https://www.ncbi.nlm.nih.gov/gene/?term=28913
TRAV12-2	TRAV12-2	T cell receptor alpha variable 12-2	28673	https://www.ncbi.nlm.nih.gov/gene/?term=28673
IGHV1-69D	IGHV1-69D	immunoglobulin heavy variable 1-69D	102723169	https://www.ncbi.nlm.nih.gov/gene/?term=102723169
IGHV1-2	IGHV1-2	immunoglobulin heavy variable 1-2	28474	https://www.ncbi.nlm.nih.gov/gene/?term=28474
HLA-DRB4	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	3126	https://www.ncbi.nlm.nih.gov/gene/?term=3126
TRAJ13	TRAJ13	T cell receptor alpha joining 13	28742	https://www.ncbi.nlm.nih.gov/gene/?term=28742
IGHV4-31	IGHV4-31	immunoglobulin heavy variable 4-31	28396	https://www.ncbi.nlm.nih.gov/gene/?term=28396
IGKV1-17	IGKV1-17	immunoglobulin kappa variable 1-17	28937	https://www.ncbi.nlm.nih.gov/gene/?term=28937
KIR2DL4	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4	3805	https://www.ncbi.nlm.nih.gov/gene/?term=3805
KIR2DS4	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4	3809	https://www.ncbi.nlm.nih.gov/gene/?term=3809
IGHV4-28	IGHV4-28	immunoglobulin heavy variable 4-28	28400	https://www.ncbi.nlm.nih.gov/gene/?term=28400
HLA-DQB1	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	https://www.ncbi.nlm.nih.gov/gene/?term=3119
IGHV3-64	IGHV3-64	immunoglobulin heavy variable 3-64	28414	https://www.ncbi.nlm.nih.gov/gene/?term=28414
IGHV3-16	IGHV3-16	immunoglobulin heavy variable 3-16 (non-functional)	28447	https://www.ncbi.nlm.nih.gov/gene/?term=28447
TRAJ47	TRAJ47	T cell receptor alpha joining 47	28708	https://www.ncbi.nlm.nih.gov/gene/?term=28708
IGLJ7	IGLJ7	immunoglobulin lambda joining 7	28827	https://www.ncbi.nlm.nih.gov/gene/?term=28827
CYP2C19	CYP2C19	cytochrome P450 family 2 subfamily C member 19	1557	https://www.ncbi.nlm.nih.gov/gene/?term=1557
IGHV3-30	IGHV3-30	immunoglobulin heavy variable 3-30	28439	https://www.ncbi.nlm.nih.gov/gene/?term=28439
IGHV3-11	IGHV3-11	immunoglobulin heavy variable 3-11	28450	https://www.ncbi.nlm.nih.gov/gene/?term=28450
TRGV4	TRGV4	T cell receptor gamma variable 4	6977	https://www.ncbi.nlm.nih.gov/gene/?term=6977
TRAV9-2	TRAV9-2	T cell receptor alpha variable 9-2	28677	https://www.ncbi.nlm.nih.gov/gene/?term=28677
IGHV4-39	IGHV4-39	immunoglobulin heavy variable 4-39	28394	https://www.ncbi.nlm.nih.gov/gene/?term=28394
IGKV1D-42	IGKV1D-42	immunoglobulin kappa variable 1D-42 (non-functional)	28892	https://www.ncbi.nlm.nih.gov/gene/?term=28892
IGKV1-27	IGKV1-27	immunoglobulin kappa variable 1-27	28935	https://www.ncbi.nlm.nih.gov/gene/?term=28935
IGKV2D-29	IGKV2D-29	immunoglobulin kappa variable 2D-29	28882	https://www.ncbi.nlm.nih.gov/gene/?term=28882
CYP3A4	CYP3A4	cytochrome P450 family 3 subfamily A member 4	1576	https://www.ncbi.nlm.nih.gov/gene/?term=1576
HLA-DPB1	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	3115	https://www.ncbi.nlm.nih.gov/gene/?term=3115
TRAV30	TRAV30	T cell receptor alpha variable 30	28652	https://www.ncbi.nlm.nih.gov/gene/?term=28652
IGHV3-30-2	IGHV3-30-2	immunoglobulin heavy variable 3-30-2 (pseudogene)	28438	https://www.ncbi.nlm.nih.gov/gene/?term=28438
IGLV5-45	IGLV5-45	immunoglobulin lambda variable 5-45	28781	https://www.ncbi.nlm.nih.gov/gene/?term=28781
